NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047178944	na	335	1.0784728527069092	0.16252986	Yes	
row_1	XM_047170249	na	367	1.066098690032959	0.3422791	Yes	
row_2	XM_047177007	na	460	1.0044751167297363	0.50764596	Yes	
row_3	XM_047170483	na	3756	0.35110196471214294	0.3579935	No	
row_4	XM_047167776	na	4362	0.2793143391609192	0.3671372	No	
row_5	XM_047166605	na	4598	0.2515486478805542	0.39507303	No	
row_6	XM_047182470	na	4765	0.2289993166923523	0.42355233	No	
row_7	XM_047169746	na	5471	0.14149557054042816	0.40284625	No	
row_8	XM_047173190	na	5935	0.0838375836610794	0.3876987	No	
row_9	XM_047184592	na	6270	0.04452607408165932	0.37405232	No	
row_10	XM_047165443	na	7090	0.0	0.32197958	No	
row_11	XM_047165644	na	7099	0.0	0.32147095	No	
row_12	XM_047184998	na	9066	0.0	0.19647093	No	
row_13	XM_047173805	na	12069	-0.2917981743812561	0.055339158	No	
row_14	XM_047164320	na	12923	-0.3694388270378113	0.0640768	No	
row_15	XM_047165242	na	14855	-0.6755958199501038	0.0564598	No	
