NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047166180	na	591	0.9397917985916138	0.1050571	Yes	
row_1	XM_047164532	na	1765	0.6051443815231323	0.12227858	Yes	
row_2	XM_047170545	na	1777	0.6037818789482117	0.21323533	Yes	
row_3	XM_047163050	na	2437	0.46486473083496094	0.24186936	Yes	
row_4	XM_047184765	na	3504	0.36587411165237427	0.22957735	Yes	
row_5	XM_047181738	na	3836	0.35110196471214294	0.2618135	Yes	
row_6	XM_047177285	na	4048	0.32557016611099243	0.29780978	Yes	
row_7	XM_047178731	na	4267	0.2933093309402466	0.32846332	Yes	
row_8	XM_047184856	na	4417	0.2728883624076843	0.36040756	Yes	
row_9	XM_047182104	na	4418	0.272799015045166	0.40181965	Yes	
row_10	XM_047178732	na	4475	0.26539602875709534	0.43854445	Yes	
row_11	XM_047182721	na	4789	0.22619862854480743	0.4529651	Yes	
row_12	XM_047175790	na	5038	0.19795124232769012	0.46723387	Yes	
row_13	XM_047178432	na	5307	0.1642908900976181	0.47512016	Yes	
row_14	XM_047175779	na	5366	0.15602675080299377	0.49511495	Yes	
row_15	XM_047173682	na	5584	0.12702742218971252	0.5005898	Yes	
row_16	XM_047170508	na	5677	0.11648715287446976	0.5124188	Yes	
row_17	XM_047175244	na	5960	0.08061058074235916	0.5067112	No	
row_18	XM_047168798	na	6129	0.06029089540243149	0.50517315	No	
row_19	XM_047177340	na	6612	0.013800403103232384	0.4765968	No	
row_20	XM_047170880	na	6684	0.009060237556695938	0.4734542	No	
row_21	XM_047173909	na	7952	0.0	0.3928306	No	
row_22	XM_047180500	na	8638	0.0	0.34924167	No	
row_23	XM_047180844	na	8678	0.0	0.34675997	No	
row_24	XM_047180845	na	8679	0.0	0.34675997	No	
row_25	XM_047178707	na	9864	-0.020057877525687218	0.2744628	No	
row_26	XM_047185605	na	10846	-0.13809393346309662	0.23300162	No	
row_27	XM_047163049	na	11500	-0.21658393740653992	0.22432736	No	
row_28	XM_047170870	na	12115	-0.3004247844219208	0.23086219	No	
