NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047186409	na	1215	0.7089784145355225	-0.051030803	No	
row_1	XM_047165866	na	1641	0.6352219581604004	-0.054377217	No	
row_2	XM_047164619	na	1766	0.6049661636352539	-0.039635945	No	
row_3	XM_047184812	na	1805	0.5971220135688782	-0.019696781	No	
row_4	XM_047176993	na	1869	0.5820176601409912	-0.0019197911	No	
row_5	XM_047171249	na	2025	0.5508708357810974	0.008815729	No	
row_6	XM_047172865	na	2216	0.5073104500770569	0.015684662	No	
row_7	XM_047163872	na	2485	0.45680904388427734	0.01568118	No	
row_8	XM_047166956	na	2567	0.44318437576293945	0.027108623	No	
row_9	XM_047180217	na	2719	0.4245935380458832	0.033369742	No	
row_10	XM_047185206	na	3091	0.3788676857948303	0.02386963	No	
row_11	XM_047179159	na	3206	0.3752251863479614	0.030644324	No	
row_12	XM_047173341	na	3328	0.3691471815109253	0.036744364	No	
row_13	XM_047172870	na	3647	0.35831916332244873	0.029859006	No	
row_14	XM_047182764	na	3844	0.35110196471214294	0.030493872	No	
row_15	XM_047163933	na	4235	0.29722410440444946	0.016722446	No	
row_16	XM_047165702	na	4415	0.27295273542404175	0.015515733	No	
row_17	XM_047163727	na	4688	0.23995022475719452	0.0071341842	No	
row_18	XM_047165199	na	4727	0.2353840470314026	0.013524135	No	
row_19	XM_047172994	na	4764	0.22901085019111633	0.019803084	No	
row_20	XM_047164207	na	5022	0.19954760372638702	0.010866077	No	
row_21	XM_047178533	na	5027	0.19846206903457642	0.018044218	No	
row_22	XM_047176533	na	5282	0.16623172163963318	0.008050905	No	
row_23	XM_047174990	na	5370	0.15560010075569153	0.008323487	No	
row_24	XM_047173825	na	5833	0.09633772075176239	-0.017570015	No	
row_25	XM_047184820	na	5961	0.08056797832250595	-0.022662105	No	
row_26	XM_047175103	na	6151	0.056843675673007965	-0.03260194	No	
row_27	XM_047178362	na	6312	0.0397212952375412	-0.04133126	No	
row_28	XM_047163991	na	6365	0.03485345467925072	-0.043346357	No	
row_29	XM_047167012	na	6442	0.026650087907910347	-0.047201283	No	
row_30	XM_047163224	na	6529	0.01848149672150612	-0.05200074	No	
row_31	XM_047176734	na	6647	0.010288550518453121	-0.05908664	No	
row_32	XM_047184420	na	6721	0.0070181721821427345	-0.063485324	No	
row_33	XM_047176927	na	6755	0.002859249245375395	-0.06548551	No	
row_34	XM_047163426	na	6849	0.0	-0.07142421	No	
row_35	XM_047167592	na	7259	0.0	-0.097541705	No	
row_36	XM_047176206	na	8175	0.0	-0.15597083	No	
row_37	XM_047180500	na	8638	0.0	-0.18547274	No	
row_38	XM_047180844	na	8678	0.0	-0.18796316	No	
row_39	XM_047180845	na	8679	0.0	-0.18796316	No	
row_40	XM_047181476	na	8735	0.0	-0.19147529	No	
row_41	XM_047181914	na	8776	0.0	-0.19402957	No	
row_42	XM_047186410	na	9240	0.0	-0.22359535	No	
row_43	XM_047179374	na	9869	-0.021152319386601448	-0.26290524	No	
row_44	XM_047177945	na	10377	-0.08042623847723007	-0.29226828	No	
row_45	XM_047163580	na	10490	-0.09445028007030487	-0.29588255	No	
row_46	XM_047169769	na	10527	-0.0988616868853569	-0.29447845	No	
row_47	XM_047168398	na	10632	-0.1098991185426712	-0.2970032	No	
row_48	XM_047178009	na	10843	-0.1373739391565323	-0.3052677	No	
row_49	XM_047184714	na	10882	-0.14279529452323914	-0.30234575	No	
row_50	XM_047185118	na	11023	-0.16010823845863342	-0.30528873	Yes	
row_51	XM_047167062	na	11118	-0.16953423619270325	-0.30494124	Yes	
row_52	XM_047163506	na	11228	-0.1834224909543991	-0.3050314	Yes	
row_53	XM_047180216	na	11339	-0.1987045854330063	-0.304613	Yes	
row_54	XM_047163751	na	11353	-0.1998012512922287	-0.29795942	Yes	
row_55	XM_047174844	na	11400	-0.2056455761194229	-0.2931942	Yes	
row_56	XM_047178611	na	11413	-0.2061995416879654	-0.2862371	Yes	
row_57	XM_047185211	na	11503	-0.21744948625564575	-0.2837756	Yes	
row_58	XM_047179157	na	11582	-0.2272966355085373	-0.28024286	Yes	
row_59	XM_047171162	na	11693	-0.24110722541809082	-0.27823624	Yes	
row_60	XM_047164204	na	11886	-0.26705315709114075	-0.28049406	Yes	
row_61	XM_047173824	na	11930	-0.2727782428264618	-0.27302277	Yes	
row_62	XM_047163244	na	11938	-0.27353930473327637	-0.2632241	Yes	
row_63	XM_047167110	na	12099	-0.29711076617240906	-0.26231268	Yes	
row_64	XM_047178171	na	12191	-0.31165292859077454	-0.2564504	Yes	
row_65	XM_047174842	na	12250	-0.320010244846344	-0.24816787	Yes	
row_66	XM_047176128	na	12251	-0.32002782821655273	-0.23618095	Yes	
row_67	XM_047172907	na	12273	-0.3232145309448242	-0.22541566	Yes	
row_68	XM_047178843	na	12840	-0.3661865293979645	-0.24784286	Yes	
row_69	XM_047167253	na	13113	-0.37733668088912964	-0.2510785	Yes	
row_70	XM_047177776	na	13428	-0.4111197888851166	-0.25573072	Yes	
row_71	XM_047166775	na	14184	-0.529106080532074	-0.28412458	Yes	
row_72	XM_047176136	na	14334	-0.5583360195159912	-0.27272633	Yes	
row_73	XM_047185648	na	14402	-0.5749327540397644	-0.25547013	Yes	
row_74	XM_047179375	na	14437	-0.5851308107376099	-0.23572467	Yes	
row_75	XM_047165200	na	15103	-0.763940691947937	-0.24957548	Yes	
row_76	XM_047180823	na	15146	-0.782638669013977	-0.22294307	Yes	
row_77	XM_047171228	na	15154	-0.7848495841026306	-0.19399284	Yes	
row_78	XM_047173352	na	15208	-0.8187804222106934	-0.16670913	Yes	
row_79	XM_047177943	na	15319	-0.877212405204773	-0.14087662	Yes	
row_80	XM_047166092	na	15481	-1.017002820968628	-0.11306487	Yes	
row_81	XM_047163117	na	15514	-1.0518537759780884	-0.075710185	Yes	
row_82	XM_047186070	na	15623	-1.183113694190979	-0.03829218	Yes	
row_83	XM_047163540	na	15644	-1.2252024412155151	0.0063217096	Yes	
