NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047174185	na	475	0.9969292283058167	0.07235874	No	
row_1	XM_047173935	na	1060	0.7518196702003479	0.112562254	No	
row_2	XM_047168923	na	2641	0.4311250150203705	0.056401107	No	
row_3	XM_047185745	na	3480	0.3687800168991089	0.041031998	No	
row_4	XM_047165000	na	4262	0.29389849305152893	0.021584384	No	
row_5	XM_047170785	na	4652	0.2439233362674713	0.021934142	No	
row_6	XM_047178556	na	6351	0.0365297831594944	-0.082336135	No	
row_7	XM_047178155	na	6374	0.03395910933613777	-0.08024159	No	
row_8	XM_047167021	na	9832	-0.017995458096265793	-0.29832888	No	
row_9	XM_047174320	na	9985	-0.034539543092250824	-0.30444536	No	
row_10	XM_047180651	na	9986	-0.03466933220624924	-0.30087808	No	
row_11	XM_047174843	na	10255	-0.06818916648626328	-0.31091228	No	
row_12	XM_047170565	na	10487	-0.09419132024049759	-0.315917	No	
row_13	XM_047174819	na	10574	-0.10393574088811874	-0.31069398	No	
row_14	XM_047179241	na	10708	-0.11806470900774002	-0.30700737	No	
row_15	XM_047166148	na	11132	-0.17090362310409546	-0.31633407	No	
row_16	XM_047169933	na	11445	-0.21022097766399384	-0.3145533	No	
row_17	XM_047174184	na	11924	-0.2713802754878998	-0.31704065	No	
row_18	XM_047167093	na	12193	-0.3119588792324066	-0.3019922	No	
row_19	XM_047172908	na	13299	-0.39561572670936584	-0.33158693	Yes	
row_20	XM_047185830	na	13967	-0.4891265630722046	-0.32369375	Yes	
row_21	XM_047174903	na	14601	-0.6267499327659607	-0.2994767	Yes	
row_22	XM_047174227	na	14814	-0.6697202920913696	-0.24405368	Yes	
row_23	XM_047179642	na	14946	-0.7080481648445129	-0.17953357	Yes	
row_24	XM_047183475	na	15305	-0.8685911297798157	-0.11293646	Yes	
row_25	XM_047163119	na	15688	-1.3677940368652344	0.0034991442	Yes	
