NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047165250	na	28	1.6196269989013672	0.058618356	Yes	
row_1	XM_047179343	na	323	1.0830007791519165	0.080256686	Yes	
row_2	XM_047181906	na	398	1.0442205667495728	0.1144811	Yes	
row_3	XM_047166149	na	468	0.9999076128005981	0.14737177	Yes	
row_4	XM_047164707	na	1053	0.7538102269172668	0.13823561	Yes	
row_5	XM_047176941	na	1292	0.685311496257782	0.14861393	Yes	
row_6	XM_047184717	na	1382	0.6686408519744873	0.16787428	Yes	
row_7	XM_047176473	na	1643	0.6352219581604004	0.17498125	Yes	
row_8	XM_047181905	na	1653	0.6331819295883179	0.19802184	Yes	
row_9	XM_047162976	na	1839	0.5882585048675537	0.20816107	Yes	
row_10	XM_047169370	na	1945	0.5666545033454895	0.22259729	Yes	
row_11	XM_047163291	na	1972	0.5611736178398132	0.24186799	Yes	
row_12	XM_047179819	na	2011	0.5530353784561157	0.26006976	Yes	
row_13	XM_047167790	na	2043	0.5474724173545837	0.27851057	Yes	
row_14	XM_047176942	na	2238	0.5030209422111511	0.2848968	Yes	
row_15	XM_047182318	na	2244	0.5012665390968323	0.3032727	Yes	
row_16	XM_047175938	na	2447	0.462273508310318	0.307629	Yes	
row_17	XM_047172343	na	2634	0.4323056936264038	0.31188816	Yes	
row_18	XM_047174921	na	2749	0.42064714431762695	0.32030493	Yes	
row_19	XM_047170907	na	3015	0.39245903491973877	0.3180391	No	
row_20	XM_047165104	na	3718	0.35110196471214294	0.2863574	No	
row_21	XM_047175329	na	3928	0.34278056025505066	0.28581068	No	
row_22	XM_047168721	na	4030	0.32706159353256226	0.29156634	No	
row_23	XM_047179818	na	4173	0.3056814670562744	0.29390952	No	
row_24	XM_047165249	na	4715	0.23749515414237976	0.26826	No	
row_25	XM_047173784	na	4931	0.20988541841506958	0.26237422	No	
row_26	XM_047164297	na	5267	0.16770946979522705	0.24726146	No	
row_27	XM_047172342	na	5311	0.1639246642589569	0.25063238	No	
row_28	XM_047165763	na	5335	0.15983666479587555	0.25512648	No	
row_29	XM_047174547	na	5450	0.14630593359470367	0.25331166	No	
row_30	XM_047170730	na	6443	0.026512501761317253	0.19102706	No	
row_31	XM_047175943	na	6656	0.009498894214630127	0.1778592	No	
row_32	XM_047167266	na	6697	0.007718388922512531	0.17559572	No	
row_33	XM_047162978	na	6801	0.0	0.16902599	No	
row_34	XM_047162979	na	6802	0.0	0.16902599	No	
row_35	XM_047165251	na	7070	0.0	0.15199576	No	
row_36	XM_047165764	na	7105	0.0	0.14982711	No	
row_37	XM_047168642	na	7373	0.0	0.13279688	No	
row_38	XM_047173905	na	7950	0.0	0.0960575	No	
row_39	XM_047173906	na	7951	0.0	0.0960575	No	
row_40	XM_047184884	na	9046	0.0	0.026278187	No	
row_41	XM_047166798	na	10212	-0.0620039701461792	-0.045717314	No	
row_42	XM_047175917	na	10215	-0.06288687884807587	-0.043499503	No	
row_43	XM_047182938	na	10311	-0.07395544648170471	-0.04680077	No	
row_44	XM_047174546	na	10416	-0.085451140999794	-0.050247353	No	
row_45	XM_047170631	na	10960	-0.15249137580394745	-0.07919468	No	
row_46	XM_047165247	na	11054	-0.16455155611038208	-0.07898957	No	
row_47	XM_047163751	na	11353	-0.1998012512922287	-0.090545475	No	
row_48	XM_047174548	na	11377	-0.20246653258800507	-0.08446147	No	
row_49	XM_047178716	na	11468	-0.21307002007961273	-0.08225551	No	
row_50	XM_047175991	na	11471	-0.21327079832553864	-0.0744291	No	
row_51	XM_047185491	na	11793	-0.2546781897544861	-0.08540539	No	
row_52	XM_047169153	na	11863	-0.2627354562282562	-0.08000769	No	
row_53	XM_047183949	na	12216	-0.31614771485328674	-0.090668745	No	
row_54	XM_047174549	na	13173	-0.3860331177711487	-0.13724874	No	
row_55	XM_047175479	na	13244	-0.39400115609169006	-0.12701924	No	
row_56	XM_047165922	na	14160	-0.5235727429389954	-0.16585453	No	
row_57	XM_047175642	na	14377	-0.5703268051147461	-0.15836136	No	
row_58	XM_047175941	na	14570	-0.6209666132926941	-0.14744875	No	
row_59	XM_047177801	na	14597	-0.6264978647232056	-0.12574176	No	
row_60	XM_047173182	na	14939	-0.7070512771606445	-0.121122375	No	
row_61	XM_047165308	na	14947	-0.7081661820411682	-0.09515767	No	
row_62	XM_047171257	na	15165	-0.789309561252594	-0.07956127	No	
row_63	XM_047175758	na	15350	-0.897063136100769	-0.057841323	No	
row_64	XM_047185495	na	15464	-0.9944076538085938	-0.02796225	No	
row_65	XM_047163540	na	15644	-1.2252024412155151	0.006314634	No	
