NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047165488	na	94	1.3375681638717651	0.08675061	Yes	
row_1	XM_047181906	na	398	1.0442205667495728	0.13984853	Yes	
row_2	XM_047185049	na	599	0.9362996220588684	0.19202523	Yes	
row_3	XM_047166355	na	730	0.866274356842041	0.24380599	Yes	
row_4	XM_047184732	na	937	0.7856459021568298	0.2851551	Yes	
row_5	XM_047164499	na	1410	0.6658139824867249	0.30125093	Yes	
row_6	XM_047181905	na	1653	0.6331819295883179	0.32973585	Yes	
row_7	XM_047163232	na	2936	0.4029531478881836	0.27600765	Yes	
row_8	XM_047169747	na	3033	0.38994351029396057	0.2969285	Yes	
row_9	XM_047181058	na	3106	0.3761204779148102	0.31841975	Yes	
row_10	XM_047179963	na	3429	0.3689509630203247	0.32348835	Yes	
row_11	XM_047164003	na	3494	0.36710241436958313	0.34486398	Yes	
row_12	XM_047168973	na	3969	0.3365405201911926	0.33800268	Yes	
row_13	XM_047173963	na	4043	0.32594555616378784	0.35595146	Yes	
row_14	XM_047168354	na	4198	0.30363908410072327	0.36719373	Yes	
row_15	XM_047168418	na	4291	0.2899757921695709	0.38143823	Yes	
row_16	XM_047164506	na	4634	0.24717159569263458	0.37678933	Yes	
row_17	XM_047170864	na	4769	0.22845540940761566	0.3840929	Yes	
row_18	XM_047186307	na	4875	0.21765166521072388	0.39249474	Yes	
row_19	XM_047165012	na	5391	0.15289750695228577	0.37028897	No	
row_20	XM_047177483	na	5953	0.08215818554162979	0.3402483	No	
row_21	XM_047164998	na	7055	0.0	0.27011195	No	
row_22	XM_047170892	na	7614	0.0	0.23456602	No	
row_23	XM_047173964	na	7956	0.0	0.21284351	No	
row_24	XM_047178638	na	8401	0.0	0.18455966	No	
row_25	XM_047180760	na	8665	0.0	0.16780593	No	
row_26	XM_047180974	na	8687	0.0	0.16646817	No	
row_27	XM_047184253	na	8998	0.0	0.14672044	No	
row_28	XM_047184254	na	8999	0.0	0.14672044	No	
row_29	XM_047186063	na	9202	0.0	0.13385256	No	
row_30	XM_047186306	na	9228	0.0	0.13226	No	
row_31	XM_047186427	na	9242	0.0	0.13143186	No	
row_32	XM_047186428	na	9243	0.0	0.13143186	No	
row_33	XM_047167793	na	9825	-0.017665589228272438	0.0956456	No	
row_34	XM_047168686	na	10171	-0.05430063605308533	0.07743315	No	
row_35	XM_047184255	na	10560	-0.10185892879962921	0.059778884	No	
row_36	XM_047173171	na	10675	-0.11387667804956436	0.060412314	No	
row_37	XM_047169757	na	11048	-0.16405239701271057	0.048089396	No	
row_38	XM_047174230	na	11051	-0.1642608344554901	0.059350815	No	
row_39	XM_047164995	na	11144	-0.17237067222595215	0.0654413	No	
row_40	XM_047168026	na	11193	-0.17801325023174286	0.07472592	No	
row_41	XM_047167363	na	12460	-0.3472333252429962	0.018153692	No	
row_42	XM_047167003	na	13129	-0.3806593418121338	0.001993045	No	
row_43	XM_047179555	na	14331	-0.5577009916305542	-0.035846006	No	
row_44	XM_047167098	na	14466	-0.5927442908287048	-0.0032849326	No	
row_45	XM_047164994	na	15642	-1.2197414636611938	0.006434034	No	
