NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047173738	na	1020	0.7608183026313782	0.024497189	No	
row_1	XM_047176542	na	1455	0.6594974398612976	0.074357405	No	
row_2	XM_047167920	na	1791	0.6000804305076599	0.123534404	No	
row_3	XM_047167780	na	3131	0.3752251863479614	0.0824589	No	
row_4	XM_047176526	na	5655	0.11905506253242493	-0.06399306	No	
row_5	XM_047172055	na	6187	0.05329851433634758	-0.0914989	No	
row_6	XM_047172596	na	6284	0.04288612678647041	-0.09256647	No	
row_7	XM_047185398	na	9148	0.0	-0.27462167	No	
row_8	XM_047165742	na	10862	-0.140676811337471	-0.36702707	No	
row_9	XM_047168143	na	10928	-0.14788465201854706	-0.35379136	No	
row_10	XM_047165623	na	11165	-0.1749115139245987	-0.34825504	No	
row_11	XM_047175598	na	11297	-0.19263742864131927	-0.33395997	No	
row_12	XM_047167921	na	11634	-0.23364071547985077	-0.3278848	No	
row_13	XM_047182445	na	12569	-0.3472333252429962	-0.34649444	No	
row_14	XM_047180872	na	15472	-1.0071743726730347	-0.4127372	Yes	
row_15	XM_047171289	na	15588	-1.1181601285934448	-0.28872228	Yes	
row_16	XM_047179549	na	15589	-1.1187959909439087	-0.15731995	Yes	
row_17	XM_047178625	na	15700	-1.422303318977356	0.002734451	Yes	
