NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047184974	na	506	0.9784207940101624	0.12152599	Yes	
row_1	XM_047172570	na	1642	0.6352219581604004	0.14912118	Yes	
row_2	XM_047175073	na	2199	0.5113619565963745	0.19408949	Yes	
row_3	XM_047181601	na	2728	0.42369168996810913	0.22706556	Yes	
row_4	XM_047184519	na	2905	0.405750572681427	0.27961487	Yes	
row_5	XM_047186503	na	3004	0.3943200707435608	0.33533022	Yes	
row_6	XM_047167004	na	3965	0.3368651270866394	0.32718453	Yes	
row_7	XM_047166719	na	4068	0.32212594151496887	0.3713034	Yes	
row_8	XM_047180088	na	4786	0.22644945979118347	0.36126894	Yes	
row_9	XM_047164183	na	4870	0.21852099895477295	0.39031968	Yes	
row_10	XM_047173529	na	5359	0.1568688452243805	0.3839212	No	
row_11	XM_047167124	na	5812	0.09970972687005997	0.3708329	No	
row_12	XM_047172572	na	5994	0.07614319026470184	0.37128133	No	
row_13	XM_047168798	na	6129	0.06029089540243149	0.3722291	No	
row_14	XM_047184522	na	6135	0.05922964960336685	0.3812163	No	
row_15	XM_047170947	na	6252	0.04676256701350212	0.38118377	No	
row_16	XM_047166252	na	6358	0.03590932488441467	0.38014588	No	
row_17	XM_047166744	na	6432	0.027521945536136627	0.37982595	No	
row_18	XM_047166745	na	9685	-0.0016820501768961549	0.17321998	No	
row_19	XM_047172571	na	10639	-0.11144106835126877	0.13010445	No	
row_20	XM_047167980	na	11624	-0.23253796994686127	0.10404179	No	
row_21	XM_047174295	na	11625	-0.232544407248497	0.14057556	No	
row_22	XM_047166742	na	12918	-0.3685314655303955	0.116285205	No	
row_23	XM_047164688	na	13345	-0.40328842401504517	0.1525444	No	
