NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047179503	na	3	2.253384590148926	0.114593446	Yes	
row_1	XM_047178840	na	188	1.1892863512039185	0.16344999	Yes	
row_2	XM_047181411	na	525	0.969580888748169	0.19142978	Yes	
row_3	XM_047165731	na	526	0.9689629077911377	0.24078755	Yes	
row_4	XM_047179129	na	629	0.9193785190582275	0.28112024	Yes	
row_5	XM_047173814	na	1132	0.7344577312469482	0.28654587	Yes	
row_6	XM_047183222	na	1166	0.7213879823684692	0.32118976	Yes	
row_7	XM_047177284	na	2127	0.5283492803573608	0.28693333	Yes	
row_8	XM_047178003	na	2237	0.5031978487968445	0.30562028	Yes	
row_9	XM_047174665	na	2367	0.47534289956092834	0.32161394	Yes	
row_10	XM_047172343	na	2634	0.4323056936264038	0.3266859	Yes	
row_11	XM_047167572	na	2732	0.42277202010154724	0.3420407	Yes	
row_12	XM_047177229	na	3074	0.3817056119441986	0.33975625	No	
row_13	XM_047170709	na	3979	0.3342272937297821	0.29917973	No	
row_14	XM_047171811	na	4127	0.31297168135643005	0.3057555	No	
row_15	XM_047171650	na	4182	0.30471473932266235	0.31783646	No	
row_16	XM_047174657	na	4505	0.2623720169067383	0.310684	No	
row_17	XM_047181410	na	4806	0.22459776699543	0.30300912	No	
row_18	XM_047177259	na	4980	0.2033977061510086	0.30234665	No	
row_19	XM_047166840	na	5199	0.1777917593717575	0.29751247	No	
row_20	XM_047172342	na	5311	0.1639246642589569	0.29878983	No	
row_21	XM_047185802	na	5612	0.12406058609485626	0.28599373	No	
row_22	XM_047169277	na	5701	0.112723208963871	0.28612846	No	
row_23	XM_047172230	na	6223	0.050684936344623566	0.2555129	No	
row_24	XM_047185868	na	6321	0.038461729884147644	0.2512914	No	
row_25	XM_047167767	na	7282	0.0	0.1901215	No	
row_26	XM_047168442	na	7357	0.0	0.18540633	No	
row_27	XM_047174164	na	7971	0.0	0.14634682	No	
row_28	XM_047177113	na	8276	0.0	0.12697636	No	
row_29	XM_047181448	na	8732	0.0	0.09798439	No	
row_30	XM_047185060	na	9075	0.0	0.076192625	No	
row_31	XM_047185316	na	9137	0.0	0.07230578	No	
row_32	XM_047186471	na	9250	0.0	0.065169305	No	
row_33	XM_047180255	na	9841	-0.018094463273882866	0.028497027	No	
row_34	XM_047164634	na	10364	-0.07876681536436081	-7.5180805E-4	No	
row_35	XM_047171005	na	10685	-0.11529256403446198	-0.015268906	No	
row_36	XM_047164715	na	10920	-0.14695411920547485	-0.022693403	No	
row_37	XM_047164697	na	11446	-0.21035511791706085	-0.045430448	No	
row_38	XM_047185803	na	11558	-0.22412802278995514	-0.041086413	No	
row_39	XM_047185801	na	11636	-0.2339213341474533	-0.034077086	No	
row_40	XM_047171642	na	11682	-0.23997953534126282	-0.024720164	No	
row_41	XM_047167086	na	12384	-0.3416307866573334	-0.051984668	No	
row_42	XM_047169089	na	12471	-0.3472333252429962	-0.039776836	No	
row_43	XM_047178737	na	13003	-0.3694388270378113	-0.054792665	No	
row_44	XM_047169097	na	13718	-0.45018965005874634	-0.07735566	No	
row_45	XM_047179107	na	14751	-0.6563979387283325	-0.10967717	No	
row_46	XM_047172228	na	14820	-0.6707093119621277	-0.079844944	No	
row_47	XM_047171926	na	14931	-0.7059502601623535	-0.05089377	No	
row_48	XM_047171742	na	15210	-0.8204420804977417	-0.026815243	No	
row_49	XM_047167376	na	15626	-1.1918929815292358	0.0074550756	No	
