NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047166980	na	44	1.5098780393600464	0.034475766	Yes	
row_1	XM_047170661	na	146	1.2398332357406616	0.058634885	Yes	
row_2	XM_047185756	na	280	1.1081963777542114	0.07749535	Yes	
row_3	XM_047166796	na	325	1.0818806886672974	0.10140042	Yes	
row_4	XM_047172130	na	332	1.0808959007263184	0.12771253	Yes	
row_5	XM_047185750	na	356	1.0696234703063965	0.15265854	Yes	
row_6	XM_047168881	na	586	0.9426186680793762	0.16128713	Yes	
row_7	XM_047186290	na	722	0.8689045310020447	0.1741096	Yes	
row_8	XM_047184347	na	1139	0.7303138971328735	0.16552973	Yes	
row_9	XM_047178930	na	1193	0.7139232754707336	0.17977111	Yes	
row_10	XM_047166538	na	1225	0.7058775424957275	0.19522142	Yes	
row_11	XM_047185179	na	1263	0.6948339343070984	0.21001507	Yes	
row_12	XM_047165116	na	1436	0.660300076007843	0.21531801	Yes	
row_13	XM_047174043	na	1445	0.660300076007843	0.23111427	Yes	
row_14	XM_047165603	na	1465	0.6568529009819031	0.24612157	Yes	
row_15	XM_047173625	na	1541	0.6475605964660645	0.2573163	Yes	
row_16	XM_047176687	na	1617	0.6410685181617737	0.26835066	Yes	
row_17	XM_047168345	na	1699	0.6225652098655701	0.27854413	Yes	
row_18	XM_047179595	na	1930	0.5695316195487976	0.2778942	Yes	
row_19	XM_047167728	na	1978	0.560102641582489	0.28872043	Yes	
row_20	XM_047167176	na	1996	0.5567145347595215	0.30138245	Yes	
row_21	XM_047167520	na	2312	0.4861374497413635	0.29323426	Yes	
row_22	XM_047167740	na	2418	0.4675366282463074	0.29806325	Yes	
row_23	XM_047170330	na	2591	0.4380916655063629	0.29787806	Yes	
row_24	XM_047178401	na	2627	0.4338109791278839	0.3063529	Yes	
row_25	XM_047184823	na	2856	0.41252630949020386	0.30195326	No	
row_26	XM_047167730	na	3130	0.3752251863479614	0.29375306	No	
row_27	XM_047185215	na	3250	0.3752251863479614	0.29540634	No	
row_28	XM_047167729	na	3357	0.3689509630203247	0.29773644	No	
row_29	XM_047172396	na	3383	0.3689509630203247	0.3052492	No	
row_30	XM_047164754	na	3514	0.36435678601264954	0.30593026	No	
row_31	XM_047181738	na	3836	0.35110196471214294	0.29406303	No	
row_32	XM_047180527	na	3971	0.3357910215854645	0.29378262	No	
row_33	XM_047167519	na	4052	0.3253787159919739	0.29670015	No	
row_34	XM_047179949	na	4104	0.31585797667503357	0.30123806	No	
row_35	XM_047172484	na	4199	0.30363908410072327	0.3027229	No	
row_36	XM_047172129	na	4387	0.2761617600917816	0.2975786	No	
row_37	XM_047182104	na	4418	0.272799015045166	0.3023967	No	
row_38	XM_047165209	na	4499	0.26283320784568787	0.3037695	No	
row_39	XM_047179071	na	4601	0.25121253728866577	0.3035116	No	
row_40	XM_047184480	na	4771	0.22815553843975067	0.29833338	No	
row_41	XM_047166981	na	5028	0.19842223823070526	0.2868542	No	
row_42	XM_047172485	na	5077	0.19107095897197723	0.28850207	No	
