NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047168224	na	2602	0.43687793612480164	-0.118247315	No	
row_1	XM_047175109	na	3317	0.37061432003974915	-0.12355111	No	
row_2	XM_047163087	na	3699	0.35110196471214294	-0.10978137	No	
row_3	XM_047176277	na	3981	0.334005206823349	-0.09150035	No	
row_4	XM_047169439	na	4389	0.2760486900806427	-0.087509856	No	
row_5	XM_047181770	na	4761	0.2297339290380478	-0.086242914	No	
row_6	XM_047167933	na	5208	0.1765093058347702	-0.095509544	No	
row_7	XM_047175247	na	6467	0.023731136694550514	-0.17297609	No	
row_8	XM_047165319	na	6502	0.02161550149321556	-0.17279917	No	
row_9	XM_047169409	na	6779	8.068698225542903E-4	-0.1902713	No	
row_10	XM_047169075	na	10001	-0.03689631074666977	-0.3912013	No	
row_11	XM_047174819	na	10574	-0.10393574088811874	-0.41634086	No	
row_12	XM_047185310	na	11433	-0.20921355485916138	-0.44827896	Yes	
row_13	XM_047167656	na	11856	-0.2617921531200409	-0.44678617	Yes	
row_14	XM_047164380	na	11994	-0.2810334861278534	-0.42507827	Yes	
row_15	XM_047181487	na	12563	-0.3472333252429962	-0.42362455	Yes	
row_16	XM_047182831	na	13312	-0.3975386619567871	-0.4281767	Yes	
row_17	XM_047185651	na	13746	-0.454326868057251	-0.40654036	Yes	
row_18	XM_047169371	na	13789	-0.4600966274738312	-0.3594035	Yes	
row_19	XM_047184764	na	13913	-0.4809826910495758	-0.31515887	Yes	
row_20	XM_047169345	na	13925	-0.4831725060939789	-0.26355162	Yes	
row_21	XM_047169348	na	14081	-0.5088754892349243	-0.21832326	Yes	
row_22	XM_047174903	na	14601	-0.6267499327659607	-0.18349227	Yes	
row_23	XM_047169347	na	15005	-0.7288156151771545	-0.13023181	Yes	
row_24	XM_047168967	na	15053	-0.7458437085151672	-0.05247875	Yes	
row_25	XM_047169332	na	15338	-0.8896733522415161	0.025766717	Yes	
