NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047165488	na	94	1.3375681638717651	0.04553785	Yes	
row_1	XM_047168419	na	132	1.2603421211242676	0.091741696	Yes	
row_2	XM_047177628	na	737	0.8627811074256897	0.08639762	Yes	
row_3	XM_047169898	na	897	0.7990488409996033	0.107030265	Yes	
row_4	XM_047180313	na	1177	0.7177311182022095	0.11686206	Yes	
row_5	XM_047163981	na	1245	0.7000691890716553	0.1395587	Yes	
row_6	XM_047165303	na	1317	0.6795304417610168	0.16120829	Yes	
row_7	XM_047164512	na	1326	0.6780707240104675	0.18682693	Yes	
row_8	XM_047181674	na	1452	0.6598366498947144	0.20426735	Yes	
row_9	XM_047170282	na	1649	0.6343162655830383	0.2161879	Yes	
row_10	XM_047183360	na	1696	0.6233199834823608	0.23726873	Yes	
row_11	XM_047173675	na	1735	0.6139919757843018	0.25850126	Yes	
row_12	XM_047168596	na	1744	0.6116092801094055	0.28155878	Yes	
row_13	XM_047171336	na	1877	0.5801604986190796	0.2954816	Yes	
row_14	XM_047164511	na	2103	0.5342197418212891	0.30169192	Yes	
row_15	XM_047170295	na	2119	0.5297043323516846	0.32114595	Yes	
row_16	XM_047168710	na	2514	0.45058712363243103	0.31333545	Yes	
row_17	XM_047177546	na	2735	0.4222121238708496	0.315549	Yes	
row_18	XM_047169950	na	2752	0.4202113151550293	0.33071974	Yes	
row_19	XM_047170729	na	2992	0.39554598927497864	0.3306917	Yes	
row_20	XM_047178591	na	2996	0.3948972225189209	0.34571758	Yes	
row_21	XM_047164513	na	3120	0.3752251863479614	0.35231817	Yes	
row_22	XM_047168571	na	3363	0.3689509630203247	0.3510736	Yes	
row_23	XM_047165129	na	3529	0.3623338043689728	0.35449386	Yes	
row_24	XM_047173963	na	4043	0.32594555616378784	0.33427685	Yes	
row_25	XM_047176247	na	4150	0.30886414647102356	0.33940637	Yes	
row_26	XM_047175686	na	4177	0.3051663041114807	0.34950486	Yes	
row_27	XM_047170288	na	4237	0.29702019691467285	0.35718095	Yes	
row_28	XM_047177572	na	4436	0.2699801027774811	0.35493383	No	
row_29	XM_047181673	na	4633	0.2471969723701477	0.35193652	No	
row_30	XM_047185236	na	4795	0.2258145660161972	0.3503515	No	
row_31	XM_047185134	na	4972	0.20406801998615265	0.3469701	No	
row_32	XM_047170336	na	5114	0.1874600052833557	0.34518495	No	
row_33	XM_047184080	na	5122	0.1868523359298706	0.35193816	No	
row_34	XM_047163890	na	5216	0.17508187890052795	0.3527429	No	
row_35	XM_047168101	na	5341	0.1591241955757141	0.35095203	No	
row_36	XM_047165302	na	5417	0.14959147572517395	0.35192457	No	
row_37	XM_047165127	na	5436	0.14787840843200684	0.35647306	No	
row_38	XM_047164352	na	5745	0.10824338346719742	0.340965	No	
row_39	XM_047177630	na	5894	0.0891818031668663	0.3349454	No	
row_40	XM_047185417	na	6034	0.07162217795848846	0.3288242	No	
row_41	XM_047168930	na	6037	0.07119143009185791	0.3314398	No	
row_42	XM_047176274	na	6076	0.0673222690820694	0.33160612	No	
row_43	XM_047170374	na	6226	0.05037054046988487	0.32402703	No	
row_44	XM_047173536	na	6262	0.04550877958536148	0.32354444	No	
row_45	XM_047169899	na	6439	0.02687338925898075	0.31333473	No	
row_46	XM_047173661	na	6743	0.004037221893668175	0.29413053	No	
row_47	XM_047164310	na	6931	0.0	0.28218243	No	
row_48	XM_047164311	na	6932	0.0	0.28218243	No	
row_49	XM_047164484	na	6953	0.0	0.28090453	No	
row_50	XM_047165128	na	7063	0.0	0.27394012	No	
row_51	XM_047165304	na	7076	0.0	0.27317342	No	
row_52	XM_047166868	na	7193	0.0	0.26576173	No	
row_53	XM_047168175	na	7329	0.0	0.2571361	No	
row_54	XM_047169543	na	7467	0.0	0.24838266	No	
row_55	XM_047169582	na	7483	0.0	0.24742426	No	
row_56	XM_047169584	na	7484	0.0	0.24742426	No	
row_57	XM_047169596	na	7489	0.0	0.24716868	No	
row_58	XM_047169820	na	7510	0.0	0.24589081	No	
row_59	XM_047169959	na	7518	0.0	0.24544355	No	
row_60	XM_047173645	na	7932	0.0	0.21905546	No	
row_61	XM_047173652	na	7933	0.0	0.21905546	No	
row_62	XM_047173964	na	7956	0.0	0.2176498	No	
row_63	XM_047174147	na	7970	0.0	0.21681918	No	
row_64	XM_047175184	na	8069	0.0	0.2105576	No	
row_65	XM_047180760	na	8665	0.0	0.17254086	No	
row_66	XM_047169819	na	9689	-0.0019319753628224134	0.10725207	No	
row_67	XM_047181676	na	9758	-0.009440717287361622	0.1032711	No	
row_68	XM_047177535	na	9821	-0.017110267654061317	0.099969044	No	
row_69	XM_047166558	na	9874	-0.02142360992729664	0.09747214	No	
row_70	XM_047179055	na	9981	-0.034038033336400986	0.09201109	No	
row_71	XM_047184716	na	10170	-0.05391767621040344	0.08207682	No	
row_72	XM_047182938	na	10311	-0.07395544648170471	0.07598161	No	
row_73	XM_047180373	na	10316	-0.07452148199081421	0.078597754	No	
row_74	XM_047166788	na	10642	-0.1118537187576294	0.062142648	No	
row_75	XM_047169878	na	10775	-0.12650734186172485	0.058583707	No	
row_76	XM_047169598	na	10929	-0.14799851179122925	0.05451117	No	
row_77	XM_047174117	na	11122	-0.1699456423521042	0.048792522	No	
row_78	XM_047169860	na	11233	-0.18441753089427948	0.04887084	No	
row_79	XM_047185751	na	11610	-0.2309671938419342	0.033747252	No	
row_80	XM_047170384	na	11853	-0.2614201009273529	0.028358934	No	
row_81	XM_047177559	na	12070	-0.29181697964668274	0.025803212	No	
row_82	XM_047170847	na	12312	-0.329976350069046	0.023120638	No	
row_83	XM_047180856	na	12327	-0.3317376375198364	0.0350098	No	
row_84	XM_047169633	na	12904	-0.36702027916908264	0.012350349	No	
row_85	XM_047170200	na	12957	-0.3694388270378113	0.023264388	No	
row_86	XM_047175182	na	13519	-0.4227571189403534	0.003711187	No	
row_87	XM_047168569	na	13546	-0.42491641640663147	0.018424317	No	
row_88	XM_047169863	na	13692	-0.44601091742515564	0.026346989	No	
row_89	XM_047179482	na	13845	-0.4702257215976715	0.03475553	No	
row_90	XM_047170846	na	14103	-0.5130046010017395	0.038103744	No	
row_91	XM_047169446	na	14765	-0.6603549718856812	0.021317128	No	
row_92	XM_047174988	na	15536	-1.0667312145233154	0.013226014	No	
