NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047163918	na	105	1.310158610343933	0.041762203	Yes	
row_1	XM_047165832	na	237	1.1410325765609741	0.07561209	Yes	
row_2	XM_047171717	na	413	1.0348546504974365	0.10273037	Yes	
row_3	XM_047177007	na	460	1.0044751167297363	0.13694794	Yes	
row_4	XM_047170994	na	502	0.9811007380485535	0.17061974	Yes	
row_5	XM_047169783	na	812	0.8317102193832397	0.18168332	Yes	
row_6	XM_047167916	na	849	0.81411212682724	0.20949788	Yes	
row_7	XM_047173935	na	1060	0.7518196702003479	0.22391734	Yes	
row_8	XM_047178395	na	1208	0.7105345726013184	0.24082568	Yes	
row_9	XM_047174908	na	1307	0.680797278881073	0.25975764	Yes	
row_10	XM_047184154	na	1493	0.6545433402061462	0.272173	Yes	
row_11	XM_047171748	na	1499	0.65254145860672	0.295988	Yes	
row_12	XM_047178704	na	1652	0.6335038542747498	0.30972874	Yes	
row_13	XM_047170594	na	1873	0.5811247825622559	0.31719774	Yes	
row_14	XM_047170591	na	1992	0.5568560361862183	0.33027095	Yes	
row_15	XM_047169991	na	2163	0.5207079648971558	0.33869264	Yes	
row_16	XM_047184394	na	2322	0.4835459291934967	0.3465048	Yes	
row_17	XM_047165674	na	2611	0.43536463379859924	0.34424844	Yes	
row_18	XM_047183656	na	2736	0.42209741473197937	0.35195526	Yes	
row_19	XM_047169784	na	2912	0.40516772866249084	0.35578507	Yes	
row_20	XM_047182518	na	3041	0.38906174898147583	0.36201513	Yes	
row_21	XM_047174631	na	3053	0.3851536214351654	0.37555856	Yes	
row_22	XM_047163934	na	3293	0.3736117482185364	0.37414172	Yes	
row_23	XM_047163066	na	3298	0.3728565573692322	0.38767657	Yes	
row_24	XM_047165000	na	4262	0.29389849305152893	0.3371617	No	
row_25	XM_047177022	na	5615	0.12384647876024246	0.25556153	No	
row_26	XM_047172109	na	5760	0.10571811348199844	0.25029245	No	
row_27	XM_047163410	na	5862	0.09318310022354126	0.2473007	No	
row_28	XM_047163599	na	6121	0.061017297208309174	0.23311168	No	
row_29	XM_047175268	na	8083	0.0	0.10811168	No	
row_30	XM_047183031	na	8889	0.0	0.056798574	No	
row_31	XM_047171165	na	9706	-0.003950763959437609	0.0049304073	No	
row_32	XM_047185080	na	10142	-0.04998806118965149	-0.020949025	No	
row_33	XM_047182938	na	10311	-0.07395544648170471	-0.02892266	No	
row_34	XM_047173281	na	10585	-0.1054031178355217	-0.042426243	No	
row_35	XM_047178189	na	10681	-0.1148158609867096	-0.04423545	No	
row_36	XM_047172217	na	10714	-0.11855228990316391	-0.041890662	No	
row_37	XM_047174910	na	10915	-0.14660000801086426	-0.04921737	No	
row_38	XM_047170728	na	11364	-0.20095910131931305	-0.070341915	No	
row_39	XM_047172145	na	11708	-0.24321679770946503	-0.08321057	No	
row_40	XM_047174436	na	11871	-0.26380133628845215	-0.083780445	No	
row_41	XM_047172937	na	12049	-0.2884872555732727	-0.08439347	No	
row_42	XM_047166711	na	12060	-0.28973188996315	-0.07431539	No	
row_43	XM_047178054	na	12662	-0.3515220284461975	-0.09962416	No	
row_44	XM_047183658	na	13033	-0.3694388270378113	-0.10954565	No	
row_45	XM_047169073	na	13314	-0.39766332507133484	-0.11268641	No	
row_46	XM_047180281	na	13784	-0.4596760869026184	-0.1255811	No	
row_47	XM_047183307	na	13992	-0.4952934980392456	-0.12045786	No	
row_48	XM_047176476	na	14003	-0.49701395630836487	-0.10271361	No	
row_49	XM_047183442	na	14681	-0.6408941149711609	-0.12216463	No	
row_50	XM_047186132	na	14829	-0.6707093119621277	-0.10672918	No	
row_51	XM_047165242	na	14855	-0.6755958199501038	-0.08333636	No	
row_52	XM_047179400	na	15049	-0.7441307902336121	-0.06811765	No	
row_53	XM_047165469	na	15175	-0.7963093519210815	-0.04663463	No	
row_54	XM_047168425	na	15470	-1.0014736652374268	-0.028336335	No	
row_55	XM_047185394	na	15649	-1.2349705696105957	0.0059918566	No	
