NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047177275	na	929	0.7880685925483704	-0.026825862	No	
row_1	XM_047166496	na	2779	0.4195576608181	-0.1274034	No	
row_2	XM_047176801	na	2969	0.3994116485118866	-0.123042114	No	
row_3	XM_047185745	na	3480	0.3687800168991089	-0.14039122	No	
row_4	XM_047185051	na	4521	0.26097798347473145	-0.19593634	No	
row_5	XM_047172998	na	4801	0.22552187740802765	-0.2044508	No	
row_6	XM_047176976	na	5596	0.12587027251720428	-0.24987082	No	
row_7	XM_047185442	na	5706	0.11193817853927612	-0.25221854	No	
row_8	XM_047170673	na	5709	0.111501045525074	-0.24776678	No	
row_9	XM_047177822	na	5876	0.0913928970694542	-0.25459	No	
row_10	XM_047163600	na	5986	0.0775487869977951	-0.25835007	No	
row_11	XM_047162985	na	6325	0.03790369629859924	-0.27832893	No	
row_12	XM_047178556	na	6351	0.0365297831594944	-0.27842158	No	
row_13	XM_047179335	na	6546	0.01646259054541588	-0.2901061	No	
row_14	XM_047170731	na	9768	-0.009739306755363941	-0.4949307	No	
row_15	XM_047170732	na	10010	-0.03715170919895172	-0.50876015	No	
row_16	XM_047176802	na	10735	-0.12182732671499252	-0.54988617	No	
row_17	XM_047185838	na	10743	-0.12258509546518326	-0.5452978	No	
row_18	XM_047171096	na	11235	-0.1845332384109497	-0.5690031	No	
row_19	XM_047181883	na	11609	-0.23066715896129608	-0.5832954	No	
row_20	XM_047167424	na	12196	-0.3125877380371094	-0.6077946	No	
row_21	XM_047174933	na	12511	-0.3472333252429962	-0.61354053	Yes	
row_22	XM_047177914	na	12531	-0.3472333252429962	-0.6004906	Yes	
row_23	XM_047181042	na	12696	-0.35576146841049194	-0.59632915	Yes	
row_24	XM_047168394	na	13087	-0.37223052978515625	-0.6058908	Yes	
row_25	XM_047173254	na	13132	-0.3815057873725891	-0.59302634	Yes	
row_26	XM_047181884	na	13199	-0.39095205068588257	-0.58117557	Yes	
row_27	XM_047162936	na	13352	-0.4042918086051941	-0.5742565	Yes	
row_28	XM_047174334	na	13463	-0.41548603773117065	-0.5642016	Yes	
row_29	XM_047174116	na	13502	-0.42231321334838867	-0.54927886	Yes	
row_30	XM_047183307	na	13992	-0.4952934980392456	-0.56009424	Yes	
row_31	XM_047173592	na	14392	-0.5723183155059814	-0.56201196	Yes	
row_32	XM_047177589	na	14495	-0.5995542407035828	-0.5438879	Yes	
row_33	XM_047165043	na	14539	-0.6110420823097229	-0.52153295	Yes	
row_34	XM_047165100	na	14754	-0.6570909023284912	-0.508182	Yes	
row_35	XM_047172651	na	14812	-0.6694802045822144	-0.48431903	Yes	
row_36	XM_047178869	na	14876	-0.6825806498527527	-0.46030033	Yes	
row_37	XM_047173469	na	14899	-0.6922172904014587	-0.43327358	Yes	
row_38	XM_047181401	na	14912	-0.6958262920379639	-0.40546146	Yes	
row_39	XM_047179642	na	14946	-0.7080481648445129	-0.3784854	Yes	
row_40	XM_047171255	na	15216	-0.8240090012550354	-0.36178365	Yes	
row_41	XM_047165253	na	15303	-0.868464469909668	-0.33159637	Yes	
row_42	XM_047179777	na	15315	-0.8754783868789673	-0.2963425	Yes	
row_43	XM_047165381	na	15417	-0.9568576216697693	-0.26348072	Yes	
row_44	XM_047164555	na	15450	-0.9822563529014587	-0.2251796	Yes	
row_45	XM_047165028	na	15609	-1.1453272104263306	-0.18820938	Yes	
row_46	XM_047170221	na	15689	-1.3751654624938965	-0.13676657	Yes	
row_47	XM_047170552	na	15693	-1.3847345113754272	-0.08008845	Yes	
row_48	XM_047178256	na	15738	-2.0261335372924805	3.1880054E-4	Yes	
