NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047174185	na	475	0.9969292283058167	-0.008472745	No	
row_1	XM_047186326	na	784	0.8414796590805054	-0.009674668	No	
row_2	XM_047171043	na	975	0.7739825248718262	-0.004807417	No	
row_3	XM_047181902	na	1052	0.7538540959358215	0.0069152517	No	
row_4	XM_047173935	na	1060	0.7518196702003479	0.023010567	No	
row_5	XM_047186354	na	1081	0.7465001344680786	0.03815656	No	
row_6	XM_047173237	na	1221	0.7070300579071045	0.0448156	No	
row_7	XM_047178697	na	1224	0.7063567042350769	0.060230624	No	
row_8	XM_047171862	na	1266	0.6939836740493774	0.07287659	No	
row_9	XM_047170087	na	1318	0.6795280575752258	0.08456426	No	
row_10	XM_047180031	na	2089	0.5379782915115356	0.047106456	No	
row_11	XM_047180417	na	2243	0.5020322799682617	0.04835832	No	
row_12	XM_047176499	na	2836	0.41252630949020386	0.019535651	No	
row_13	XM_047163563	na	2966	0.3996555507183075	0.020071251	No	
row_14	XM_047176801	na	2969	0.3994116485118866	0.028732087	No	
row_15	XM_047185215	na	3250	0.3752251863479614	0.019063015	No	
row_16	XM_047173940	na	3626	0.3615422248840332	0.0030109086	No	
row_17	XM_047171850	na	3668	0.354745477437973	0.008192087	No	
row_18	XM_047180527	na	3971	0.3357910215854645	-0.0037531683	No	
row_19	XM_047176055	na	4112	0.3148376941680908	-0.005788172	No	
row_20	XM_047184447	na	4571	0.2554636001586914	-0.029488193	No	
row_21	XM_047175511	na	4693	0.2394476681947708	-0.031965733	No	
row_22	XM_047170743	na	4726	0.23591865599155426	-0.028823102	No	
row_23	XM_047180083	na	4976	0.20398065447807312	-0.0402757	No	
row_24	XM_047173227	na	5213	0.1756725013256073	-0.05151894	No	
row_25	XM_047168560	na	5250	0.1698528677225113	-0.050086137	No	
row_26	XM_047178432	na	5307	0.1642908900976181	-0.050056137	No	
row_27	XM_047165925	na	5323	0.16195669770240784	-0.04745266	No	
row_28	XM_047186218	na	5394	0.15249724686145782	-0.04857846	No	
row_29	XM_047176863	na	5640	0.12064963579177856	-0.061608635	No	
row_30	XM_047168799	na	5737	0.10931799560785294	-0.06534911	No	
row_31	XM_047177515	na	5749	0.1075955480337143	-0.063685745	No	
row_32	XM_047182207	na	5789	0.102361299097538	-0.063930124	No	
row_33	XM_047163410	na	5862	0.09318310022354126	-0.066489145	No	
row_34	XM_047164148	na	5912	0.0864061713218689	-0.067724824	No	
row_35	XM_047175244	na	5960	0.08061058074235916	-0.06895999	No	
row_36	XM_047176083	na	6007	0.07505496591329575	-0.07025338	No	
row_37	XM_047165050	na	6168	0.055372487753629684	-0.07927821	No	
row_38	XM_047173439	na	6176	0.05346629023551941	-0.07854985	No	
row_39	XM_047173943	na	7954	0.0	-0.19231425	No	
row_40	XM_047174214	na	7975	0.0	-0.19359466	No	
row_41	XM_047174738	na	8028	0.0	-0.19692373	No	
row_42	XM_047178718	na	8409	0.0	-0.22125152	No	
row_43	XM_047184528	na	9018	0.0	-0.26017597	No	
row_44	XM_047185100	na	9089	0.0	-0.2646574	No	
row_45	XM_047185213	na	9112	0.0	-0.26606587	No	
row_46	XM_047167006	na	9658	-6.43368752207607E-4	-0.30094287	No	
row_47	XM_047185892	na	9822	-0.017194347456097603	-0.31099987	No	
row_48	XM_047164060	na	9872	-0.021251609548926353	-0.31366923	No	
row_49	XM_047176163	na	9895	-0.02468273788690567	-0.31453454	No	
row_50	XM_047170010	na	9976	-0.03361377492547035	-0.31891653	No	
row_51	XM_047168477	na	9977	-0.033621497452259064	-0.31817672	No	
row_52	XM_047180651	na	9986	-0.03466933220624924	-0.317926	No	
row_53	XM_047173390	na	10146	-0.05043992027640343	-0.32699534	No	
row_54	XM_047185904	na	10168	-0.053711410611867905	-0.32715786	No	
row_55	XM_047174843	na	10255	-0.06818916648626328	-0.33116317	No	
row_56	XM_047176316	na	10257	-0.06847628951072693	-0.32972038	No	
row_57	XM_047185795	na	10334	-0.07588597387075424	-0.3329161	No	
row_58	XM_047180085	na	10419	-0.085451140999794	-0.3364135	No	
row_59	XM_047168638	na	10529	-0.09893900901079178	-0.34121463	No	
row_60	XM_047185543	na	10551	-0.10130330175161362	-0.34032995	No	
row_61	XM_047174819	na	10574	-0.10393574088811874	-0.3394513	No	
row_62	XM_047179010	na	10660	-0.1128905713558197	-0.34240896	No	
