NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047180087	na	99	1.3222882747650146	0.022616204	No	
row_1	XM_047181389	na	443	1.0147517919540405	0.022890387	No	
row_2	XM_047174185	na	475	0.9969292283058167	0.04273343	No	
row_3	XM_047186326	na	784	0.8414796590805054	0.041453097	No	
row_4	XM_047166764	na	827	0.8258343935012817	0.05684661	No	
row_5	XM_047177768	na	961	0.778819739818573	0.065389425	No	
row_6	XM_047173738	na	1020	0.7608183026313782	0.07833597	No	
row_7	XM_047173935	na	1060	0.7518196702003479	0.09230097	No	
row_8	XM_047174422	na	1342	0.67522794008255	0.08910805	No	
row_9	XM_047174714	na	1594	0.6431698203086853	0.08713241	No	
row_10	XM_047169823	na	1679	0.6265431642532349	0.095475964	No	
row_11	XM_047173324	na	1763	0.6053846478462219	0.103420265	No	
row_12	XM_047167920	na	1791	0.6000804305076599	0.11483083	No	
row_13	XM_047166520	na	1991	0.5577418804168701	0.11431139	No	
row_14	XM_047186395	na	1999	0.556189239025116	0.12604046	No	
row_15	XM_047166445	na	2353	0.47816792130470276	0.11392729	No	
row_16	XM_047168301	na	2373	0.4744608402252197	0.12309939	No	
row_17	XM_047166375	na	2399	0.4708288311958313	0.13180815	No	
row_18	XM_047183098	na	2476	0.4575502872467041	0.13696365	No	
row_19	XM_047181299	na	2620	0.43453317880630493	0.13732915	No	
row_20	XM_047175064	na	2832	0.41252630949020386	0.13286279	No	
row_21	XM_047163146	na	3114	0.3752251863479614	0.12310179	No	
row_22	XM_047167780	na	3131	0.3752251863479614	0.1302932	No	
row_23	XM_047164331	na	3336	0.3689509630203247	0.12532064	No	
row_24	XM_047165190	na	4143	0.31025999784469604	0.08055238	No	
row_25	XM_047183308	na	4158	0.30753812193870544	0.08638983	No	
row_26	XM_047165000	na	4262	0.29389849305152893	0.08623522	No	
row_27	XM_047171340	na	4268	0.29329755902290344	0.09233663	No	
row_28	XM_047168008	na	4685	0.24075888097286224	0.070995584	No	
row_29	XM_047164980	na	4747	0.23211637139320374	0.072175145	No	
row_30	XM_047176394	na	5062	0.19356286525726318	0.05632589	No	
row_31	XM_047179008	na	5299	0.16514037549495697	0.044844136	No	
row_32	XM_047164239	na	5420	0.14936909079551697	0.040437773	No	
row_33	XM_047177787	na	5629	0.12178456783294678	0.029798009	No	
row_34	XM_047174273	na	6103	0.06394044309854507	9.3943835E-4	No	
row_35	XM_047163097	na	6260	0.045879412442445755	-0.008035635	No	
row_36	XM_047186485	na	6357	0.03591689094901085	-0.013390541	No	
row_37	XM_047178155	na	6374	0.03395910933613777	-0.013670603	No	
row_38	XM_047162851	na	6622	0.012778016738593578	-0.02919177	No	
row_39	XM_047181432	na	6764	0.0022064726799726486	-0.03816342	No	
row_40	XM_047163145	na	6817	0.0	-0.041489933	No	
row_41	XM_047164951	na	7041	0.0	-0.05575554	No	
row_42	XM_047164952	na	7042	0.0	-0.05575554	No	
row_43	XM_047165776	na	7106	0.0	-0.059785735	No	
row_44	XM_047168510	na	7361	0.0	-0.07603446	No	
row_45	XM_047169824	na	7511	0.0	-0.085566185	No	
row_46	XM_047173742	na	7942	0.0	-0.11307386	No	
row_47	XM_047175914	na	8148	0.0	-0.12618798	No	
row_48	XM_047175916	na	8149	0.0	-0.12618798	No	
row_49	XM_047179387	na	8473	0.0	-0.14685073	No	
row_50	XM_047179733	na	8515	0.0	-0.14947355	No	
row_51	XM_047179741	na	8517	0.0	-0.14953752	No	
row_52	XM_047179965	na	8554	0.0	-0.1518405	No	
row_53	XM_047186195	na	9210	0.0	-0.19374172	No	
row_54	XM_047165717	na	9761	-0.009591377340257168	-0.22871597	No	
row_55	XM_047186190	na	9857	-0.019347572699189186	-0.23436967	No	
row_56	XM_047165981	na	9928	-0.028022710233926773	-0.23823415	No	
row_57	XM_047185686	na	9978	-0.033929888159036636	-0.2406259	No	
row_58	XM_047180651	na	9986	-0.03466933220624924	-0.24031468	No	
row_59	XM_047185193	na	10184	-0.05663255602121353	-0.25167716	No	
row_60	XM_047174843	na	10255	-0.06818916648626328	-0.25466225	No	
row_61	XM_047173961	na	10323	-0.07504261285066605	-0.25730538	No	
row_62	XM_047174819	na	10574	-0.10393574088811874	-0.2710227	No	
row_63	XM_047173954	na	10595	-0.10654404759407043	-0.26996952	No	
row_64	XM_047174849	na	10672	-0.11384030431509018	-0.27233902	No	
row_65	XM_047176162	na	10706	-0.11782198399305344	-0.27187055	No	
row_66	XM_047179241	na	10708	-0.11806470900774002	-0.26934966	No	
row_67	XM_047179664	na	10716	-0.11862638592720032	-0.26720035	No	
row_68	XM_047175457	na	11033	-0.16123509407043457	-0.2838853	No	
row_69	XM_047166148	na	11132	-0.17090362310409546	-0.28641284	No	
row_70	XM_047165623	na	11165	-0.1749115139245987	-0.2846305	No	
row_71	XM_047175065	na	11269	-0.18847954273223877	-0.2870931	No	
row_72	XM_047165660	na	11338	-0.19839388132095337	-0.28709963	No	
row_73	XM_047167921	na	11634	-0.23364071547985077	-0.300856	No	
row_74	XM_047166887	na	11749	-0.24931703507900238	-0.30269033	No	
row_75	XM_047174184	na	11924	-0.2713802754878998	-0.30787992	No	
row_76	XM_047178022	na	12148	-0.3054049611091614	-0.3154592	No	
row_77	XM_047176773	na	12182	-0.3100283145904541	-0.31078267	No	
row_78	XM_047167093	na	12193	-0.3119588792324066	-0.30459255	No	
row_79	XM_047178755	na	12239	-0.3190408945083618	-0.30048636	No	
row_80	XM_047166477	na	12706	-0.3577602505683899	-0.32246444	No	
row_81	XM_047167347	na	12894	-0.36633750796318054	-0.32640672	No	
row_82	XM_047165718	na	13217	-0.39400115609169006	-0.33837944	No	
row_83	XM_047172908	na	13299	-0.39561572670936584	-0.33489975	No	
row_84	XM_047171110	na	13374	-0.4081433415412903	-0.330698	No	
row_85	XM_047184982	na	13716	-0.45009103417396545	-0.34265822	No	
row_86	XM_047168221	na	13879	-0.47632548213005066	-0.3425932	No	
row_87	XM_047178832	na	13890	-0.47790172696113586	-0.33277002	No	
row_88	XM_047174903	na	14601	-0.6267499327659607	-0.364468	Yes	
row_89	XM_047165100	na	14754	-0.6570909023284912	-0.3598057	Yes	
row_90	XM_047184000	na	14839	-0.6725912690162659	-0.35045397	Yes	
row_91	XM_047178869	na	14876	-0.6825806498527527	-0.33781296	Yes	
row_92	XM_047181925	na	14897	-0.6919561624526978	-0.3239431	Yes	
row_93	XM_047172028	na	14902	-0.6934085488319397	-0.30901796	Yes	
row_94	XM_047163112	na	14913	-0.6963624358177185	-0.29441193	Yes	
row_95	XM_047173326	na	14957	-0.710716187953949	-0.2816027	Yes	
row_96	XM_047182737	na	14974	-0.7162153720855713	-0.26694587	Yes	
row_97	XM_047168628	na	15194	-0.8121613264083862	-0.26317462	Yes	
row_98	XM_047163360	na	15229	-0.8300740718841553	-0.24717653	Yes	
row_99	XM_047183475	na	15305	-0.8685911297798157	-0.23295797	Yes	
row_100	XM_047180119	na	15310	-0.8712126016616821	-0.21414007	Yes	
row_101	XM_047163235	na	15313	-0.8743271827697754	-0.19512603	Yes	
row_102	XM_047175066	na	15348	-0.8954998850822449	-0.17769553	Yes	
row_103	XM_047165405	na	15354	-0.9004087448120117	-0.1583024	Yes	
row_104	XM_047165898	na	15356	-0.9017566442489624	-0.13862385	Yes	
row_105	XM_047167979	na	15366	-0.9059627652168274	-0.11936501	Yes	
