NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047171314	na	391	1.0488978624343872	0.09537304	Yes	
row_1	XM_047186290	na	722	0.8689045310020447	0.1739919	Yes	
row_2	XM_047184297	na	1067	0.7497626543045044	0.23806055	Yes	
row_3	XM_047165603	na	1465	0.6568529009819031	0.28810474	Yes	
row_4	XM_047173625	na	1541	0.6475605964660645	0.35757357	Yes	
row_5	XM_047172974	na	2809	0.4135226011276245	0.32435936	Yes	
row_6	XM_047172975	na	3171	0.3752251863479614	0.3444064	Yes	
row_7	XM_047164754	na	3514	0.36435678601264954	0.3644164	Yes	
row_8	XM_047165209	na	4499	0.26283320784568787	0.33193427	No	
row_9	XM_047186242	na	5569	0.12890557944774628	0.27868882	No	
row_10	XM_047186402	na	5578	0.12758402526378632	0.29280698	No	
row_11	XM_047180789	na	5712	0.11128093302249908	0.29710183	No	
row_12	XM_047168078	na	6237	0.04888172447681427	0.26936206	No	
row_13	XM_047171313	na	6462	0.024056416004896164	0.25786617	No	
row_14	XM_047170880	na	6684	0.009060237556695938	0.24484192	No	
row_15	XM_047184584	na	6778	0.0010445993393659592	0.23904377	No	
row_16	XM_047164638	na	6995	0.0	0.22529894	No	
row_17	XM_047174974	na	8050	0.0	0.15822926	No	
row_18	XM_047174976	na	8051	0.0	0.15822926	No	
row_19	XM_047176058	na	9877	-0.021909041330218315	0.04460999	No	
row_20	XM_047175745	na	10366	-0.0788118913769722	0.022592457	No	
row_21	XM_047165827	na	10608	-0.10757500678300858	0.019590016	No	
row_22	XM_047176648	na	11484	-0.21430405974388123	-0.0115198055	No	
row_23	XM_047168391	na	12466	-0.3472333252429962	-0.034134742	No	
row_24	XM_047173626	na	12501	-0.3472333252429962	0.0035112244	No	
row_25	XM_047171755	na	12808	-0.3661865293979645	0.026021823	No	
row_26	XM_047167719	na	13618	-0.4360523521900177	0.024534741	No	
row_27	XM_047171754	na	13856	-0.4716034531593323	0.06352186	No	
row_28	XM_047180754	na	13979	-0.49273359775543213	0.11224935	No	
