NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047175880	na	304	1.0968080759048462	0.027823552	No	
row_1	XM_047186261	na	420	1.0310252904891968	0.06486841	No	
row_2	XM_047186326	na	784	0.8414796590805054	0.07793931	No	
row_3	XM_047178480	na	1122	0.7363510131835938	0.08814321	No	
row_4	XM_047175710	na	1251	0.697763204574585	0.11001439	No	
row_5	XM_047174365	na	1434	0.660614550113678	0.12684292	No	
row_6	XM_047175712	na	1587	0.6447692513465881	0.14490254	No	
row_7	XM_047184638	na	2370	0.474771648645401	0.11546895	No	
row_8	XM_047168007	na	2460	0.4609508514404297	0.12963407	No	
row_9	XM_047168991	na	2533	0.4489404261112213	0.14436634	No	
row_10	XM_047170946	na	3636	0.3599918484687805	0.089585386	No	
row_11	XM_047178939	na	4214	0.3006555140018463	0.06573042	No	
row_12	XM_047165000	na	4262	0.29389849305152893	0.075383484	No	
row_13	XM_047166809	na	4289	0.29046860337257385	0.08622811	No	
row_14	XM_047180726	na	4950	0.20799334347248077	0.053091645	No	
row_15	XM_047176836	na	5118	0.18714021146297455	0.05049692	No	
row_16	XM_047169224	na	5519	0.1354016810655594	0.030816458	No	
row_17	XM_047178272	na	5595	0.12592007219791412	0.031453595	No	
row_18	XM_047169748	na	5794	0.10210096091032028	0.023221597	No	
row_19	XM_047180334	na	5805	0.10061366856098175	0.026914611	No	
row_20	XM_047178346	na	5944	0.08275377750396729	0.021676136	No	
row_21	XM_047180333	na	5995	0.0761035680770874	0.021763302	No	
row_22	XM_047175987	na	6032	0.07177986949682236	0.022557162	No	
row_23	XM_047165268	na	7072	0.0	-0.043701366	No	
row_24	XM_047171317	na	7657	0.0	-0.08094388	No	
row_25	XM_047172888	na	7851	0.0	-0.09325177	No	
row_26	XM_047174214	na	7975	0.0	-0.10109566	No	
row_27	XM_047174380	na	7996	0.0	-0.10237109	No	
row_28	XM_047182847	na	8871	0.0	-0.15810733	No	
row_29	XM_047167021	na	9832	-0.017995458096265793	-0.21855333	No	
row_30	XM_047167020	na	9931	-0.028289807960391045	-0.22358525	No	
row_31	XM_047185538	na	10083	-0.045078299939632416	-0.23127443	No	
row_32	XM_047185904	na	10168	-0.053711410611867905	-0.23431931	No	
row_33	XM_047175338	na	10211	-0.06178424507379532	-0.23433833	No	
row_34	XM_047174843	na	10255	-0.06818916648626328	-0.23414542	No	
row_35	XM_047185795	na	10334	-0.07588597387075424	-0.23585322	No	
row_36	XM_047170476	na	10666	-0.11355714499950409	-0.2520737	No	
row_37	XM_047182708	na	11137	-0.1714799553155899	-0.27466527	No	
row_38	XM_047185588	na	11363	-0.20093002915382385	-0.28036517	No	
row_39	XM_047169933	na	11445	-0.21022097766399384	-0.27648208	No	
row_40	XM_047184168	na	11506	-0.2177901268005371	-0.270934	No	
row_41	XM_047177699	na	12077	-0.2931784987449646	-0.29466438	No	
row_42	XM_047175714	na	12141	-0.3039442300796509	-0.2855993	No	
row_43	XM_047175713	na	12521	-0.3472333252429962	-0.29482263	Yes	
row_44	XM_047184637	na	12587	-0.3472333252429962	-0.28402176	Yes	
row_45	XM_047183465	na	12651	-0.34853285551071167	-0.2730374	Yes	
row_46	XM_047183042	na	13141	-0.3825889527797699	-0.28775382	Yes	
row_47	XM_047169659	na	13302	-0.39576858282089233	-0.2809221	Yes	
row_48	XM_047185546	na	13366	-0.4069860279560089	-0.26742175	Yes	
row_49	XM_047183206	na	13448	-0.4134587347507477	-0.2547907	Yes	
row_50	XM_047164066	na	13458	-0.4143970310688019	-0.23752768	Yes	
row_51	XM_047174366	na	13777	-0.459272563457489	-0.23803845	Yes	
row_52	XM_047179538	na	13818	-0.466393381357193	-0.22051428	Yes	
row_53	XM_047178833	na	13951	-0.4867081642150879	-0.20798266	Yes	
row_54	XM_047175919	na	14178	-0.5278499126434326	-0.19967468	Yes	
row_55	XM_047180538	na	14337	-0.5586257576942444	-0.18570556	Yes	
row_56	XM_047184862	na	14543	-0.6116982102394104	-0.17244929	Yes	
row_57	XM_047182210	na	15008	-0.7301902770996094	-0.17060955	Yes	
row_58	XM_047165469	na	15175	-0.7963093519210815	-0.14691995	Yes	
row_59	XM_047181803	na	15309	-0.8711331486701965	-0.11790523	Yes	
row_60	XM_047168043	na	15446	-0.9784608483314514	-0.08446211	Yes	
row_61	XM_047175402	na	15498	-1.0315337181091309	-0.043314	Yes	
row_62	XM_047163119	na	15688	-1.3677940368652344	0.0035073583	Yes	
