NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047167454	na	554	0.955008864402771	0.03344917	No	
row_1	XM_047173646	na	1037	0.7564070224761963	0.05719226	No	
row_2	XM_047175126	na	1749	0.6094018816947937	0.055784103	No	
row_3	XM_047172924	na	3389	0.3689509630203247	-0.021986615	No	
row_4	XM_047172323	na	4259	0.29459014534950256	-0.05610015	No	
row_5	XM_047166482	na	5138	0.18382848799228668	-0.09875532	No	
row_6	XM_047165417	na	5525	0.13401846587657928	-0.113680474	No	
row_7	XM_047173647	na	6052	0.06952918320894241	-0.14215575	No	
row_8	XM_047164789	na	7010	0.0	-0.2030646	No	
row_9	XM_047166626	na	7173	0.0	-0.2133752	No	
row_10	XM_047170819	na	7605	0.0	-0.24080646	No	
row_11	XM_047174392	na	11621	-0.2322828769683838	-0.47963187	Yes	
row_12	XM_047165387	na	11836	-0.2593286633491516	-0.47459444	Yes	
row_13	XM_047179396	na	11869	-0.26348742842674255	-0.4576743	Yes	
row_14	XM_047175635	na	12388	-0.3422625958919525	-0.46601838	Yes	
row_15	XM_047176119	na	12825	-0.3661865293979645	-0.4674223	Yes	
row_16	XM_047186477	na	13368	-0.4072556495666504	-0.47261792	Yes	
row_17	XM_047172769	na	13442	-0.4128718078136444	-0.44755965	Yes	
row_18	XM_047174491	na	13484	-0.4197410047054291	-0.41997054	Yes	
row_19	XM_047185425	na	13782	-0.45942240953445435	-0.4058198	Yes	
row_20	XM_047178210	na	13790	-0.46010103821754456	-0.373163	Yes	
row_21	XM_047186059	na	14030	-0.49926990270614624	-0.35245395	Yes	
row_22	XM_047176102	na	14208	-0.5335814356803894	-0.32533032	Yes	
row_23	XM_047172097	na	14309	-0.5542333722114563	-0.2918201	Yes	
row_24	XM_047173676	na	14312	-0.5546981692314148	-0.25203922	Yes	
row_25	XM_047185043	na	14321	-0.5562017560005188	-0.21253203	Yes	
row_26	XM_047175108	na	14454	-0.5903138518333435	-0.17846267	Yes	
row_27	XM_047172541	na	14527	-0.6074995994567871	-0.13933814	Yes	
row_28	XM_047180315	na	14928	-0.705250084400177	-0.114056624	Yes	
row_29	XM_047177013	na	14945	-0.7076261043548584	-0.06416426	Yes	
row_30	XM_047168801	na	15156	-0.7854516506195068	-0.021019919	Yes	
row_31	XM_047177746	na	15193	-0.8105576634407043	0.03500503	Yes	
