NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047170959	na	1916	0.5725464224815369	-0.073803	No	
row_1	XM_047176147	na	3799	0.35110196471214294	-0.16404769	No	
row_2	XM_047170086	na	5156	0.181496724486351	-0.23507501	No	
row_3	XM_047184500	na	5242	0.17087021470069885	-0.2261273	No	
row_4	XM_047167914	na	5941	0.08328142017126083	-0.2635408	No	
row_5	XM_047180376	na	6425	0.028291665017604828	-0.2918949	No	
row_6	XM_047179738	na	6429	0.027738863602280617	-0.28975525	No	
row_7	XM_047167083	na	6666	0.009181397035717964	-0.30399945	No	
row_8	XM_047185010	na	6733	0.005263620987534523	-0.3077565	No	
row_9	XM_047176488	na	8204	0.0	-0.40128583	No	
row_10	XM_047177012	na	9998	-0.03638264909386635	-0.5123094	No	
row_11	XM_047180377	na	11249	-0.18568500876426697	-0.57624054	No	
row_12	XM_047180820	na	11464	-0.21226485073566437	-0.5720227	No	
row_13	XM_047178152	na	13104	-0.37643560767173767	-0.64467794	Yes	
row_14	XM_047172427	na	13313	-0.397551953792572	-0.6245112	Yes	
row_15	XM_047179831	na	13623	-0.4365125000476837	-0.6074973	Yes	
row_16	XM_047184443	na	13647	-0.4404934346675873	-0.57195204	Yes	
row_17	XM_047163640	na	13737	-0.45283111929893494	-0.5395695	Yes	
row_18	XM_047184885	na	13878	-0.47606533765792847	-0.50847983	Yes	
row_19	XM_047185969	na	14533	-0.6086934804916382	-0.49895066	Yes	
row_20	XM_047170809	na	15027	-0.7371242642402649	-0.46838754	Yes	
row_21	XM_047173234	na	15134	-0.7782773375511169	-0.40974388	Yes	
row_22	XM_047164655	na	15243	-0.8366783857345581	-0.3463208	Yes	
row_23	XM_047174376	na	15511	-1.0499088764190674	-0.27509937	Yes	
row_24	XM_047171447	na	15541	-1.0695492029190063	-0.18708497	Yes	
row_25	XM_047175760	na	15620	-1.174418330192566	-0.09337749	Yes	
row_26	XM_047181967	na	15631	-1.2038112878799438	0.00712599	Yes	
