NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047170762	na	1393	0.6669140458106995	-0.04084385	No	
row_1	XM_047165783	na	1870	0.5816570520401001	-0.029422205	No	
row_2	XM_047170959	na	1916	0.5725464224815369	0.008785859	No	
row_3	XM_047165784	na	3124	0.3752251863479614	-0.041141156	No	
row_4	XM_047170598	na	3543	0.3623338043689728	-0.041760582	No	
row_5	XM_047167752	na	4661	0.24235250055789948	-0.09548962	No	
row_6	XM_047176836	na	5118	0.18714021146297455	-0.11109629	No	
row_7	XM_047167753	na	6015	0.07363590598106384	-0.16285847	No	
row_8	XM_047181871	na	6387	0.03271472081542015	-0.18413164	No	
row_9	XM_047179738	na	6429	0.027738863602280617	-0.18475203	No	
row_10	XM_047176861	na	6741	0.004652486182749271	-0.20421836	No	
row_11	XM_047163306	na	6839	0.0	-0.21039395	No	
row_12	XM_047164789	na	7010	0.0	-0.22121714	No	
row_13	XM_047169728	na	7504	0.0	-0.25260442	No	
row_14	XM_047173685	na	7938	0.0	-0.28017175	No	
row_15	XM_047174380	na	7996	0.0	-0.28380072	No	
row_16	XM_047185942	na	11451	-0.21065902709960938	-0.4885905	No	
row_17	XM_047174392	na	11621	-0.2322828769683838	-0.48268667	No	
row_18	XM_047178185	na	12059	-0.2897149622440338	-0.48972523	Yes	
row_19	XM_047168639	na	12076	-0.29302459955215454	-0.46972305	Yes	
row_20	XM_047178956	na	12124	-0.30158695578575134	-0.45108026	Yes	
row_21	XM_047186047	na	12354	-0.336637407541275	-0.44151023	Yes	
row_22	XM_047165007	na	12776	-0.3661865293979645	-0.4420443	Yes	
row_23	XM_047170753	na	13150	-0.38412347435951233	-0.4382356	Yes	
row_24	XM_047179369	na	13178	-0.38727307319641113	-0.4121726	Yes	
row_25	XM_047173622	na	13305	-0.39691102504730225	-0.3917211	Yes	
row_26	XM_047169432	na	13646	-0.44048333168029785	-0.38176835	Yes	
row_27	XM_047163640	na	13737	-0.45283111929893494	-0.3550133	Yes	
row_28	XM_047179538	na	13818	-0.466393381357193	-0.3266487	Yes	
row_29	XM_047185615	na	14560	-0.6176343560218811	-0.3295176	Yes	
row_30	XM_047164540	na	14761	-0.6602122187614441	-0.29488882	Yes	
row_31	XM_047171047	na	14872	-0.6810086965560913	-0.25303823	Yes	
row_32	XM_047172331	na	14958	-0.7107911705970764	-0.20745948	Yes	
row_33	XM_047169881	na	15068	-0.7500180602073669	-0.16059467	Yes	
row_34	XM_047171356	na	15207	-0.8184722661972046	-0.11066543	Yes	
row_35	XM_047163139	na	15255	-0.8421434760093689	-0.05324449	Yes	
row_36	XM_047175760	na	15620	-1.174418330192566	0.007830924	Yes	
