NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047180818	na	157	1.2265771627426147	0.053043406	Yes	
row_1	XM_047186178	na	218	1.1576802730560303	0.10872186	Yes	
row_2	XM_047181413	na	333	1.0805473327636719	0.15699792	Yes	
row_3	XM_047182056	na	364	1.0662542581558228	0.20988765	Yes	
row_4	XM_047186264	na	441	1.015936255455017	0.2572625	Yes	
row_5	XM_047177059	na	448	1.01131272315979	0.3088566	Yes	
row_6	XM_047185295	na	498	0.9838353991508484	0.3563007	Yes	
row_7	XM_047175636	na	768	0.849233090877533	0.3828196	Yes	
row_8	XM_047167792	na	853	0.8136124014854431	0.4192867	Yes	
row_9	XM_047172354	na	1100	0.74355548620224	0.44183874	Yes	
row_10	XM_047178756	na	1236	0.7020052075386047	0.46932265	Yes	
row_11	XM_047165710	na	1704	0.6215682029724121	0.4715341	Yes	
row_12	XM_047171758	na	1723	0.6169267296791077	0.5020948	Yes	
row_13	XM_047163291	na	1972	0.5611736178398132	0.5151461	Yes	
row_14	XM_047164443	na	2002	0.555708110332489	0.5418601	Yes	
row_15	XM_047178972	na	2205	0.5092403888702393	0.555171	Yes	
row_16	XM_047185038	na	2256	0.4989919364452362	0.5776331	Yes	
row_17	XM_047166163	na	2510	0.45145198702812195	0.5847268	Yes	
row_18	XM_047167587	na	3733	0.35110196471214294	0.52496696	No	
row_19	XM_047164454	na	4036	0.3261612057685852	0.5225016	No	
row_20	XM_047170662	na	4380	0.27730458974838257	0.5149148	No	
row_21	XM_047177538	na	4770	0.22842495143413544	0.501887	No	
row_22	XM_047171805	na	4911	0.21215876936912537	0.5038771	No	
row_23	XM_047168990	na	5264	0.16795490682125092	0.49009725	No	
row_24	XM_047171890	na	7723	0.0	0.33359656	No	
row_25	XM_047174386	na	9759	-0.009447511285543442	0.2045138	No	
row_26	XM_047183454	na	9798	-0.01402062177658081	0.20281494	No	
row_27	XM_047176089	na	10539	-0.10011374205350876	0.1608445	No	
row_28	XM_047166917	na	10834	-0.13565246760845184	0.14909735	No	
row_29	XM_047170631	na	10960	-0.15249137580394745	0.14897586	No	
row_30	XM_047164455	na	10988	-0.15537026524543762	0.155242	No	
row_31	XM_047180104	na	11758	-0.2509288787841797	0.11917623	No	
row_32	XM_047166377	na	11917	-0.2709171175956726	0.12304009	No	
row_33	XM_047168473	na	11995	-0.2810717821121216	0.13258311	No	
row_34	XM_047174326	na	12677	-0.35313600301742554	0.107373215	No	
row_35	XM_047169216	na	13204	-0.392198383808136	0.09403975	No	
row_36	XM_047178096	na	14679	-0.6408941149711609	0.033128843	No	
row_37	XM_047179795	na	14834	-0.6722949743270874	0.057876084	No	
