NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047181549	na	572	0.946809709072113	4.3268982E-4	No	
row_1	XM_047182983	na	860	0.810774564743042	0.013723111	No	
row_2	XM_047183439	na	1212	0.7099090814590454	0.019008696	No	
row_3	XM_047171862	na	1266	0.6939836740493774	0.042657427	No	
row_4	XM_047179536	na	1850	0.5858185887336731	0.028331755	No	
row_5	XM_047182395	na	1941	0.5674307346343994	0.044695303	No	
row_6	XM_047183428	na	3446	0.3689509630203247	-0.036745477	No	
row_7	XM_047177578	na	3806	0.35110196471214294	-0.045942098	No	
row_8	XM_047170024	na	3960	0.3376261293888092	-0.0425408	No	
row_9	XM_047186298	na	3980	0.33413389325141907	-0.030739376	No	
row_10	XM_047186050	na	4277	0.2923491597175598	-0.038210686	No	
row_11	XM_047183433	na	4306	0.2874119281768799	-0.02880202	No	
row_12	XM_047183228	na	6278	0.04317678511142731	-0.15267804	No	
row_13	XM_047166807	na	6405	0.03060474433004856	-0.15951273	No	
row_14	XM_047169795	na	6494	0.0223510954529047	-0.16424815	No	
row_15	XM_047183440	na	6588	0.015213358215987682	-0.16958004	No	
row_16	XM_047171111	na	6722	0.006801575422286987	-0.17778759	No	
row_17	XM_047164226	na	6925	0.0	-0.19065547	No	
row_18	XM_047185398	na	9148	0.0	-0.33220217	No	
row_19	XM_047185399	na	9149	0.0	-0.33220217	No	
row_20	XM_047185402	na	9150	0.0	-0.33220217	No	
row_21	XM_047170331	na	10298	-0.0723705068230629	-0.40245056	No	
row_22	XM_047177627	na	10677	-0.11409630626440048	-0.42208695	No	
row_23	XM_047175306	na	10759	-0.12426041066646576	-0.42240793	No	
row_24	XM_047168143	na	10928	-0.14788465201854706	-0.42735103	No	
row_25	XM_047169974	na	12385	-0.341863214969635	-0.50678897	No	
row_26	XM_047182445	na	12569	-0.3472333252429962	-0.5049246	No	
row_27	XM_047165270	na	13209	-0.3938587009906769	-0.53029287	No	
row_28	XM_047175075	na	14720	-0.6481360197067261	-0.6012439	Yes	
row_29	XM_047174131	na	15117	-0.7691978216171265	-0.59651613	Yes	
row_30	XM_047170111	na	15171	-0.79395991563797	-0.56897414	Yes	
row_31	XM_047164474	na	15187	-0.8066200613975525	-0.5385184	Yes	
row_32	XM_047185768	na	15217	-0.8243708610534668	-0.50826335	Yes	
row_33	XM_047163360	na	15229	-0.8300740718841553	-0.4766395	Yes	
row_34	XM_047184100	na	15299	-0.8676973581314087	-0.4472453	Yes	
row_35	XM_047166029	na	15407	-0.9450904726982117	-0.41725793	Yes	
row_36	XM_047165096	na	15431	-0.9662847518920898	-0.38109425	Yes	
row_37	XM_047170072	na	15443	-0.9769970774650574	-0.343749	Yes	
row_38	XM_047176727	na	15457	-0.9856500029563904	-0.30619416	Yes	
row_39	XM_047179048	na	15506	-1.046669602394104	-0.2684927	Yes	
row_40	XM_047175252	na	15553	-1.081993818283081	-0.22928824	Yes	
row_41	XM_047177911	na	15562	-1.0929657220840454	-0.18723582	Yes	
row_42	XM_047180159	na	15603	-1.136195182800293	-0.14553845	Yes	
row_43	XM_047169832	na	15646	-1.231893539428711	-0.10024183	Yes	
row_44	XM_047174332	na	15677	-1.3246599435806274	-0.05056829	Yes	
row_45	XM_047184126	na	15696	-1.404888391494751	0.0029939204	Yes	
