NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047174649	na	1203	0.7111427187919617	-0.013466923	No	
row_1	XM_047186051	na	2048	0.547057569026947	-0.018642806	No	
row_2	XM_047179849	na	2147	0.5244166851043701	0.021663517	No	
row_3	XM_047184182	na	4165	0.3064698576927185	-0.07954132	No	
row_4	XM_047170267	na	4423	0.27196204662323	-0.07176412	No	
row_5	XM_047170440	na	4636	0.2471371591091156	-0.063325495	No	
row_6	XM_047183205	na	4663	0.2421978861093521	-0.043484155	No	
row_7	XM_047167124	na	5812	0.09970972687005997	-0.10771809	No	
row_8	XM_047173520	na	5911	0.08655571937561035	-0.1062746	No	
row_9	XM_047172104	na	6099	0.06434225291013718	-0.11246859	No	
row_10	XM_047176847	na	6337	0.03681553900241852	-0.12428884	No	
row_11	XM_047170754	na	6614	0.013622953556478024	-0.14065039	No	
row_12	XM_047174214	na	7975	0.0	-0.22723047	No	
row_13	XM_047171930	na	10256	-0.06826196610927582	-0.36632076	No	
row_14	XM_047167998	na	10449	-0.08897435665130615	-0.37064683	No	
row_15	XM_047164923	na	10707	-0.11797573417425156	-0.37653685	No	
row_16	XM_047181388	na	10733	-0.12172859162092209	-0.36732423	No	
row_17	XM_047183628	na	11073	-0.16660071909427643	-0.37411878	No	
row_18	XM_047169505	na	11527	-0.2209438681602478	-0.38334745	Yes	
row_19	XM_047183843	na	11576	-0.22583989799022675	-0.36635855	Yes	
row_20	XM_047185480	na	11719	-0.24493595957756042	-0.35365897	Yes	
row_21	XM_047183138	na	11845	-0.2607885003089905	-0.33847013	Yes	
row_22	XM_047167656	na	11856	-0.2617921531200409	-0.3158711	Yes	
row_23	XM_047172140	na	11968	-0.27708926796913147	-0.2983442	Yes	
row_24	XM_047175879	na	11973	-0.27777764201164246	-0.27394438	Yes	
row_25	XM_047175848	na	12313	-0.3300209045410156	-0.26623437	Yes	
row_26	XM_047165009	na	13154	-0.3844242990016937	-0.2855903	Yes	
row_27	XM_047176761	na	13188	-0.38949257135391235	-0.2531213	Yes	
row_28	XM_047183206	na	13448	-0.4134587347507477	-0.23291272	Yes	
row_29	XM_047164268	na	13470	-0.416972815990448	-0.19724074	Yes	
row_30	XM_047170657	na	13627	-0.43701010942459106	-0.16838466	Yes	
row_31	XM_047182777	na	13866	-0.4725632965564728	-0.14159329	Yes	
row_32	XM_047175960	na	14500	-0.6006087064743042	-0.12858355	Yes	
row_33	XM_047180102	na	14505	-0.6020146012306213	-0.07540572	Yes	
row_34	XM_047181810	na	15121	-0.7703195810317993	-0.046187177	Yes	
row_35	XM_047175966	na	15430	-0.9658052325248718	0.019926092	Yes	
