NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047174428	na	109	1.2987676858901978	0.057890203	Yes	
row_1	XM_047174740	na	250	1.1280308961868286	0.105281256	Yes	
row_2	XM_047171717	na	413	1.0348546504974365	0.14661871	Yes	
row_3	XM_047168561	na	869	0.8054274320602417	0.1578296	Yes	
row_4	XM_047174321	na	1079	0.7467063665390015	0.1817868	Yes	
row_5	XM_047174908	na	1307	0.680797278881073	0.20130657	Yes	
row_6	XM_047176850	na	1431	0.6616960167884827	0.22650075	Yes	
row_7	XM_047172235	na	1433	0.6609053611755371	0.25943062	Yes	
row_8	XM_047175726	na	1497	0.6535571217536926	0.28804237	Yes	
row_9	XM_047174303	na	2066	0.5429005026817322	0.27894583	Yes	
row_10	XM_047169991	na	2163	0.5207079648971558	0.29882237	Yes	
row_11	XM_047170216	na	2409	0.46915724873542786	0.3066295	Yes	
row_12	XM_047163229	na	2435	0.46523988246917725	0.32826188	Yes	
row_13	XM_047181667	na	2478	0.45732805132865906	0.34841585	Yes	
row_14	XM_047169914	na	2826	0.41252630949020386	0.3468953	Yes	
row_15	XM_047185418	na	3304	0.371898889541626	0.3350616	Yes	
row_16	XM_047184757	na	3318	0.370579332113266	0.3527331	Yes	
row_17	XM_047174741	na	3493	0.3676360547542572	0.359997	Yes	
row_18	XM_047177584	na	3633	0.36072003841400146	0.36914623	Yes	
row_19	XM_047172202	na	4273	0.292681485414505	0.34303343	No	
row_20	XM_047169951	na	5175	0.18004341423511505	0.29460007	No	
row_21	XM_047163531	na	5177	0.17982657253742218	0.30351362	No	
row_22	XM_047186032	na	5283	0.1662265807390213	0.30512023	No	
row_23	XM_047180900	na	5317	0.16321685910224915	0.31116518	No	
row_24	XM_047177273	na	5603	0.12499836087226868	0.29924205	No	
row_25	XM_047163223	na	6263	0.045505329966545105	0.25951517	No	
row_26	XM_047168537	na	6287	0.04271138831973076	0.26018158	No	
row_27	XM_047174426	na	8000	0.0	0.15107445	No	
row_28	XM_047184930	na	9057	0.0	0.08377472	No	
row_29	XM_047176852	na	9923	-0.026980632916092873	0.029994499	No	
row_30	XM_047170736	na	9932	-0.028294989839196205	0.030897189	No	
row_31	XM_047176849	na	10254	-0.0678623616695404	0.013827414	No	
row_32	XM_047173705	na	10479	-0.0934307873249054	0.00421595	No	
row_33	XM_047173281	na	10585	-0.1054031178355217	0.0027861325	No	
row_34	XM_047170382	na	10885	-0.14322450757026672	-0.009119348	No	
row_35	XM_047174910	na	10915	-0.14660000801086426	-0.0036490005	No	
row_36	XM_047176800	na	10969	-0.1531306952238083	6.178318E-4	No	
row_37	XM_047171320	na	11140	-0.17173776030540466	-0.0016429417	No	
row_38	XM_047170728	na	11364	-0.20095910131931305	-0.005822665	No	
row_39	XM_047175340	na	11552	-0.22378310561180115	-0.0065686633	No	
row_40	XM_047165262	na	11578	-0.22595198452472687	0.0031180037	No	
row_41	XM_047170764	na	11631	-0.23346646130084991	0.011459075	No	
row_42	XM_047169865	na	11857	-0.26187556982040405	0.010192951	No	
row_43	XM_047174436	na	11871	-0.26380133628845215	0.022533897	No	
row_44	XM_047173680	na	12322	-0.3312254250049591	0.010390414	No	
row_45	XM_047185925	na	12659	-0.3509558439254761	0.0064972225	No	
row_46	XM_047163785	na	13605	-0.43181172013282776	-0.032171555	No	
row_47	XM_047176775	na	13775	-0.45892655849456787	-0.020031609	No	
row_48	XM_047177942	na	13888	-0.4777873754501343	-0.0033174374	No	
row_49	XM_047163114	na	14170	-0.5255098938941956	0.005008623	No	
row_50	XM_047172538	na	14501	-0.6011472344398499	0.013987828	No	
row_51	XM_047180713	na	14661	-0.639473021030426	0.03577829	No	
row_52	XM_047183521	na	14782	-0.663330614566803	0.061245278	No	
