NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047177768	na	961	0.778819739818573	-0.021870617	No	
row_1	XM_047174627	na	964	0.7778403162956238	0.01731542	No	
row_2	XM_047174422	na	1342	0.67522794008255	0.02742076	No	
row_3	XM_047174714	na	1594	0.6431698203086853	0.043934368	No	
row_4	XM_047173324	na	1763	0.6053846478462219	0.06382689	No	
row_5	XM_047186395	na	1999	0.556189239025116	0.076963834	No	
row_6	XM_047181299	na	2620	0.43453317880630493	0.059420396	No	
row_7	XM_047163146	na	3114	0.3752251863479614	0.046971686	No	
row_8	XM_047167780	na	3131	0.3752251863479614	0.06491675	No	
row_9	XM_047164331	na	3336	0.3689509630203247	0.07056561	No	
row_10	XM_047166129	na	3639	0.3589678108692169	0.06946548	No	
row_11	XM_047183308	na	4158	0.30753812193870544	0.05200278	No	
row_12	XM_047171340	na	4268	0.29329755902290344	0.059881244	No	
row_13	XM_047168008	na	4685	0.24075888097286224	0.045542695	No	
row_14	XM_047173610	na	4694	0.23939011991024017	0.057132162	No	
row_15	XM_047164980	na	4747	0.23211637139320374	0.06555038	No	
row_16	XM_047164239	na	5420	0.14936909079551697	0.030280856	No	
row_17	XM_047177787	na	5629	0.12178456783294678	0.023182599	No	
row_18	XM_047184479	na	5827	0.09745190292596817	0.015555429	No	
row_19	XM_047186046	na	6201	0.0532798171043396	-0.0055187554	No	
row_20	XM_047186485	na	6357	0.03591689094901085	-0.013579835	No	
row_21	XM_047162851	na	6622	0.012778016738593578	-0.029755726	No	
row_22	XM_047163145	na	6817	0.0	-0.042117137	No	
row_23	XM_047175914	na	8148	0.0	-0.1268629	No	
row_24	XM_047175916	na	8149	0.0	-0.1268629	No	
row_25	XM_047185521	na	9159	0.0	-0.19115499	No	
row_26	XM_047165717	na	9761	-0.009591377340257168	-0.2289651	No	
row_27	XM_047185419	na	9966	-0.03210967034101486	-0.24034083	No	
row_28	XM_047185193	na	10184	-0.05663255602121353	-0.25130546	No	
row_29	XM_047168709	na	10547	-0.1009027361869812	-0.2692718	No	
row_30	XM_047182277	na	10814	-0.13350652158260345	-0.27947327	No	
row_31	XM_047167854	na	11106	-0.16895829141139984	-0.28947592	No	
row_32	XM_047173611	na	11583	-0.22743065655231476	-0.30831122	No	
row_33	XM_047166887	na	11749	-0.24931703507900238	-0.30622387	No	
row_34	XM_047178022	na	12148	-0.3054049611091614	-0.31614813	No	
row_35	XM_047167347	na	12894	-0.36633750796318054	-0.34510314	No	
row_36	XM_047165718	na	13217	-0.39400115609169006	-0.345707	No	
row_37	XM_047184982	na	13716	-0.45009103417396545	-0.35469043	Yes	
row_38	XM_047168221	na	13879	-0.47632548213005066	-0.3409385	Yes	
row_39	XM_047177583	na	13881	-0.47694966197013855	-0.3168963	Yes	
row_40	XM_047173576	na	14232	-0.5387423634529114	-0.3119688	Yes	
row_41	XM_047172028	na	14902	-0.6934085488319397	-0.31955042	Yes	
row_42	XM_047163112	na	14913	-0.6963624358177185	-0.28499216	Yes	
row_43	XM_047173326	na	14957	-0.710716187953949	-0.25181118	Yes	
row_44	XM_047182737	na	14974	-0.7162153720855713	-0.21663183	Yes	
row_45	XM_047163235	na	15313	-0.8743271827697754	-0.19397862	Yes	
row_46	XM_047177904	na	15441	-0.9744289517402649	-0.15282147	Yes	
row_47	XM_047178771	na	15512	-1.0504353046417236	-0.10419085	Yes	
row_48	XM_047175454	na	15612	-1.1519360542297363	-0.052278034	Yes	
row_49	XM_047169187	na	15630	-1.1982430219650269	0.007200144	Yes	
