NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047183804	na	3449	0.3689509630203247	-0.16218375	No	
row_1	XM_047176277	na	3981	0.334005206823349	-0.1442265	No	
row_2	XM_047169439	na	4389	0.2760486900806427	-0.12735918	No	
row_3	XM_047181770	na	4761	0.2297339290380478	-0.11537482	No	
row_4	XM_047165045	na	5524	0.13423994183540344	-0.14304164	No	
row_5	XM_047170388	na	5902	0.08762747049331665	-0.15344496	No	
row_6	XM_047169409	na	6779	8.068698225542903E-4	-0.20902394	No	
row_7	XM_047183803	na	8964	0.0	-0.34790224	No	
row_8	XM_047180339	na	10143	-0.05013344809412956	-0.4150465	No	
row_9	XM_047164380	na	11994	-0.2810334861278534	-0.48916614	No	
row_10	XM_047182831	na	13312	-0.3975386619567871	-0.5113512	Yes	
row_11	XM_047169371	na	13789	-0.4600966274738312	-0.47037047	Yes	
row_12	XM_047184764	na	13913	-0.4809826910495758	-0.40370846	Yes	
row_13	XM_047169345	na	13925	-0.4831725060939789	-0.3295854	Yes	
row_14	XM_047169348	na	14081	-0.5088754892349243	-0.26063883	Yes	
row_15	XM_047169347	na	15005	-0.7288156151771545	-0.20646939	Yes	
row_16	XM_047168967	na	15053	-0.7458437085151672	-0.093959086	Yes	
row_17	XM_047169332	na	15338	-0.8896733522415161	0.025753627	Yes	
