NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047181411	na	525	0.969580888748169	0.035059586	Yes	
row_1	XM_047172535	na	684	0.8901101350784302	0.087893665	Yes	
row_2	XM_047170312	na	963	0.7784878015518188	0.1251912	Yes	
row_3	XM_047180192	na	1041	0.7555208206176758	0.17367636	Yes	
row_4	XM_047168816	na	2016	0.5522623062133789	0.15062703	Yes	
row_5	XM_047176387	na	2101	0.5348495244979858	0.18307118	Yes	
row_6	XM_047174665	na	2367	0.47534289956092834	0.19977398	Yes	
row_7	XM_047181601	na	2728	0.42369168996810913	0.20677176	Yes	
row_8	XM_047167339	na	2756	0.4201781153678894	0.23474497	Yes	
row_9	XM_047184519	na	2905	0.405750572681427	0.25398663	Yes	
row_10	XM_047166032	na	3347	0.3689509630203247	0.25195336	Yes	
row_11	XM_047179870	na	3674	0.3534125089645386	0.2561515	Yes	
row_12	XM_047165750	na	3722	0.35110196471214294	0.27796838	Yes	
row_13	XM_047181061	na	4054	0.3247565031051636	0.2798227	Yes	
row_14	XM_047176989	na	4189	0.30429938435554504	0.29278713	Yes	
row_15	XM_047171172	na	4470	0.2659693658351898	0.29373744	Yes	
row_16	XM_047174657	na	4505	0.2623720169067383	0.31011233	Yes	
row_17	XM_047181410	na	4806	0.22459776699543	0.3068642	Yes	
row_18	XM_047177180	na	5042	0.19694361090660095	0.30580455	Yes	
row_19	XM_047175287	na	5170	0.18015214800834656	0.31044158	Yes	
row_20	XM_047164615	na	5189	0.17904016375541687	0.32194716	Yes	
row_21	XM_047168454	na	5490	0.13922975957393646	0.31266606	No	
row_22	XM_047185131	na	5579	0.12743453681468964	0.31606323	No	
row_23	XM_047184522	na	6135	0.05922964960336685	0.28487614	No	
row_24	XM_047178595	na	6273	0.044099681079387665	0.279261	No	
row_25	XM_047185868	na	6321	0.038461729884147644	0.27898353	No	
row_26	XM_047177256	na	6710	0.007098563946783543	0.25475606	No	
row_27	XM_047175728	na	6772	0.0012893166858702898	0.25095937	No	
row_28	XM_047168170	na	7325	0.0	0.21577771	No	
row_29	XM_047168817	na	7396	0.0	0.21131627	No	
row_30	XM_047171989	na	7743	0.0	0.18926401	No	
row_31	XM_047174981	na	8052	0.0	0.16963367	No	
row_32	XM_047178275	na	8371	0.0	0.14936599	No	
row_33	XM_047178276	na	8372	0.0	0.14936599	No	
row_34	XM_047180810	na	8673	0.0	0.13024552	No	
row_35	XM_047181293	na	8718	0.0	0.1274412	No	
row_36	XM_047182773	na	8864	0.0	0.11819964	No	
row_37	XM_047185214	na	9113	0.0	0.102393396	No	
row_38	XM_047185265	na	9123	0.0	0.101819776	No	
row_39	XM_047185301	na	9133	0.0	0.10124616	No	
row_40	XM_047165749	na	9953	-0.03074057400226593	0.051219754	No	
row_41	XM_047181333	na	11002	-0.1571415513753891	-0.004469174	No	
row_42	XM_047172787	na	11077	-0.16686159372329712	0.0026065742	No	
row_43	XM_047167980	na	11624	-0.23253796994686127	-0.015759178	No	
row_44	XM_047180655	na	11824	-0.25796613097190857	-0.0102119185	No	
row_45	XM_047174036	na	11946	-0.2745250463485718	0.0014768788	No	
row_46	XM_047172508	na	12042	-0.2878553867340088	0.01576484	No	
row_47	XM_047169109	na	12147	-0.30539974570274353	0.03071905	No	
row_48	XM_047169238	na	12913	-0.36805132031440735	0.007972106	No	
row_49	XM_047174038	na	12978	-0.3694388270378113	0.030001359	No	
row_50	XM_047177257	na	13443	-0.41289961338043213	0.029608045	No	
row_51	XM_047163583	na	13694	-0.4467250406742096	0.045244437	No	
row_52	XM_047176998	na	14388	-0.5715433359146118	0.04146721	No	
row_53	XM_047178274	na	14630	-0.6343533396720886	0.07093693	No	
