NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047180427	na	315	1.086434006690979	0.16084713	Yes	
row_1	XM_047170776	na	528	0.9678924679756165	0.30850962	Yes	
row_2	XM_047162834	na	2139	0.526679277420044	0.29378742	Yes	
row_3	XM_047180630	na	2222	0.5062682628631592	0.37286174	Yes	
row_4	XM_047170779	na	3759	0.35110196471214294	0.33361417	Yes	
row_5	XM_047170781	na	3760	0.35110196471214294	0.3920703	Yes	
row_6	XM_047163664	na	3958	0.33827584981918335	0.43585998	Yes	
row_7	XM_047164205	na	4342	0.2823825478553772	0.45851246	Yes	
row_8	XM_047175839	na	4466	0.2662261426448822	0.49501342	Yes	
row_9	XM_047180703	na	4605	0.2508247494697571	0.527996	Yes	
row_10	XM_047180176	na	5129	0.1853136122226715	0.5255819	No	
row_11	XM_047179479	na	5800	0.10121779888868332	0.4998158	No	
row_12	XM_047180095	na	5895	0.0889355018734932	0.5086437	No	
row_13	XM_047169920	na	5899	0.08795922249555588	0.5230975	No	
row_14	XM_047173952	na	6119	0.0611407533288002	0.5193466	No	
row_15	XM_047169907	na	6694	0.008162460289895535	0.48419395	No	
row_16	XM_047170777	na	7602	0.0	0.4265004	No	
row_17	XM_047170778	na	7603	0.0	0.4265004	No	
row_18	XM_047180097	na	8568	0.0	0.36518115	No	
row_19	XM_047170782	na	9683	-0.001493335235863924	0.29456916	No	
row_20	XM_047170780	na	10226	-0.06396204978227615	0.27074224	No	
row_21	XM_047180096	na	10628	-0.10921350866556168	0.26341826	No	
row_22	XM_047180089	na	13080	-0.37166106700897217	0.16939124	No	
