NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047172130	na	332	1.0808959007263184	-0.0017314841	No	
row_1	XM_047174185	na	475	0.9969292283058167	0.0071896897	No	
row_2	XM_047186326	na	784	0.8414796590805054	0.0026686967	No	
row_3	XM_047169783	na	812	0.8317102193832397	0.015970122	No	
row_4	XM_047173935	na	1060	0.7518196702003479	0.013736024	No	
row_5	XM_047166118	na	1069	0.7493641972541809	0.026766285	No	
row_6	XM_047178920	na	1131	0.7346490621566772	0.036135785	No	
row_7	XM_047174422	na	1342	0.67522794008255	0.034887474	No	
row_8	XM_047169099	na	1390	0.6671316027641296	0.04393353	No	
row_9	XM_047167920	na	1791	0.6000804305076599	0.02915701	No	
row_10	XM_047170373	na	1905	0.5750685334205627	0.032311764	No	
row_11	XM_047166520	na	1991	0.5577418804168701	0.036946878	No	
row_12	XM_047166445	na	2353	0.47816792130470276	0.022465205	No	
row_13	XM_047168301	na	2373	0.4744608402252197	0.029822761	No	
row_14	XM_047163050	na	2437	0.46486473083496094	0.03418855	No	
row_15	XM_047178839	na	2738	0.4218069314956665	0.022595558	No	
row_16	XM_047174619	na	2783	0.41855406761169434	0.027341422	No	
row_17	XM_047175064	na	2832	0.41252630949020386	0.03172214	No	
row_18	XM_047169784	na	2912	0.40516772866249084	0.033984214	No	
row_19	XM_047163146	na	3114	0.3752251863479614	0.027890664	No	
row_20	XM_047167780	na	3131	0.3752251863479614	0.033646967	No	
row_21	XM_047164331	na	3336	0.3689509630203247	0.027247867	No	
row_22	XM_047172924	na	3389	0.3689509630203247	0.030584866	No	
row_23	XM_047180252	na	3430	0.3689509630203247	0.034690503	No	
row_24	XM_047180559	na	3575	0.3623338043689728	0.03201501	No	
row_25	XM_047180560	na	3576	0.3623338043689728	0.038563196	No	
row_26	XM_047177475	na	3682	0.3528101444244385	0.038213667	No	
row_27	XM_047169100	na	3742	0.35110196471214294	0.04077972	No	
row_28	XM_047166211	na	4012	0.32956647872924805	0.02950539	No	
row_29	XM_047165190	na	4143	0.31025999784469604	0.026785556	No	
row_30	XM_047183308	na	4158	0.30753812193870544	0.03144671	No	
row_31	XM_047165000	na	4262	0.29389849305152893	0.030160626	No	
row_32	XM_047171340	na	4268	0.29329755902290344	0.0351409	No	
row_33	XM_047172129	na	4387	0.2761617600917816	0.032573476	No	
row_34	XM_047168008	na	4685	0.24075888097286224	0.0179007	No	
row_35	XM_047174691	na	4740	0.23294739425182343	0.018651703	No	
row_36	XM_047164980	na	4747	0.23211637139320374	0.022462245	No	
row_37	XM_047174600	na	4855	0.2199457436800003	0.019583456	No	
row_38	XM_047166117	na	4959	0.20639385282993317	0.016715966	No	
row_39	XM_047169852	na	5050	0.19591283798217773	0.014491753	No	
row_40	XM_047172429	na	5209	0.17639818787574768	0.007559243	No	
row_41	XM_047164239	na	5420	0.14936909079551697	-0.003192514	No	
row_42	XM_047178770	na	5575	0.1281988024711609	-0.010739882	No	
row_43	XM_047177787	na	5629	0.12178456783294678	-0.011933786	No	
row_44	XM_047174879	na	5727	0.11018075048923492	-0.016155742	No	
row_45	XM_047175255	na	5826	0.09762953966856003	-0.020668581	No	
row_46	XM_047167457	na	6288	0.04267802834510803	-0.04942586	No	
row_47	XM_047178155	na	6374	0.03395910933613777	-0.05425667	No	
row_48	XM_047163145	na	6817	0.0	-0.08256823	No	
row_49	XM_047164244	na	6928	0.0	-0.089614086	No	
row_50	XM_047165684	na	7101	0.0	-0.10063125	No	
row_51	XM_047165686	na	7102	0.0	-0.10063125	No	
row_52	XM_047165834	na	7114	0.0	-0.10133584	No	
row_53	XM_047165835	na	7115	0.0	-0.10133584	No	
row_54	XM_047165836	na	7116	0.0	-0.10133584	No	
row_55	XM_047173909	na	7952	0.0	-0.15482034	No	
row_56	XM_047175914	na	8148	0.0	-0.16731073	No	
row_57	XM_047175916	na	8149	0.0	-0.16731073	No	
row_58	XM_047180561	na	8648	0.0	-0.19920926	No	
row_59	XM_047180562	na	8649	0.0	-0.19920926	No	
row_60	XM_047181700	na	8760	0.0	-0.20625512	No	
row_61	XM_047185253	na	9122	0.0	-0.22937836	No	
row_62	XM_047178290	na	9694	-0.002295705256983638	-0.2659113	No	
row_63	XM_047162867	na	9729	-0.006356759928166866	-0.26797423	No	
row_64	XM_047165717	na	9761	-0.009591377340257168	-0.26978654	No	
row_65	XM_047170243	na	9766	-0.009739306755363941	-0.26986676	No	
row_66	XM_047180651	na	9986	-0.03466933220624924	-0.28326786	No	
row_67	XM_047166253	na	10220	-0.06328163295984268	-0.29704866	No	
row_68	XM_047174692	na	10242	-0.06594649702310562	-0.29720196	No	
row_69	XM_047174843	na	10255	-0.06818916648626328	-0.29673827	No	
row_70	XM_047170037	na	10260	-0.0687922015786171	-0.29575124	No	
row_71	XM_047165681	na	10402	-0.08390559256076813	-0.3032664	No	
row_72	XM_047172878	na	10553	-0.10158992558717728	-0.31103843	No	
row_73	XM_047174819	na	10574	-0.10393574088811874	-0.31044117	No	
row_74	XM_047179241	na	10708	-0.11806470900774002	-0.31682655	No	
row_75	XM_047166148	na	11132	-0.17090362310409546	-0.34083247	No	
row_76	XM_047164250	na	11167	-0.17496243119239807	-0.33984834	No	
row_77	XM_047175065	na	11269	-0.18847954273223877	-0.34291145	No	
row_78	XM_047169026	na	11340	-0.19870799779891968	-0.3438041	No	
row_79	XM_047176648	na	11484	-0.21430405974388123	-0.34909075	No	
row_80	XM_047163049	na	11500	-0.21658393740653992	-0.3461374	No	
row_81	XM_047167921	na	11634	-0.23364071547985077	-0.3504341	No	
row_82	XM_047166887	na	11749	-0.24931703507900238	-0.35323045	No	
row_83	XM_047174184	na	11924	-0.2713802754878998	-0.35947126	No	
row_84	XM_047178022	na	12148	-0.3054049611091614	-0.3682358	No	
row_85	XM_047172212	na	12161	-0.30731114745140076	-0.36345065	No	
row_86	XM_047171833	na	12180	-0.3099747896194458	-0.35900167	No	
row_87	XM_047167093	na	12193	-0.3119588792324066	-0.3541325	No	
row_88	XM_047181950	na	12264	-0.32203495502471924	-0.35279635	No	
row_89	XM_047170838	na	12284	-0.32504719495773315	-0.34813902	No	
row_90	XM_047165682	na	12447	-0.3472333252429962	-0.35224038	No	
row_91	XM_047186287	na	12604	-0.3472333252429962	-0.35595742	No	
row_92	XM_047171755	na	12808	-0.3661865293979645	-0.36234242	No	
row_93	XM_047165685	na	12933	-0.3694388270378113	-0.36360842	No	
row_94	XM_047162972	na	13193	-0.3900386095046997	-0.37314937	No	
row_95	XM_047165718	na	13217	-0.39400115609169006	-0.36750212	No	
row_96	XM_047171477	na	13234	-0.39400115609169006	-0.36140648	No	
row_97	XM_047172908	na	13299	-0.39561572670936584	-0.35835624	No	
row_98	XM_047171754	na	13856	-0.4716034531593323	-0.38544694	Yes	
row_99	XM_047180754	na	13979	-0.49273359775543213	-0.38435662	Yes	
row_100	XM_047175737	na	14050	-0.5020840167999268	-0.37976658	Yes	
row_101	XM_047172997	na	14051	-0.5021265745162964	-0.370692	Yes	
row_102	XM_047182664	na	14115	-0.5153823494911194	-0.36541328	Yes	
row_103	XM_047171475	na	14193	-0.5308593511581421	-0.36075157	Yes	
row_104	XM_047183171	na	14198	-0.531611979007721	-0.35140035	Yes	
row_105	XM_047177802	na	14459	-0.5914328098297119	-0.3573657	Yes	
row_106	XM_047186453	na	14578	-0.623298168182373	-0.3536596	Yes	
row_107	XM_047174903	na	14601	-0.6267499327659607	-0.34374198	Yes	
row_108	XM_047162868	na	14831	-0.6711569428443909	-0.34628087	Yes	
row_109	XM_047181925	na	14897	-0.6919561624526978	-0.33793914	Yes	
row_110	XM_047170645	na	14961	-0.711592972278595	-0.32911444	Yes	
row_111	XM_047169500	na	14968	-0.714817464351654	-0.3165804	Yes	
row_112	XM_047182737	na	14974	-0.7162153720855713	-0.30395705	Yes	
row_113	XM_047163360	na	15229	-0.8300740718841553	-0.30522528	Yes	
row_114	XM_047163816	na	15231	-0.8314746022224426	-0.29026273	Yes	
row_115	XM_047177934	na	15252	-0.8400104641914368	-0.27636293	Yes	
row_116	XM_047183475	na	15305	-0.8685911297798157	-0.26399633	Yes	
row_117	XM_047180119	na	15310	-0.8712126016616821	-0.24850778	Yes	
row_118	XM_047163235	na	15313	-0.8743271827697754	-0.23283483	Yes	
row_119	XM_047185873	na	15346	-0.8950435519218445	-0.2187091	Yes	
row_120	XM_047175066	na	15348	-0.8954998850822449	-0.20258947	Yes	
row_121	XM_047167979	na	15366	-0.9059627652168274	-0.1873056	Yes	
row_122	XM_047177655	na	15412	-0.9504393935203552	-0.17301144	Yes	
row_123	XM_047177904	na	15441	-0.9744289517402649	-0.15719482	Yes	
row_124	XM_047180872	na	15472	-1.0071743726730347	-0.14091451	Yes	
row_125	XM_047172525	na	15491	-1.025687336921692	-0.123531014	Yes	
row_126	XM_047178771	na	15512	-1.0504353046417236	-0.10582837	Yes	
row_127	XM_047165034	na	15585	-1.1164798736572266	-0.09026291	Yes	
row_128	XM_047176216	na	15613	-1.153931736946106	-0.07113822	Yes	
row_129	XM_047169187	na	15630	-1.1982430219650269	-0.05050814	Yes	
row_130	XM_047178625	na	15700	-1.422303318977356	-0.029223615	Yes	
row_131	XM_047185536	na	15731	-1.765903353691101	7.6861004E-4	Yes	
