NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047166372	na	3125	0.3752251863479614	-0.14831646	No	
row_1	XM_047173924	na	3505	0.36579033732414246	-0.123295665	No	
row_2	XM_047174655	na	3518	0.36301735043525696	-0.075311564	No	
row_3	XM_047174587	na	4364	0.2792269289493561	-0.09154535	No	
row_4	XM_047166373	na	7144	0.0	-0.26824784	No	
row_5	XM_047167787	na	7288	0.0	-0.2773405	No	
row_6	XM_047167788	na	7289	0.0	-0.2773405	No	
row_7	XM_047170822	na	7606	0.0	-0.29743332	No	
row_8	XM_047175234	na	8078	0.0	-0.32738182	No	
row_9	XM_047175586	na	8125	0.0	-0.33030674	No	
row_10	XM_047168861	na	11158	-0.1744472235441208	-0.4996709	No	
row_11	XM_047175149	na	12249	-0.3198980391025543	-0.52602154	Yes	
row_12	XM_047175588	na	12516	-0.3472333252429962	-0.49630755	Yes	
row_13	XM_047175589	na	12517	-0.3472333252429962	-0.44967994	Yes	
row_14	XM_047169028	na	13466	-0.4162167012691498	-0.45406756	Yes	
row_15	XM_047186278	na	14294	-0.5513538718223572	-0.43261477	Yes	
row_16	XM_047168860	na	15743	-3.9073081016540527	-4.3386535E-8	Yes	
