NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047178573	na	328	1.0818806886672974	0.023707055	Yes	
row_1	XM_047178572	na	350	1.0739667415618896	0.06671021	Yes	
row_2	XM_047162922	na	494	0.9862721562385559	0.09829433	Yes	
row_3	XM_047186334	na	511	0.976468563079834	0.13759126	Yes	
row_4	XM_047162920	na	560	0.9537766575813293	0.17390582	Yes	
row_5	XM_047171935	na	1033	0.758124053478241	0.17504033	Yes	
row_6	XM_047169376	na	1111	0.739501953125	0.20065361	Yes	
row_7	XM_047169375	na	1323	0.6791101098060608	0.21520817	Yes	
row_8	XM_047163718	na	1462	0.657256543636322	0.23352642	Yes	
row_9	XM_047162916	na	1530	0.6475605964660645	0.2559825	Yes	
row_10	XM_047184839	na	1582	0.645042359828949	0.27935728	Yes	
row_11	XM_047164641	na	1975	0.5605669021606445	0.27744788	Yes	
row_12	XM_047167491	na	2389	0.4723653495311737	0.2705542	Yes	
row_13	XM_047177853	na	2716	0.4245935380458832	0.2672489	Yes	
row_14	XM_047166693	na	2904	0.405750572681427	0.27205014	Yes	
row_15	XM_047174006	na	3080	0.3813452124595642	0.27661067	Yes	
row_16	XM_047164324	na	3289	0.3741771876811981	0.27876595	Yes	
row_17	XM_047166492	na	3351	0.3689509630203247	0.29010138	Yes	
row_18	XM_047184767	na	3453	0.3689509630203247	0.2988801	Yes	
row_19	XM_047170255	na	3541	0.3623338043689728	0.30828044	Yes	
row_20	XM_047171865	na	3672	0.35449811816215515	0.31460875	Yes	
row_21	XM_047166331	na	3726	0.35110196471214294	0.32571852	Yes	
row_22	XM_047167264	na	3731	0.35110196471214294	0.3399603	Yes	
row_23	XM_047174269	na	3785	0.35110196471214294	0.35107008	Yes	
row_24	XM_047171172	na	4470	0.2659693658351898	0.31833225	Yes	
row_25	XM_047164027	na	4483	0.26466259360313416	0.32849348	Yes	
row_26	XM_047184550	na	4484	0.26466259360313416	0.33942175	Yes	
row_27	XM_047167177	na	4559	0.2568233907222748	0.34529635	Yes	
row_28	XM_047177432	na	4707	0.2384614795446396	0.34574676	Yes	
row_29	XM_047181387	na	4744	0.23246049880981445	0.3530443	Yes	
row_30	XM_047169108	na	4797	0.22573252022266388	0.35904133	Yes	
row_31	XM_047162918	na	4805	0.22480325400829315	0.3678763	Yes	
row_32	XM_047164615	na	5189	0.17904016375541687	0.35078844	No	
row_33	XM_047174406	na	5411	0.15038630366325378	0.34287214	No	
row_34	XM_047177087	na	5428	0.1486673504114151	0.34798813	No	
row_35	XM_047181479	na	5605	0.12499836087226868	0.34189987	No	
row_36	XM_047172887	na	5619	0.12348953634500504	0.34616798	No	
row_37	XM_047169277	na	5701	0.112723208963871	0.34564507	No	
row_38	XM_047166525	na	5715	0.11088193207979202	0.3493926	No	
row_39	XM_047184770	na	6025	0.07252857834100723	0.33263668	No	
row_40	XM_047178595	na	6273	0.044099681079387665	0.31866983	No	
row_41	XM_047185089	na	6519	0.019495699554681778	0.30381486	No	
row_42	XM_047183304	na	6587	0.015213358215987682	0.30016053	No	
row_43	XM_047167503	na	6747	0.0036496587563306093	0.29014823	No	
row_44	XM_047163196	na	6824	0.0	0.28529045	No	
row_45	XM_047163212	na	6829	0.0	0.28503478	No	
row_46	XM_047163213	na	6830	0.0	0.28503478	No	
row_47	XM_047163453	na	6851	0.0	0.2837564	No	
row_48	XM_047163454	na	6852	0.0	0.2837564	No	
row_49	XM_047167451	na	7243	0.0	0.2588283	No	
row_50	XM_047168218	na	7339	0.0	0.2527561	No	
row_51	XM_047168522	na	7362	0.0	0.2513499	No	
row_52	XM_047169562	na	7475	0.0	0.24419107	No	
row_53	XM_047170032	na	7522	0.0	0.24125083	No	
row_54	XM_047170034	na	7523	0.0	0.24125083	No	
row_55	XM_047172012	na	7751	0.0	0.2267414	No	
row_56	XM_047172835	na	7843	0.0	0.22092484	No	
row_57	XM_047173017	na	7864	0.0	0.21964648	No	
row_58	XM_047173243	na	7875	0.0	0.2190073	No	
row_59	XM_047173244	na	7876	0.0	0.2190073	No	
row_60	XM_047173321	na	7885	0.0	0.21849595	No	
row_61	XM_047174248	na	7978	0.0	0.21261548	No	
row_62	XM_047174981	na	8052	0.0	0.20794946	No	
row_63	XM_047175188	na	8071	0.0	0.20679893	No	
row_64	XM_047175206	na	8072	0.0	0.20679893	No	
row_65	XM_047175482	na	8114	0.0	0.20417827	No	
row_66	XM_047176050	na	8162	0.0	0.20117413	No	
row_67	XM_047176051	na	8163	0.0	0.20117413	No	
row_68	XM_047176052	na	8164	0.0	0.20117413	No	
row_69	XM_047177041	na	8263	0.0	0.19491014	No	
row_70	XM_047177113	na	8276	0.0	0.19414313	No	
row_71	XM_047177231	na	8282	0.0	0.19382353	No	
row_72	XM_047177585	na	8317	0.0	0.19165032	No	
row_73	XM_047178661	na	8403	0.0	0.18621726	No	
row_74	XM_047180810	na	8673	0.0	0.16902328	No	
row_75	XM_047185063	na	9077	0.0	0.14326425	No	
row_76	XM_047186332	na	9231	0.0	0.13348477	No	
row_77	XM_047169478	na	9918	-0.026144346222281456	0.09071643	No	
row_78	XM_047174885	na	10053	-0.040999092161655426	0.0838443	No	
row_79	XM_047183034	na	10204	-0.060116663575172424	0.076738864	No	
row_80	XM_047181274	na	10238	-0.065691739320755	0.077342056	No	
row_81	XM_047168192	na	10248	-0.06707191467285156	0.07953628	No	
row_82	XM_047185096	na	10633	-0.10994427651166916	0.059531435	No	
row_83	XM_047171005	na	10685	-0.11529256403446198	0.061032183	No	
row_84	XM_047184840	na	11093	-0.16778819262981415	0.04194567	No	
row_85	XM_047164981	na	11477	-0.21423575282096863	0.02631107	No	
row_86	XM_047162921	na	11812	-0.2570395767688751	0.015575885	No	
row_87	XM_047180655	na	11824	-0.25796613097190857	0.02552453	No	
row_88	XM_047169022	na	11945	-0.2745250463485718	0.029189834	No	
row_89	XM_047166666	na	11977	-0.2781650125980377	0.038694154	No	
row_90	XM_047169089	na	12471	-0.3472333252429962	0.021520192	No	
row_91	XM_047183450	na	12741	-0.36235281825065613	0.019288205	No	
row_92	XM_047164451	na	12773	-0.3661865293979645	0.032427043	No	
row_93	XM_047175464	na	13397	-0.4098438024520874	0.009528984	No	
row_94	XM_047174284	na	13826	-0.4676520526409149	0.0014819445	No	
row_95	XM_047166447	na	14060	-0.5044350028038025	0.0074177636	No	
row_96	XM_047184876	na	14476	-0.5959216952323914	0.005498075	No	
row_97	XM_047171926	na	14931	-0.7059502601623535	0.0056287954	No	
row_98	XM_047183266	na	15590	-1.1190990209579468	0.00977964	No	
