NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047179503	na	3	2.253384590148926	0.047916505	Yes	
row_1	XM_047166261	na	55	1.4614475965499878	0.075850785	Yes	
row_2	XM_047174398	na	222	1.1545521020889282	0.089866385	Yes	
row_3	XM_047167938	na	225	1.153239369392395	0.11435938	Yes	
row_4	XM_047165731	na	526	0.9689629077911377	0.11582906	Yes	
row_5	XM_047164099	na	553	0.9578055143356323	0.13461225	Yes	
row_6	XM_047174061	na	569	0.9490048289299011	0.15391219	Yes	
row_7	XM_047180352	na	615	0.9289141297340393	0.17086147	Yes	
row_8	XM_047186310	na	650	0.9083809852600098	0.18807702	Yes	
row_9	XM_047184846	na	785	0.8404709100723267	0.19743697	Yes	
row_10	XM_047165182	na	793	0.8371405005455017	0.21486112	Yes	
row_11	XM_047184792	na	838	0.8208670020103455	0.22956772	Yes	
row_12	XM_047178524	na	955	0.7810278534889221	0.23881163	Yes	
row_13	XM_047168021	na	988	0.7697656750679016	0.2531959	Yes	
row_14	XM_047182714	na	1029	0.7588434815406799	0.26683456	Yes	
row_15	XM_047174800	na	1036	0.7564828991889954	0.28260076	Yes	
row_16	XM_047183222	na	1166	0.7213879823684692	0.28973866	Yes	
row_17	XM_047184791	na	1324	0.6790171265602112	0.29417834	Yes	
row_18	XM_047185162	na	1511	0.650626540184021	0.2961542	Yes	
row_19	XM_047170211	na	1571	0.645042359828949	0.30614617	Yes	
row_20	XM_047168428	na	1690	0.6247081160545349	0.3119246	Yes	
row_21	XM_047169340	na	1708	0.6205116510391235	0.32408327	Yes	
row_22	XM_047166052	na	2169	0.5195575952529907	0.30570918	Yes	
row_23	XM_047176920	na	2204	0.5093205571174622	0.31440496	Yes	
row_24	XM_047178003	na	2237	0.5031978487968445	0.32309815	Yes	
row_25	XM_047171119	na	2290	0.4915909767150879	0.33026242	Yes	
row_26	XM_047171245	na	2326	0.4829562306404114	0.33833128	Yes	
row_27	XM_047183102	na	2466	0.45992204546928406	0.33924642	Yes	
row_28	XM_047176547	na	2511	0.4511018693447113	0.3460587	Yes	
row_29	XM_047183992	na	2516	0.4502289593219757	0.35541466	Yes	
row_30	XM_047168073	na	2537	0.44763994216918945	0.3636904	Yes	
row_31	XM_047176468	na	2746	0.42095062136650085	0.35935354	Yes	
row_32	XM_047184519	na	2905	0.405750572681427	0.35789508	Yes	
row_33	XM_047168429	na	2947	0.40186184644699097	0.36384827	Yes	
row_34	XM_047169049	na	2974	0.3979130983352661	0.37067804	Yes	
row_35	XM_047168623	na	3133	0.3752251863479614	0.36856785	Yes	
row_36	XM_047169244	na	3294	0.3735690414905548	0.36629418	Yes	
row_37	XM_047184809	na	3454	0.3689509630203247	0.363986	Yes	
row_38	XM_047183901	na	3481	0.3687528073787689	0.37019318	Yes	
row_39	XM_047163792	na	3525	0.3623338043689728	0.37517437	Yes	
row_40	XM_047173479	na	3549	0.3623338043689728	0.3814367	Yes	
row_41	XM_047164143	na	3709	0.35110196471214294	0.37874743	Yes	
row_42	XM_047168371	na	3739	0.35110196471214294	0.38438562	Yes	
row_43	XM_047179838	na	3918	0.3439035415649414	0.3803256	No	
row_44	XM_047183603	na	4011	0.3297007977962494	0.38147125	No	
row_45	XM_047176384	na	4208	0.30276891589164734	0.37537998	No	
row_46	XM_047165135	na	4397	0.27508458495140076	0.36921012	No	
row_47	XM_047175839	na	4466	0.2662261426448822	0.370538	No	
row_48	XM_047169042	na	4504	0.26241087913513184	0.37377024	No	
row_49	XM_047184614	na	4623	0.24875815212726593	0.37152234	No	
row_50	XM_047168129	na	4843	0.22119750082492828	0.3622162	No	
row_51	XM_047168437	na	4882	0.21673138439655304	0.36440915	No	
row_52	XM_047185177	na	4898	0.2137715220451355	0.36801222	No	
row_53	XM_047168622	na	4908	0.2122812122106552	0.3719678	No	
row_54	XM_047174396	na	4932	0.20966292917728424	0.37497067	No	
row_55	XM_047166390	na	5031	0.19833460450172424	0.3729274	No	
row_56	XM_047168427	na	5248	0.17003266513347626	0.36272112	No	
row_57	XM_047167037	na	5392	0.1528862863779068	0.35682496	No	
row_58	XM_047168128	na	5534	0.13232733309268951	0.350618	No	
row_59	XM_047185106	na	5639	0.12101844698190689	0.3465397	No	
row_60	XM_047184924	na	5689	0.11454934626817703	0.34584647	No	
row_61	XM_047185955	na	5927	0.08487283438444138	0.33247685	No	
row_62	XM_047168072	na	5979	0.07838591188192368	0.33088344	No	
row_63	XM_047168578	na	6124	0.060617927461862564	0.32295334	No	
row_64	XM_047184522	na	6135	0.05922964960336685	0.32357728	No	
row_65	XM_047170890	na	6157	0.056073710322380066	0.32342923	No	
row_66	XM_047185662	na	6218	0.051333993673324585	0.32068175	No	
row_67	XM_047177519	na	6229	0.04983923211693764	0.3211052	No	
row_68	XM_047170947	na	6252	0.04676256701350212	0.3206943	No	
row_69	XM_047185672	na	6334	0.03696976602077484	0.31629494	No	
row_70	XM_047167767	na	7282	0.0	0.25563258	No	
row_71	XM_047168071	na	7312	0.0	0.25377494	No	
row_72	XM_047168115	na	7316	0.0	0.25358275	No	
row_73	XM_047168339	na	7348	0.0	0.251597	No	
row_74	XM_047168347	na	7349	0.0	0.251597	No	
row_75	XM_047168355	na	7350	0.0	0.251597	No	
row_76	XM_047168362	na	7351	0.0	0.251597	No	
row_77	XM_047172577	na	7805	0.0	0.22257897	No	
row_78	XM_047172895	na	7855	0.0	0.21944016	No	
row_79	XM_047174164	na	7971	0.0	0.21207356	No	
row_80	XM_047176386	na	8199	0.0	0.19753253	No	
row_81	XM_047176921	na	8249	0.0	0.19439372	No	
row_82	XM_047177852	na	8334	0.0	0.1890129	No	
row_83	XM_047179357	na	8471	0.0	0.1803011	No	
row_84	XM_047179604	na	8501	0.0	0.17844343	No	
row_85	XM_047181448	na	8732	0.0	0.16371024	No	
row_86	XM_047185060	na	9075	0.0	0.14180261	No	
row_87	XM_047185140	na	9098	0.0	0.14039335	No	
row_88	XM_047185681	na	9174	0.0	0.13558903	No	
row_89	XM_047186311	na	9229	0.0	0.13212994	No	
row_90	XM_047186313	na	9230	0.0	0.13212994	No	
row_91	XM_047186471	na	9250	0.0	0.13091286	No	
row_92	XM_047169245	na	9662	-0.0012627869145944715	0.104612224	No	
row_93	XM_047180138	na	9682	-0.0014757115859538317	0.103426635	No	
row_94	XM_047170877	na	9888	-0.023955026641488075	0.0908063	No	
row_95	XM_047164808	na	10072	-0.04341194033622742	0.08001062	No	
row_96	XM_047182383	na	10098	-0.04545627906918526	0.079379655	No	
row_97	XM_047166361	na	10181	-0.05642480030655861	0.07533159	No	
row_98	XM_047175445	na	10193	-0.05773986130952835	0.07585968	No	
row_99	XM_047176913	na	10217	-0.06307856738567352	0.07573306	No	
row_100	XM_047176923	na	10218	-0.0631510391831398	0.0770813	No	
row_101	XM_047166932	na	10312	-0.07405515760183334	0.07270501	No	
row_102	XM_047185141	na	10421	-0.085451140999794	0.06761115	No	
row_103	XM_047176487	na	10473	-0.09216027706861496	0.0663118	No	
row_104	XM_047168337	na	10583	-0.10480032116174698	0.06156698	No	
row_105	XM_047164142	na	11064	-0.165575310587883	0.03435438	No	
row_106	XM_047178614	na	11239	-0.18482334911823273	0.027154285	No	
row_107	XM_047186227	na	11434	-0.20942248404026031	0.01919822	No	
row_108	XM_047166037	na	11455	-0.2119876891374588	0.022442909	No	
row_109	XM_047168116	na	11605	-0.23011545836925507	0.01781121	No	
row_110	XM_047169963	na	11618	-0.23208728432655334	0.021997474	No	
row_111	XM_047167980	na	11624	-0.23253796994686127	0.026641762	No	
row_112	XM_047174247	na	12030	-0.28618288040161133	0.006808384	No	
row_113	XM_047186312	na	12280	-0.3244296908378601	-0.0022154893	No	
row_114	XM_047169121	na	12398	-0.3432510793209076	-0.0023819588	No	
row_115	XM_047179511	na	12548	-0.3472333252429962	-0.004513246	No	
row_116	XM_047165279	na	12777	-0.3661865293979645	-0.011300425	No	
row_117	XM_047183900	na	13037	-0.3694388270378113	-0.020003948	No	
row_118	XM_047174128	na	13115	-0.3783623278141022	-0.016858514	No	
row_119	XM_047175444	na	13243	-0.39400115609169006	-0.016582068	No	
row_120	XM_047184291	na	13575	-0.4260733425617218	-0.028688604	No	
row_121	XM_047176310	na	13666	-0.44210395216941833	-0.025015062	No	
row_122	XM_047170715	na	13983	-0.4930764138698578	-0.034730256	No	
row_123	XM_047180516	na	14045	-0.5014657974243164	-0.027931701	No	
row_124	XM_047181198	na	14305	-0.5539394617080688	-0.032696225	No	
row_125	XM_047170985	na	14446	-0.5884752869606018	-0.029100595	No	
row_126	XM_047167870	na	14450	-0.5890682339668274	-0.016716443	No	
row_127	XM_047163417	na	14693	-0.643559992313385	-0.018478636	No	
row_128	XM_047179427	na	14798	-0.6669530868530273	-0.010901477	No	
row_129	XM_047164583	na	15047	-0.7432627081871033	-0.01091941	No	
row_130	XM_047177518	na	15163	-0.787912905216217	-0.0014644489	No	
row_131	XM_047186351	na	15170	-0.793822705745697	0.01509894	No	
row_132	XM_047185225	na	15474	-1.0090054273605347	0.01723133	No	
