NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047180796	na	89	1.3554762601852417	0.02093629	Yes	
row_1	XM_047170794	na	192	1.1841119527816772	0.037672736	Yes	
row_2	XM_047166494	na	282	1.106444001197815	0.053715456	Yes	
row_3	XM_047175424	na	297	1.1020619869232178	0.074474834	Yes	
row_4	XM_047163011	na	434	1.0226542949676514	0.085861325	Yes	
row_5	XM_047185241	na	453	1.0086127519607544	0.10452825	Yes	
row_6	XM_047181054	na	496	0.9842585325241089	0.121179715	Yes	
row_7	XM_047184974	na	506	0.9784207940101624	0.13982968	Yes	
row_8	XM_047175076	na	566	0.950951874256134	0.15473804	Yes	
row_9	XM_047186259	na	583	0.9437884092330933	0.17225921	Yes	
row_10	XM_047164700	na	617	0.9281513690948486	0.18838449	Yes	
row_11	XM_047181018	na	632	0.9174872636795044	0.20551692	Yes	
row_12	XM_047168406	na	653	0.9047691822052002	0.2220152	Yes	
row_13	XM_047185239	na	758	0.854255199432373	0.23214178	Yes	
row_14	XM_047171006	na	759	0.8538678288459778	0.24892056	Yes	
row_15	XM_047163150	na	781	0.84260094165802	0.2641332	Yes	
row_16	XM_047165454	na	832	0.8221261501312256	0.2770864	Yes	
row_17	XM_047175265	na	872	0.8042176365852356	0.29039213	Yes	
row_18	XM_047174623	na	885	0.8010401725769043	0.3053644	Yes	
row_19	XM_047163004	na	973	0.7748478651046753	0.31501922	Yes	
row_20	XM_047185383	na	1113	0.7389348149299622	0.3206384	Yes	
row_21	XM_047175242	na	1167	0.7211770415306091	0.33141583	Yes	
row_22	XM_047181046	na	1176	0.7178314924240112	0.34500918	Yes	
row_23	XM_047185878	na	1237	0.7018209099769592	0.35495797	Yes	
row_24	XM_047185382	na	1253	0.6969746947288513	0.36769322	Yes	
row_25	XM_047185393	na	1258	0.6956152319908142	0.38110614	Yes	
row_26	XM_047185392	na	1265	0.6942594647407532	0.39436436	Yes	
row_27	XM_047175322	na	1297	0.6820228099822998	0.40578118	Yes	
row_28	XM_047185390	na	1343	0.6745150089263916	0.416154	Yes	
row_29	XM_047180593	na	1357	0.6719315052032471	0.42852518	Yes	
row_30	XM_047172570	na	1642	0.6352219581604004	0.42282104	Yes	
row_31	XM_047178704	na	1652	0.6335038542747498	0.43469328	Yes	
row_32	XM_047172946	na	1697	0.6233025789260864	0.44412377	Yes	
row_33	XM_047166157	na	1720	0.6181555986404419	0.4548619	Yes	
row_34	XM_047175126	na	1749	0.6094018816947937	0.46504384	Yes	
row_35	XM_047185240	na	1760	0.6061061024665833	0.47631368	Yes	
row_36	XM_047166086	na	1997	0.5565610527992249	0.47213757	Yes	
row_37	XM_047183248	na	2157	0.5227869749069214	0.47222865	Yes	
row_38	XM_047175073	na	2199	0.5113619565963745	0.4796516	Yes	
row_39	XM_047186007	na	2366	0.47569745779037476	0.4783691	Yes	
row_40	XM_047183623	na	2637	0.43205079436302185	0.46956906	Yes	
row_41	XM_047170790	na	2664	0.4287184476852417	0.47632858	Yes	
row_42	XM_047174440	na	2903	0.4058452248573303	0.4690628	Yes	
row_43	XM_047163536	na	2908	0.4054781496524811	0.47677442	Yes	
row_44	XM_047165642	na	2960	0.4002481698989868	0.48137358	Yes	
row_45	XM_047186503	na	3004	0.3943200707435608	0.4863685	Yes	
row_46	XM_047185386	na	3019	0.3922504186630249	0.49317986	Yes	
row_47	XM_047166018	na	3052	0.38515958189964294	0.4986992	Yes	
row_48	XM_047168002	na	3359	0.3689509630203247	0.4863539	Yes	
row_49	XM_047163149	na	3483	0.3686102032661438	0.4857207	Yes	
row_50	XM_047182902	na	3587	0.3623338043689728	0.4862449	Yes	
row_51	XM_047177641	na	3808	0.35110196471214294	0.47905603	Yes	
row_52	XM_047178000	na	3813	0.35110196471214294	0.48569915	Yes	
row_53	XM_047172282	na	3885	0.34935271739959717	0.48801744	Yes	
row_54	XM_047164480	na	3895	0.347303569316864	0.49426574	Yes	
row_55	XM_047167004	na	3965	0.3368651270866394	0.49646673	Yes	
row_56	XM_047174173	na	4029	0.3270818889141083	0.49885967	Yes	
row_57	XM_047166719	na	4068	0.32212594151496887	0.5027561	Yes	
row_58	XM_047181053	na	4485	0.26459452509880066	0.48131618	No	
row_59	XM_047172332	na	4558	0.2569319009780884	0.48175433	No	
row_60	XM_047163005	na	4573	0.25528639554977417	0.48587427	No	
row_61	XM_047181033	na	4722	0.23645417392253876	0.48104322	No	
row_62	XM_047180088	na	4786	0.22644945979118347	0.4814587	No	
row_63	XM_047164183	na	4870	0.21852099895477295	0.48043767	No	
row_64	XM_047178594	na	4985	0.2029849886894226	0.47712618	No	
row_65	XM_047179408	na	5265	0.16789023578166962	0.46255898	No	
row_66	XM_047176903	na	5288	0.16579098999500275	0.464408	No	
row_67	XM_047175546	na	5631	0.12176137417554855	0.44490007	No	
row_68	XM_047172764	na	5653	0.11917105317115784	0.44589704	No	
row_69	XM_047164352	na	5745	0.10824338346719742	0.4421967	No	
row_70	XM_047169662	na	5929	0.08471541106700897	0.43214265	No	
row_71	XM_047168342	na	5959	0.08079496771097183	0.43187323	No	
row_72	XM_047172572	na	5994	0.07614319026470184	0.43119222	No	
row_73	XM_047163391	na	6035	0.07127218693494797	0.43003124	No	
row_74	XM_047180051	na	6066	0.06874837726354599	0.42946106	No	
row_75	XM_047171872	na	6106	0.06379634141921997	0.42821726	No	
row_76	XM_047182566	na	6210	0.05260147899389267	0.4226551	No	
row_77	XM_047170481	na	6319	0.03884844854474068	0.4165025	No	
row_78	XM_047166252	na	6358	0.03590932488441467	0.41477472	No	
row_79	XM_047166744	na	6432	0.027521945536136627	0.41064084	No	
row_80	XM_047182901	na	6585	0.015213358215987682	0.4012062	No	
row_81	XM_047162965	na	6798	0.0	0.38763037	No	
row_82	XM_047163242	na	6834	0.0	0.3853891	No	
row_83	XM_047163392	na	6845	0.0	0.3847487	No	
row_84	XM_047167308	na	7232	0.0	0.36003047	No	
row_85	XM_047168004	na	7307	0.0	0.35529175	No	
row_86	XM_047168206	na	7335	0.0	0.35356274	No	
row_87	XM_047169191	na	7419	0.0	0.34824768	No	
row_88	XM_047169419	na	7454	0.0	0.34607044	No	
row_89	XM_047170792	na	7604	0.0	0.33652893	No	
row_90	XM_047170842	na	7609	0.0	0.3362728	No	
row_91	XM_047174147	na	7970	0.0	0.31321952	No	
row_92	XM_047178136	na	8360	0.0	0.28830916	No	
row_93	XM_047179384	na	8472	0.0	0.28120106	No	
row_94	XM_047179958	na	8553	0.0	0.27607813	No	
row_95	XM_047181055	na	8697	0.0	0.26692086	No	
row_96	XM_047183247	na	8914	0.0	0.2530889	No	
row_97	XM_047185082	na	9084	0.0	0.24226665	No	
row_98	XM_047185091	na	9086	0.0	0.24220261	No	
row_99	XM_047185387	na	9147	0.0	0.2383604	No	
row_100	XM_047186265	na	9223	0.0	0.23355764	No	
row_101	XM_047175627	na	9669	-0.0012627869145944715	0.20508604	No	
row_102	XM_047166745	na	9685	-0.0016820501768961549	0.20415853	No	
row_103	XM_047181051	na	9724	-0.005592947360128164	0.20183504	No	
row_104	XM_047174791	na	10124	-0.04820048436522484	0.17723148	No	
row_105	XM_047179823	na	10614	-0.10796955227851868	0.14803909	No	
row_106	XM_047172571	na	10639	-0.11144106835126877	0.14869206	No	
row_107	XM_047170843	na	10877	-0.14201359450817108	0.13630593	No	
row_108	XM_047185389	na	11084	-0.1673944592475891	0.12640369	No	
row_109	XM_047166247	na	11248	-0.1856120079755783	0.119613014	No	
row_110	XM_047170700	na	11333	-0.19785313308238983	0.118121795	No	
row_111	XM_047185384	na	12200	-0.3133547902107239	0.06882339	No	
row_112	XM_047170791	na	12263	-0.32203319668769836	0.07118116	No	
row_113	XM_047182610	na	12316	-0.330424964427948	0.07434421	No	
row_114	XM_047180594	na	12557	-0.3472333252429962	0.06579861	No	
row_115	XM_047169427	na	12663	-0.35152584314346313	0.06598234	No	
row_116	XM_047166742	na	12918	-0.3685314655303955	0.056958746	No	
row_117	XM_047168855	na	13225	-0.39400115609169006	0.045105718	No	
row_118	XM_047163065	na	13632	-0.43844810128211975	0.027722398	No	
row_119	XM_047165641	na	13739	-0.4529883563518524	0.029835865	No	
row_120	XM_047163875	na	13788	-0.46006402373313904	0.03580251	No	
row_121	XM_047164802	na	13894	-0.4783977270126343	0.038479317	No	
row_122	XM_047175549	na	14235	-0.5404708981513977	0.027327215	No	
row_123	XM_047171444	na	14378	-0.5703428983688354	0.02944141	No	
row_124	XM_047167657	na	14407	-0.5769766569137573	0.03898617	No	
row_125	XM_047178027	na	14815	-0.6698437929153442	0.026085816	No	
row_126	XM_047183225	na	15147	-0.7837471961975098	0.02029051	No	
row_127	XM_047180254	na	15367	-0.9064356684684753	0.024078203	No	
