NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047172284	na	288	1.1039984226226807	0.092393875	Yes	
row_1	XM_047172513	na	676	0.8939637541770935	0.15742548	Yes	
row_2	XM_047172517	na	953	0.7812585234642029	0.21821615	Yes	
row_3	XM_047172520	na	1119	0.736446738243103	0.28157476	Yes	
row_4	XM_047185529	na	1257	0.6959574818611145	0.3426542	Yes	
row_5	XM_047184684	na	1482	0.6562421917915344	0.39421567	Yes	
row_6	XM_047172630	na	2419	0.4673430919647217	0.3815346	Yes	
row_7	XM_047175900	na	3025	0.3915918171405792	0.3823153	Yes	
row_8	XM_047172661	na	3300	0.37229618430137634	0.40221956	Yes	
row_9	XM_047179963	na	3429	0.3689509630203247	0.43107706	Yes	
row_10	XM_047177702	na	5881	0.09092477709054947	0.2842598	No	
row_11	XM_047179603	na	6509	0.020793231204152107	0.24645452	No	
row_12	XM_047185531	na	6626	0.012560932897031307	0.24033415	No	
row_13	XM_047175897	na	8143	0.0	0.14388423	No	
row_14	XM_047175899	na	8144	0.0	0.14388423	No	
row_15	XM_047178613	na	8399	0.0	0.12772441	No	
row_16	XM_047185421	na	9152	0.0	0.07988118	No	
row_17	XM_047185422	na	9153	0.0	0.07988118	No	
row_18	XM_047185530	na	10016	-0.03715170919895172	0.028765433	No	
row_19	XM_047175901	na	11721	-0.24499890208244324	-0.055075068	No	
row_20	XM_047185532	na	11959	-0.2760871350765228	-0.04246534	No	
row_21	XM_047163546	na	13096	-0.3741189241409302	-0.07721986	No	
row_22	XM_047179519	na	13869	-0.4737776815891266	-0.07882172	No	
row_23	XM_047167098	na	14466	-0.5927442908287048	-0.057295416	No	
row_24	XM_047172602	na	14780	-0.6621202230453491	-0.01080676	No	
row_25	XM_047185420	na	14979	-0.7180432081222534	0.048606697	No	
