NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047185646	na	79	1.3858802318572998	0.045720577	Yes	
row_1	XM_047175873	na	172	1.2079041004180908	0.0840932	Yes	
row_2	XM_047164929	na	209	1.166566252708435	0.12452409	Yes	
row_3	XM_047168899	na	393	1.048547387123108	0.15125495	Yes	
row_4	XM_047168353	na	740	0.8615707159042358	0.16073944	Yes	
row_5	XM_047168645	na	840	0.8202334642410278	0.18446644	Yes	
row_6	XM_047184747	na	884	0.8011078834533691	0.21106528	Yes	
row_7	XM_047168457	na	1148	0.7272210717201233	0.22092369	Yes	
row_8	XM_047184744	na	1160	0.7231118083000183	0.24670714	Yes	
row_9	XM_047168019	na	1293	0.6840736865997314	0.26334193	Yes	
row_10	XM_047177105	na	1348	0.6729099750518799	0.2845436	Yes	
row_11	XM_047180081	na	1781	0.6023640632629395	0.27904812	Yes	
row_12	XM_047172692	na	1813	0.5936936736106873	0.29881558	Yes	
row_13	XM_047178211	na	2059	0.5441589951515198	0.3031173	Yes	
row_14	XM_047164293	na	2077	0.5394719839096069	0.3217919	Yes	
row_15	XM_047181188	na	2362	0.47660985589027405	0.32113165	Yes	
row_16	XM_047184745	na	2431	0.4660307765007019	0.33386293	Yes	
row_17	XM_047162924	na	2587	0.4383571147918701	0.34003076	Yes	
row_18	XM_047170471	na	3991	0.33254942297935486	0.26271105	No	
row_19	XM_047165816	na	3995	0.331782728433609	0.27467176	No	
row_20	XM_047183337	na	4060	0.3234023153781891	0.28243423	No	
row_21	XM_047168018	na	4160	0.3074730336666107	0.28738055	No	
row_22	XM_047185701	na	4893	0.21432676911354065	0.24853502	No	
row_23	XM_047183338	na	4906	0.21241748332977295	0.25554967	No	
row_24	XM_047184440	na	5029	0.19842223823070526	0.2550346	No	
row_25	XM_047176235	na	5144	0.18307939171791077	0.2544679	No	
row_26	XM_047168990	na	5264	0.16795490682125092	0.25302833	No	
row_27	XM_047177174	na	5429	0.1486673504114151	0.24801165	No	
row_28	XM_047174333	na	5483	0.14017163217067719	0.2497647	No	
row_29	XM_047164275	na	5546	0.13129553198814392	0.25061852	No	
row_30	XM_047163121	na	5832	0.09633772075176239	0.2359664	No	
row_31	XM_047175689	na	6234	0.04936819151043892	0.21219409	No	
row_32	XM_047168776	na	6643	0.010882941074669361	0.18656564	No	
row_33	XM_047167266	na	6697	0.007718388922512531	0.18346737	No	
row_34	XM_047168269	na	7341	0.0	0.14244926	No	
row_35	XM_047171799	na	7712	0.0	0.11884629	No	
row_36	XM_047174845	na	8042	0.0	0.097858794	No	
row_37	XM_047177081	na	8273	0.0	0.083186686	No	
row_38	XM_047184786	na	9035	0.0	0.03464114	No	
row_39	XM_047185287	na	9130	0.0	0.02864471	No	
row_40	XM_047168726	na	9774	-0.01002854760736227	-0.012006094	No	
row_41	XM_047177079	na	10187	-0.05691589415073395	-0.03620367	No	
row_42	XM_047174191	na	10235	-0.0655670315027237	-0.036800385	No	
row_43	XM_047180567	na	10579	-0.10443325340747833	-0.054855928	No	
row_44	XM_047168984	na	10634	-0.1104026585817337	-0.054257005	No	
row_45	XM_047168751	na	10773	-0.125907301902771	-0.058448713	No	
row_46	XM_047164919	na	11039	-0.16185487806797028	-0.06942534	No	
row_47	XM_047163045	na	11190	-0.17760631442070007	-0.07248898	No	
row_48	XM_047175095	na	11217	-0.18248282372951508	-0.06746384	No	
row_49	XM_047168588	na	11244	-0.18548926711082458	-0.062328577	No	
row_50	XM_047163216	na	11619	-0.23222005367279053	-0.077681266	No	
row_51	XM_047168550	na	11933	-0.27313733100891113	-0.08764399	No	
row_52	XM_047168962	na	11935	-0.27323660254478455	-0.07770005	No	
row_53	XM_047177798	na	12242	-0.31931987404823303	-0.085524715	No	
row_54	XM_047184442	na	13039	-0.3694388270378113	-0.12277168	No	
row_55	XM_047164306	na	13164	-0.38515132665634155	-0.11657506	No	
row_56	XM_047169216	na	13204	-0.392198383808136	-0.10469803	No	
row_57	XM_047177797	na	13291	-0.3945699632167816	-0.09573236	No	
row_58	XM_047172793	na	13595	-0.42982128262519836	-0.09931836	No	
row_59	XM_047164778	na	13600	-0.4310852587223053	-0.08378433	No	
row_60	XM_047166025	na	13804	-0.4643039107322693	-0.07972817	No	
row_61	XM_047177324	na	13898	-0.4789283275604248	-0.06811927	No	
row_62	XM_047178046	na	14586	-0.6246256232261658	-0.0890663	No	
row_63	XM_047165826	na	14930	-0.7059502601623535	-0.085090294	No	
row_64	XM_047176733	na	15040	-0.7408601641654968	-0.064908385	No	
row_65	XM_047166376	na	15410	-0.9494526386260986	-0.0536723	No	
row_66	XM_047165097	na	15460	-0.9900316596031189	-0.020536568	No	
row_67	XM_047172791	na	15517	-1.0518537759780884	0.014416956	No	
