NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047166494	na	282	1.106444001197815	0.013601728	Yes	
row_1	XM_047163011	na	434	1.0226542949676514	0.033179898	Yes	
row_2	XM_047185241	na	453	1.0086127519607544	0.06085571	Yes	
row_3	XM_047181054	na	496	0.9842585325241089	0.08630183	Yes	
row_4	XM_047184974	na	506	0.9784207940101624	0.11368988	Yes	
row_5	XM_047164700	na	617	0.9281513690948486	0.13318714	Yes	
row_6	XM_047181018	na	632	0.9174872636795044	0.1585142	Yes	
row_7	XM_047185239	na	758	0.854255199432373	0.17494099	Yes	
row_8	XM_047163150	na	781	0.84260094165802	0.19761659	Yes	
row_9	XM_047165454	na	832	0.8221261501312256	0.21791779	Yes	
row_10	XM_047163004	na	973	0.7748478651046753	0.2311166	Yes	
row_11	XM_047175242	na	1167	0.7211770415306091	0.2393947	Yes	
row_12	XM_047181046	na	1176	0.7178314924240112	0.25939903	Yes	
row_13	XM_047175322	na	1297	0.6820228099822998	0.27122295	Yes	
row_14	XM_047180593	na	1357	0.6719315052032471	0.28665647	Yes	
row_15	XM_047172570	na	1642	0.6352219581604004	0.2866629	Yes	
row_16	XM_047178704	na	1652	0.6335038542747498	0.30419326	Yes	
row_17	XM_047172946	na	1697	0.6233025789260864	0.3191955	Yes	
row_18	XM_047166157	na	1720	0.6181555986404419	0.3354565	Yes	
row_19	XM_047175126	na	1749	0.6094018816947937	0.35108387	Yes	
row_20	XM_047185240	na	1760	0.6061061024665833	0.3677673	Yes	
row_21	XM_047166086	na	1997	0.5565610527992249	0.36859292	Yes	
row_22	XM_047183248	na	2157	0.5227869749069214	0.37337372	Yes	
row_23	XM_047175073	na	2199	0.5113619565963745	0.3853684	Yes	
row_24	XM_047186007	na	2366	0.47569745779037476	0.3883561	Yes	
row_25	XM_047183623	na	2637	0.43205079436302185	0.38345057	Yes	
row_26	XM_047170790	na	2664	0.4287184476852417	0.39404184	Yes	
row_27	XM_047163536	na	2908	0.4054781496524811	0.3901022	Yes	
row_28	XM_047165642	na	2960	0.4002481698989868	0.39828226	Yes	
row_29	XM_047186503	na	3004	0.3943200707435608	0.4068041	Yes	
row_30	XM_047166018	na	3052	0.38515958189964294	0.41480854	Yes	
row_31	XM_047168002	na	3359	0.3689509630203247	0.40579915	Yes	
row_32	XM_047163149	na	3483	0.3686102032661438	0.40847406	Yes	
row_33	XM_047177641	na	3808	0.35110196471214294	0.39780432	Yes	
row_34	XM_047178000	na	3813	0.35110196471214294	0.40758318	Yes	
row_35	XM_047172282	na	3885	0.34935271739959717	0.4130306	Yes	
row_36	XM_047164480	na	3895	0.347303569316864	0.4223814	Yes	
row_37	XM_047167004	na	3965	0.3368651270866394	0.42759973	Yes	
row_38	XM_047174173	na	4029	0.3270818889141083	0.4329219	Yes	
row_39	XM_047166719	na	4068	0.32212594151496887	0.43969992	Yes	
row_40	XM_047181053	na	4485	0.26459452509880066	0.42067885	No	
row_41	XM_047163005	na	4573	0.25528639554977417	0.42241544	No	
row_42	XM_047181033	na	4722	0.23645417392253876	0.4197158	No	
row_43	XM_047180088	na	4786	0.22644945979118347	0.42216188	No	
row_44	XM_047164183	na	4870	0.21852099895477295	0.42310333	No	
row_45	XM_047178594	na	4985	0.2029849886894226	0.42161983	No	
row_46	XM_047179408	na	5265	0.16789023578166962	0.40858948	No	
row_47	XM_047176903	na	5288	0.16579098999500275	0.41192195	No	
row_48	XM_047172764	na	5653	0.11917105317115784	0.39206755	No	
row_49	XM_047164352	na	5745	0.10824338346719742	0.38934606	No	
row_50	XM_047169662	na	5929	0.08471541106700897	0.3800732	No	
row_51	XM_047168342	na	5959	0.08079496771097183	0.38052917	No	
row_52	XM_047172572	na	5994	0.07614319026470184	0.38053265	No	
row_53	XM_047163391	na	6035	0.07127218693494797	0.38001353	No	
row_54	XM_047180051	na	6066	0.06874837726354599	0.3800613	No	
row_55	XM_047171872	na	6106	0.06379634141921997	0.37939242	No	
row_56	XM_047182566	na	6210	0.05260147899389267	0.37431386	No	
row_57	XM_047170481	na	6319	0.03884844854474068	0.36852276	No	
row_58	XM_047166252	na	6358	0.03590932488441467	0.36712077	No	
row_59	XM_047166744	na	6432	0.027521945536136627	0.3632425	No	
row_60	XM_047162965	na	6798	0.0	0.33991835	No	
row_61	XM_047163242	na	6834	0.0	0.33768177	No	
row_62	XM_047163392	na	6845	0.0	0.33704275	No	
row_63	XM_047168004	na	7307	0.0	0.30758402	No	
row_64	XM_047168206	na	7335	0.0	0.30585864	No	
row_65	XM_047169419	na	7454	0.0	0.29831824	No	
row_66	XM_047170792	na	7604	0.0	0.28879687	No	
row_67	XM_047170842	na	7609	0.0	0.28854126	No	
row_68	XM_047174147	na	7970	0.0	0.26553658	No	
row_69	XM_047179958	na	8553	0.0	0.2283457	No	
row_70	XM_047181055	na	8697	0.0	0.21920775	No	
row_71	XM_047183247	na	8914	0.0	0.20540495	No	
row_72	XM_047175627	na	9669	-0.0012627869145944715	0.15725905	No	
row_73	XM_047166745	na	9685	-0.0016820501768961549	0.15634859	No	
row_74	XM_047181051	na	9724	-0.005592947360128164	0.15408017	No	
row_75	XM_047174791	na	10124	-0.04820048436522484	0.1299609	No	
row_76	XM_047179823	na	10614	-0.10796955227851868	0.10179865	No	
row_77	XM_047172571	na	10639	-0.11144106835126877	0.10344998	No	
row_78	XM_047170843	na	10877	-0.14201359450817108	0.092363976	No	
row_79	XM_047170700	na	11333	-0.19785313308238983	0.068943255	No	
row_80	XM_047170791	na	12263	-0.32203319668769836	0.018782115	No	
row_81	XM_047182610	na	12316	-0.330424964427948	0.024902727	No	
row_82	XM_047180594	na	12557	-0.3472333252429962	0.019490177	No	
row_83	XM_047169427	na	12663	-0.35152584314346313	0.022827053	No	
row_84	XM_047166742	na	12918	-0.3685314655303955	0.017128574	No	
row_85	XM_047168855	na	13225	-0.39400115609169006	0.008835118	No	
row_86	XM_047163065	na	13632	-0.43844810128211975	-0.0045782328	No	
row_87	XM_047165641	na	13739	-0.4529883563518524	0.0015945294	No	
row_88	XM_047163875	na	13788	-0.46006402373313904	0.011675821	No	
row_89	XM_047164802	na	13894	-0.4783977270126343	0.018638682	No	
row_90	XM_047175549	na	14235	-0.5404708981513977	0.012358654	No	
row_91	XM_047171444	na	14378	-0.5703428983688354	0.019584931	No	
row_92	XM_047178027	na	14815	-0.6698437929153442	0.010867789	No	
row_93	XM_047183225	na	15147	-0.7837471961975098	0.012115688	No	
row_94	XM_047180254	na	15367	-0.9064356684684753	0.024027016	No	
