NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047185974	na	270	1.113144040107727	0.044943403	Yes	
row_1	XM_047163628	na	501	0.9816780090332031	0.08509534	Yes	
row_2	XM_047164771	na	614	0.9289795756340027	0.12981877	Yes	
row_3	XM_047182127	na	704	0.8791047930717468	0.17322265	Yes	
row_4	XM_047167429	na	974	0.7747204303741455	0.19933935	Yes	
row_5	XM_047174286	na	976	0.7734468579292297	0.2424485	Yes	
row_6	XM_047179139	na	1183	0.7164380550384521	0.26932314	Yes	
row_7	XM_047174649	na	1203	0.7111427187919617	0.3078085	Yes	
row_8	XM_047174390	na	1223	0.7067127227783203	0.34604657	Yes	
row_9	XM_047168077	na	1314	0.6803235411643982	0.37829107	Yes	
row_10	XM_047175077	na	1701	0.6224561333656311	0.38845918	Yes	
row_11	XM_047165712	na	1788	0.6006934642791748	0.4165135	Yes	
row_12	XM_047166520	na	1991	0.5577418804168701	0.43478462	Yes	
row_13	XM_047168309	na	2132	0.5277893543243408	0.4553314	Yes	
row_14	XM_047183741	na	2284	0.4933861792087555	0.4732574	Yes	
row_15	XM_047168458	na	2292	0.4913351237773895	0.5002374	Yes	
row_16	XM_047168302	na	2349	0.47892963886260986	0.52340513	Yes	
row_17	XM_047169081	na	2686	0.42790305614471436	0.525897	Yes	
row_18	XM_047177617	na	2890	0.4077361226081848	0.5357314	Yes	
row_19	XM_047164243	na	2929	0.40331584215164185	0.55582446	Yes	
row_20	XM_047165068	na	2938	0.4029011130332947	0.57780457	Yes	
row_21	XM_047169049	na	2974	0.3979130983352661	0.5977871	Yes	
row_22	XM_047175717	na	3178	0.3752251863479614	0.6058067	Yes	
row_23	XM_047183724	na	3448	0.3689509630203247	0.60927385	Yes	
row_24	XM_047185177	na	4898	0.2137715220451355	0.5289486	No	
row_25	XM_047183723	na	5040	0.19729985296726227	0.53098416	No	
row_26	XM_047178398	na	5120	0.18694210052490234	0.5363891	No	
row_27	XM_047179631	na	5130	0.18500280380249023	0.5461427	No	
row_28	XM_047172595	na	5184	0.1793336123228073	0.55277836	No	
row_29	XM_047165847	na	5803	0.10096058249473572	0.5190658	No	
row_30	XM_047168629	na	5908	0.08693040907382965	0.5172965	No	
row_31	XM_047173520	na	5911	0.08655571937561035	0.52200055	No	
row_32	XM_047180628	na	6397	0.031002569943666458	0.4928512	No	
row_33	XM_047178399	na	10631	-0.10976244509220123	0.22946316	No	
row_34	XM_047164878	na	11680	-0.2397841364145279	0.17612152	No	
row_35	XM_047182353	na	12568	-0.3472333252429962	0.1390284	No	
row_36	XM_047163489	na	12710	-0.35826846957206726	0.15004903	No	
row_37	XM_047181810	na	15121	-0.7703195810317993	0.039602753	No	
