NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047166494	na	282	1.106444001197815	0.092494465	Yes	
row_1	XM_047184974	na	506	0.9784207940101624	0.17596474	Yes	
row_2	XM_047180593	na	1357	0.6719315052032471	0.18894477	Yes	
row_3	XM_047172570	na	1642	0.6352219581604004	0.2342772	Yes	
row_4	XM_047172946	na	1697	0.6233025789260864	0.2930556	Yes	
row_5	XM_047166157	na	1720	0.6181555986404419	0.35335654	Yes	
row_6	XM_047166086	na	1997	0.5565610527992249	0.3913465	Yes	
row_7	XM_047183248	na	2157	0.5227869749069214	0.4334105	Yes	
row_8	XM_047175073	na	2199	0.5113619565963745	0.48184285	Yes	
row_9	XM_047186503	na	3004	0.3943200707435608	0.47004038	No	
row_10	XM_047167004	na	3965	0.3368651270866394	0.44257626	No	
row_11	XM_047166719	na	4068	0.32212594151496887	0.46823847	No	
row_12	XM_047180088	na	4786	0.22644945979118347	0.44521618	No	
row_13	XM_047164183	na	4870	0.21852099895477295	0.46174616	No	
row_14	XM_047178594	na	4985	0.2029849886894226	0.47475278	No	
row_15	XM_047179408	na	5265	0.16789023578166962	0.4737569	No	
row_16	XM_047172764	na	5653	0.11917105317115784	0.46102574	No	
row_17	XM_047172572	na	5994	0.07614319026470184	0.44699058	No	
row_18	XM_047182566	na	6210	0.05260147899389267	0.43855977	No	
row_19	XM_047166252	na	6358	0.03590932488441467	0.4327899	No	
row_20	XM_047166744	na	6432	0.027521945536136627	0.43089175	No	
row_21	XM_047168206	na	7335	0.0	0.37349436	No	
row_22	XM_047183247	na	8914	0.0	0.27308074	No	
row_23	XM_047175627	na	9669	-0.0012627869145944715	0.22522715	No	
row_24	XM_047166745	na	9685	-0.0016820501768961549	0.22444053	No	
row_25	XM_047172571	na	10639	-0.11144106835126877	0.17492126	No	
row_26	XM_047180594	na	12557	-0.3472333252429962	0.0875948	No	
row_27	XM_047166742	na	12918	-0.3685314655303955	0.10147151	No	
row_28	XM_047183225	na	15147	-0.7837471961975098	0.037925437	No	
