NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047172530	na	208	1.1675881147384644	0.020552205	Yes	
row_1	XM_047171638	na	322	1.0834496021270752	0.04473037	Yes	
row_2	XM_047177935	na	404	1.0417349338531494	0.06974244	Yes	
row_3	XM_047170922	na	451	1.010075569152832	0.09607124	Yes	
row_4	XM_047169299	na	697	0.883439302444458	0.10602916	Yes	
row_5	XM_047182127	na	704	0.8791047930717468	0.13111648	Yes	
row_6	XM_047168963	na	888	0.7995532751083374	0.14260133	Yes	
row_7	XM_047171637	na	890	0.7994233965873718	0.16569918	Yes	
row_8	XM_047166417	na	894	0.7991761565208435	0.18866223	Yes	
row_9	XM_047172354	na	1100	0.74355548620224	0.19712043	Yes	
row_10	XM_047178483	na	1161	0.7230846285820007	0.21424064	Yes	
row_11	XM_047172211	na	1197	0.7127680778503418	0.23265767	Yes	
row_12	XM_047169066	na	1284	0.689018964767456	0.24713136	Yes	
row_13	XM_047167011	na	1301	0.6814989447593689	0.26585516	Yes	
row_14	XM_047175077	na	1701	0.6224561333656311	0.25842205	Yes	
row_15	XM_047183513	na	1734	0.6143648624420166	0.27417952	Yes	
row_16	XM_047166663	na	1745	0.6110947728157043	0.29124647	Yes	
row_17	XM_047184812	na	1805	0.5971220135688782	0.30478102	Yes	
row_18	XM_047165757	na	1853	0.5855118632316589	0.3187451	Yes	
row_19	XM_047163361	na	1874	0.5810205936431885	0.33430246	Yes	
row_20	XM_047179595	na	1930	0.5695316195487976	0.3472929	Yes	
row_21	XM_047173826	na	1949	0.5658200979232788	0.3625375	Yes	
row_22	XM_047164322	na	2014	0.5525476336479187	0.37446144	Yes	
row_23	XM_047170013	na	2311	0.4861544072628021	0.36965358	Yes	
row_24	XM_047167422	na	2329	0.48241981863975525	0.38254562	Yes	
row_25	XM_047181141	na	2471	0.45857587456703186	0.38683215	Yes	
row_26	XM_047185885	na	2477	0.45751768350601196	0.39976865	Yes	
row_27	XM_047173283	na	2498	0.45364463329315186	0.41163552	Yes	
row_28	XM_047183623	na	2637	0.43205079436302185	0.415345	Yes	
row_29	XM_047184534	na	2642	0.431119829416275	0.42758054	Yes	
row_30	XM_047169081	na	2686	0.42790305614471436	0.43723354	Yes	
row_31	XM_047166446	na	2993	0.39542582631111145	0.4291587	Yes	
row_32	XM_047177924	na	3031	0.39091041684150696	0.4381229	Yes	
row_33	XM_047172924	na	3389	0.3689509630203247	0.42602575	Yes	
row_34	XM_047184772	na	3660	0.35599449276924133	0.4191063	Yes	
row_35	XM_047180049	na	3881	0.35051143169403076	0.41521943	Yes	
row_36	XM_047170134	na	3912	0.3446762263774872	0.42329085	Yes	
row_37	XM_047185882	na	3944	0.34094348549842834	0.43119034	Yes	
row_38	XM_047163362	na	3968	0.3365405201911926	0.43947285	Yes	
row_39	XM_047185178	na	4004	0.3309102952480316	0.44682634	Yes	
row_40	XM_047175924	na	4111	0.314943790435791	0.44918537	Yes	
row_41	XM_047169864	na	4148	0.3091450035572052	0.4558444	Yes	
row_42	XM_047165989	na	4167	0.30626678466796875	0.46356896	Yes	
row_43	XM_047176726	na	4782	0.2267322987318039	0.43094742	No	
row_44	XM_047183311	na	5024	0.1988089680671692	0.42132485	No	
row_45	XM_047177405	na	5257	0.16890446841716766	0.41141033	No	
row_46	XM_047169843	na	5507	0.13675247132778168	0.39947918	No	
row_47	XM_047166307	na	5746	0.10807455331087112	0.38741925	No	
row_48	XM_047175438	na	5758	0.10608183592557907	0.38979065	No	
row_49	XM_047184820	na	5961	0.08056797832250595	0.3792316	No	
row_50	XM_047183443	na	6406	0.030554061755537987	0.35177702	No	
row_51	XM_047163787	na	6517	0.019680164754390717	0.3453261	No	
row_52	XM_047180108	na	6765	0.002022899454459548	0.32961908	No	
row_53	XM_047167116	na	7211	0.0	0.3012154	No	
row_54	XM_047180046	na	8559	0.0	0.21523851	No	
row_55	XM_047164094	na	10147	-0.05050703510642052	0.11540613	No	
row_56	XM_047174505	na	10397	-0.08308026939630508	0.101919934	No	
row_57	XM_047168910	na	10493	-0.09478171914815903	0.09860235	No	
row_58	XM_047170952	na	10791	-0.12941603362560272	0.08339487	No	
row_59	XM_047164715	na	10920	-0.14695411920547485	0.07948253	No	
row_60	XM_047167554	na	11365	-0.20142614841461182	0.056978628	No	
row_61	XM_047173927	na	11371	-0.20205533504486084	0.062513635	No	
row_62	XM_047177671	na	11430	-0.20863303542137146	0.064856306	No	
row_63	XM_047167910	na	11655	-0.2363855242729187	0.057407532	No	
row_64	XM_047172247	na	11660	-0.23735888302326202	0.06402922	No	
row_65	XM_047184870	na	11920	-0.27105385065078735	0.055350892	No	
row_66	XM_047178886	na	12166	-0.3080931305885315	0.048639305	No	
row_67	XM_047168599	na	12304	-0.3287821412086487	0.049420614	No	
row_68	XM_047167086	na	12384	-0.3416307866573334	0.05427623	No	
row_69	XM_047177329	na	12527	-0.3472333252429962	0.05527298	No	
row_70	XM_047182270	na	13029	-0.3694388270378113	0.033998687	No	
row_71	XM_047174713	na	13764	-0.4567335844039917	3.815535E-4	No	
row_72	XM_047167022	na	13987	-0.49385422468185425	5.200754E-4	No	
row_73	XM_047165778	na	15149	-0.783930242061615	-0.05087193	No	
row_74	XM_047175300	na	15454	-0.9836586117744446	-0.04177624	No	
row_75	XM_047166092	na	15481	-1.017002820968628	-0.013970167	No	
row_76	XM_047172532	na	15521	-1.0571690797805786	0.014169874	No	
