NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047167280	na	575	0.9452804923057556	0.07507947	No	
row_1	XM_047176687	na	1617	0.6410685181617737	0.08457621	No	
row_2	XM_047171103	na	3152	0.3752251863479614	0.03130477	No	
row_3	XM_047174479	na	3627	0.3615422248840332	0.04385562	No	
row_4	XM_047181892	na	3838	0.35110196471214294	0.07196924	No	
row_5	XM_047176581	na	4093	0.3169833719730377	0.09325324	No	
row_6	XM_047174481	na	5600	0.12513944506645203	0.01222169	No	
row_7	XM_047169459	na	5686	0.11463811248540878	0.020355562	No	
row_8	XM_047169458	na	6394	0.031390924006700516	-0.020916644	No	
row_9	XM_047174253	na	7980	0.0	-0.12175644	No	
row_10	XM_047174255	na	7981	0.0	-0.12175644	No	
row_11	XM_047175912	na	8147	0.0	-0.13225396	No	
row_12	XM_047176582	na	8216	0.0	-0.13658021	No	
row_13	XM_047176686	na	8227	0.0	-0.13721642	No	
row_14	XM_047176058	na	9877	-0.021909041330218315	-0.23953997	No	
row_15	XM_047174483	na	10091	-0.04545627906918526	-0.24772176	No	
row_16	XM_047164741	na	10477	-0.09332120418548584	-0.26119235	No	
row_17	XM_047162995	na	11170	-0.17507992684841156	-0.2845369	No	
row_18	XM_047166887	na	11749	-0.24931703507900238	-0.29185933	No	
row_19	XM_047184143	na	11789	-0.2542380690574646	-0.26430857	No	
row_20	XM_047183136	na	12582	-0.3472333252429962	-0.27367952	No	
row_21	XM_047179107	na	14751	-0.6563979387283325	-0.33407325	Yes	
row_22	XM_047164742	na	14874	-0.6819677352905273	-0.26127726	Yes	
row_23	XM_047181925	na	14897	-0.6919561624526978	-0.18093924	Yes	
row_24	XM_047167140	na	15185	-0.8032124042510986	-0.10431869	Yes	
row_25	XM_047186070	na	15623	-1.183113694190979	0.007634692	Yes	
