NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047185982	na	477	0.9969292283058167	0.10286328	No	
row_1	XM_047177648	na	2182	0.5156679153442383	0.063415535	No	
row_2	XM_047162836	na	2239	0.5028314590454102	0.12703411	No	
row_3	XM_047164653	na	9781	-0.010684200562536716	-0.35100186	No	
row_4	XM_047164065	na	9908	-0.025366678833961487	-0.35562402	No	
row_5	XM_047163058	na	10068	-0.04311831295490265	-0.3599727	No	
row_6	XM_047185981	na	10237	-0.06568726897239685	-0.36187837	No	
row_7	XM_047170580	na	11391	-0.20429852604866028	-0.4078925	No	
row_8	XM_047162835	na	11957	-0.2757919430732727	-0.40696943	No	
row_9	XM_047186516	na	12878	-0.3661865293979645	-0.4165407	Yes	
row_10	XM_047181607	na	13025	-0.3694388270378113	-0.37646592	Yes	
row_11	XM_047173334	na	13648	-0.44049665331840515	-0.35716215	Yes	
row_12	XM_047185980	na	14387	-0.5714561939239502	-0.32773736	Yes	
row_13	XM_047186515	na	14414	-0.5789915323257446	-0.25203624	Yes	
row_14	XM_047180769	na	15641	-1.218256950378418	-0.1672253	Yes	
row_15	XM_047164720	na	15673	-1.2997370958328247	0.0044506835	Yes	
