NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047177013	na	4929	0.19233150780200958	-0.27323523	No	
row_1	XM_047177582	na	5014	0.1809682846069336	-0.24079351	No	
row_2	XM_047169224	na	5865	0.08542421460151672	-0.27700242	No	
row_3	XM_047166626	na	7122	0.0	-0.35686	No	
row_4	XM_047166937	na	7140	0.0	-0.35794088	No	
row_5	XM_047170819	na	7427	0.0	-0.376125	No	
row_6	XM_047176119	na	7803	0.0	-0.39996782	No	
row_7	XM_047182708	na	10282	-0.11608488112688065	-0.5332851	No	
row_8	XM_047165387	na	10839	-0.16220127046108246	-0.53477174	No	
row_9	XM_047165417	na	11039	-0.1762268841266632	-0.51063174	No	
row_10	XM_047174437	na	14155	-0.4835379719734192	-0.60773325	Yes	
row_11	XM_047174491	na	14277	-0.4991808831691742	-0.5112077	Yes	
row_12	XM_047186477	na	15100	-0.656683623790741	-0.42636898	Yes	
row_13	XM_047175635	na	15318	-0.7279182076454163	-0.2881915	Yes	
row_14	XM_047185425	na	15357	-0.7446083426475525	-0.13514848	Yes	
row_15	XM_047172323	na	15395	-0.7645725607872009	0.022126237	Yes	
