NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047176955	na	186	0.8953936100006104	0.027551759	Yes	
row_1	XM_047180731	na	588	0.6597190499305725	0.031017713	Yes	
row_2	XM_047168199	na	864	0.595752477645874	0.03970366	Yes	
row_3	XM_047167722	na	900	0.5856350660324097	0.06325037	Yes	
row_4	XM_047169447	na	985	0.5641509294509888	0.08272638	Yes	
row_5	XM_047168609	na	1318	0.49379637837409973	0.083289154	Yes	
row_6	XM_047163278	na	1331	0.4911963939666748	0.104145646	Yes	
row_7	XM_047180165	na	1338	0.4904780387878418	0.12535317	Yes	
row_8	XM_047167646	na	1349	0.4892967939376831	0.14625359	Yes	
row_9	XM_047162865	na	1364	0.4863448143005371	0.16676897	Yes	
row_10	XM_047173396	na	1400	0.48102468252182007	0.18571088	Yes	
row_11	XM_047168308	na	1464	0.47077879309654236	0.20241606	Yes	
row_12	XM_047176270	na	1488	0.46565571427345276	0.22144675	Yes	
row_13	XM_047175321	na	1523	0.46213090419769287	0.23962076	Yes	
row_14	XM_047173420	na	1554	0.4573671817779541	0.25784016	Yes	
row_15	XM_047174349	na	1620	0.44763094186782837	0.27339888	Yes	
row_16	XM_047183762	na	1656	0.44383540749549866	0.29070374	Yes	
row_17	XM_047169360	na	1666	0.44238346815109253	0.3096029	Yes	
row_18	XM_047176158	na	1668	0.4420444965362549	0.3289973	Yes	
row_19	XM_047170994	na	1670	0.44187086820602417	0.34838408	Yes	
row_20	XM_047179149	na	1717	0.438131719827652	0.36473638	Yes	
row_21	XM_047166162	na	1736	0.4353385865688324	0.38275144	Yes	
row_22	XM_047186095	na	1742	0.43462884426116943	0.4015643	Yes	
row_23	XM_047175867	na	1744	0.4342958331108093	0.42061764	Yes	
row_24	XM_047175744	na	1746	0.43386566638946533	0.43965206	Yes	
row_25	XM_047167645	na	1781	0.42837849259376526	0.4563403	Yes	
row_26	XM_047185604	na	1823	0.42501989006996155	0.4724343	Yes	
row_27	XM_047170021	na	1955	0.41567811369895935	0.4823773	Yes	
row_28	XM_047176296	na	1960	0.41507241129875183	0.50039315	Yes	
row_29	XM_047166715	na	1965	0.4142780303955078	0.51837397	Yes	
row_30	XM_047175576	na	1974	0.4129818081855774	0.5360427	Yes	
row_31	XM_047179381	na	2020	0.4072054922580719	0.5510974	Yes	
row_32	XM_047169337	na	2065	0.39885810017585754	0.56584847	Yes	
row_33	XM_047182600	na	2093	0.39475178718566895	0.581503	Yes	
row_34	XM_047173287	na	2244	0.38892483711242676	0.58905655	Yes	
row_35	XM_047169290	na	2265	0.3859916627407074	0.6047719	Yes	
row_36	XM_047181161	na	2276	0.3842080533504486	0.6210464	Yes	
row_37	XM_047177020	na	2317	0.3796483278274536	0.63520706	Yes	
row_38	XM_047163988	na	2726	0.36253753304481506	0.625145	Yes	
row_39	XM_047162863	na	2764	0.35780829191207886	0.63853556	Yes	
row_40	XM_047171528	na	2953	0.3538615107536316	0.64212227	Yes	
row_41	XM_047170528	na	2979	0.35006803274154663	0.65593743	Yes	
row_42	XM_047176354	na	3019	0.3442535698413849	0.6686037	Yes	
row_43	XM_047167275	na	3048	0.3396798074245453	0.68177027	Yes	
row_44	XM_047183422	na	3096	0.3347167372703552	0.6935066	Yes	
row_45	XM_047167498	na	3122	0.33013716340065	0.7064444	Yes	
row_46	XM_047167078	na	3180	0.32402172684669495	0.7170722	Yes	
row_47	XM_047170567	na	3327	0.3045598566532135	0.72116727	Yes	
row_48	XM_047179884	na	3331	0.3041262924671173	0.73436314	Yes	
row_49	XM_047165038	na	3353	0.30149099230766296	0.7462951	Yes	
row_50	XM_047162859	na	3509	0.2827461361885071	0.748856	Yes	
row_51	XM_047162860	na	3737	0.25624892115592957	0.7456587	No	
row_52	XM_047162855	na	4166	0.20381300151348114	0.7273343	No	
row_53	XM_047164687	na	4691	0.14555935561656952	0.7003233	No	
row_54	XM_047170203	na	5353	0.0766722559928894	0.66154265	No	
row_55	XM_047163581	na	6267	0.0	0.60331565	No	
row_56	XM_047163582	na	6268	0.0	0.60331565	No	
row_57	XM_047168198	na	6771	0.0	0.5713003	No	
row_58	XM_047168643	na	6815	0.0	0.568558	No	
row_59	XM_047175936	na	7638	0.0	0.5161345	No	
row_60	XM_047180741	na	8199	0.0	0.48042023	No	
row_61	XM_047180762	na	8204	0.0	0.48016515	No	
row_62	XM_047180768	na	8206	0.0	0.48010138	No	
row_63	XM_047185643	na	9354	-0.011603944934904575	0.40746164	No	
