NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047182243	na	92	0.8847871422767639	0.105896786	Yes	
row_1	XM_047177671	na	107	0.8462340831756592	0.21188791	Yes	
row_2	XM_047175883	na	180	0.7142465114593506	0.29751763	Yes	
row_3	XM_047166593	na	1209	0.39096710085868835	0.28147864	Yes	
row_4	XM_047184123	na	1350	0.37565699219703674	0.32001606	Yes	
row_5	XM_047174505	na	1577	0.3561011552810669	0.3506107	Yes	
row_6	XM_047167262	na	1685	0.3436124622821808	0.38720083	Yes	
row_7	XM_047175999	na	2094	0.31439435482025146	0.40094572	Yes	
row_8	XM_047183760	na	2182	0.31264016032218933	0.4348967	Yes	
row_9	XM_047179544	na	2320	0.30207037925720215	0.46433082	Yes	
row_10	XM_047179507	na	3052	0.22588816285133362	0.4463422	Yes	
row_11	XM_047182165	na	3116	0.22048838436603546	0.47018144	Yes	
row_12	XM_047175199	na	3367	0.19934217631816864	0.4794496	Yes	
row_13	XM_047173050	na	3753	0.1664028912782669	0.47596636	No	
row_14	XM_047179215	na	4441	0.11562781035900116	0.44685155	No	
row_15	XM_047184525	na	4723	0.09555274248123169	0.441038	No	
row_16	XM_047178879	na	5144	0.06634356826543808	0.42268968	No	
row_17	XM_047165174	na	5301	0.05738472566008568	0.4200101	No	
row_18	XM_047174739	na	5526	0.04047788307070732	0.41086778	No	
row_19	XM_047165828	na	5596	0.0366634875535965	0.4111075	No	
row_20	XM_047183054	na	5842	0.018177978694438934	0.39781225	No	
row_21	XM_047175563	na	6817	0.0	0.3358293	No	
row_22	XM_047175564	na	6818	0.0	0.3358293	No	
row_23	XM_047184563	na	8185	-0.029467185959219933	0.25262225	No	
row_24	XM_047171994	na	8759	-0.07177131623029709	0.2252229	No	
row_25	XM_047174538	na	9700	-0.1472807675600052	0.18400566	No	
row_26	XM_047184313	na	9864	-0.16369488835334778	0.19430792	No	
row_27	XM_047167335	na	11292	-0.2910688519477844	0.14026012	No	
row_28	XM_047182242	na	14344	-0.5612002611160278	0.016983425	No	
row_29	XM_047167718	na	14442	-0.5699127912521362	0.08279239	No	
