NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047175635	na	689	0.48559054732322693	0.042591844	Yes	
row_1	XM_047186477	na	903	0.43998390436172485	0.10734024	Yes	
row_2	XM_047163628	na	1266	0.3852089047431946	0.15286553	Yes	
row_3	XM_047181902	na	1322	0.37963220477104187	0.21692276	Yes	
row_4	XM_047186305	na	1630	0.3497120141983032	0.25962925	Yes	
row_5	XM_047176531	na	1879	0.32838013768196106	0.30229202	Yes	
row_6	XM_047167846	na	2086	0.3149416446685791	0.34523448	Yes	
row_7	XM_047173042	na	2430	0.2895162105560303	0.37493974	Yes	
row_8	XM_047177582	na	2533	0.27948036789894104	0.418186	Yes	
row_9	XM_047176544	na	2710	0.2608366310596466	0.45340845	Yes	
row_10	XM_047164433	na	2773	0.25274768471717834	0.49444157	Yes	
row_11	XM_047168309	na	2807	0.24856215715408325	0.5365742	Yes	
row_12	XM_047172323	na	2858	0.24392856657505035	0.5768011	Yes	
row_13	XM_047167454	na	2987	0.23132292926311493	0.6098243	Yes	
row_14	XM_047175214	na	3223	0.21210135519504547	0.6326221	Yes	
row_15	XM_047177013	na	4735	0.09462510794401169	0.5533654	No	
row_16	XM_047172181	na	6640	0.0	0.43227664	No	
row_17	XM_047172595	na	9092	-0.09509938210248947	0.29332307	No	
row_18	XM_047172178	na	11709	-0.32772231101989746	0.18527095	No	
row_19	XM_047168638	na	12710	-0.40020519495010376	0.1928899	No	
