NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047162914	na	4046	0.14328868687152863	-0.23266014	No	
row_1	XM_047168406	na	4178	0.13370954990386963	-0.2179565	No	
row_2	XM_047169785	na	4967	0.07914325594902039	-0.25444227	No	
row_3	XM_047179737	na	5519	0.040759388357400894	-0.28246656	No	
row_4	XM_047185878	na	5675	0.031694527715444565	-0.2868649	No	
row_5	XM_047181318	na	5814	0.02023434452712536	-0.29215637	No	
row_6	XM_047179155	na	5868	0.016358254477381706	-0.2927092	No	
row_7	XM_047177009	na	5894	0.014304541982710361	-0.2918349	No	
row_8	XM_047182902	na	7292	0.0	-0.3806913	No	
row_9	XM_047170794	na	7955	-0.013174008578062057	-0.4205282	No	
row_10	XM_047182901	na	8115	-0.023472581058740616	-0.4265975	No	
row_11	XM_047185389	na	8413	-0.046227142214775085	-0.43752405	No	
row_12	XM_047182451	na	8575	-0.058568913489580154	-0.43767405	No	
row_13	XM_047185091	na	11818	-0.32772231101989746	-0.5874208	Yes	
row_14	XM_047185387	na	12218	-0.35352885723114014	-0.55189216	Yes	
row_15	XM_047177935	na	12272	-0.35648423433303833	-0.49384692	Yes	
row_16	XM_047186134	na	12306	-0.3595885634422302	-0.4339948	Yes	
row_17	XM_047186265	na	14614	-0.6011554598808289	-0.47716278	Yes	
row_18	XM_047167308	na	14630	-0.6036548614501953	-0.3741172	Yes	
row_19	XM_047179440	na	15444	-0.849939227104187	-0.27939782	Yes	
row_20	XM_047173278	na	15461	-0.8600148558616638	-0.13224928	Yes	
row_21	XM_047177481	na	15479	-0.8713688254356384	0.016791748	Yes	
