NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047176019	na	166	0.7382149696350098	0.07850975	No	
row_1	XM_047175759	na	1087	0.41332313418388367	0.06986858	No	
row_2	XM_047176016	na	1762	0.34334397315979004	0.06842918	No	
row_3	XM_047176017	na	1910	0.32346171140670776	0.09810661	No	
row_4	XM_047184078	na	2782	0.2518537938594818	0.07310015	No	
row_5	XM_047175329	na	4745	0.09391412138938904	-0.04034637	No	
row_6	XM_047186028	na	5105	0.06893039494752884	-0.054861143	No	
row_7	XM_047170530	na	5733	0.02638562209904194	-0.091553025	No	
row_8	XM_047176018	na	6844	0.0	-0.16214575	No	
row_9	XM_047181403	na	7198	0.0	-0.18459551	No	
row_10	XM_047178248	na	7899	-0.00850715022534132	-0.22808704	No	
row_11	XM_047186208	na	9162	-0.10161157697439194	-0.2960869	No	
row_12	XM_047170670	na	13115	-0.4478464126586914	-0.49338904	Yes	
row_13	XM_047185049	na	13141	-0.4510199725627899	-0.44056267	Yes	
row_14	XM_047171288	na	13421	-0.4796949028968811	-0.40043026	Yes	
row_15	XM_047178249	na	14389	-0.562940239906311	-0.39400893	Yes	
row_16	XM_047175479	na	14746	-0.6186460852622986	-0.34200883	Yes	
row_17	XM_047184673	na	15618	-0.9944747686386108	-0.27741683	Yes	
row_18	XM_047184884	na	15656	-1.0651792287826538	-0.1512543	Yes	
row_19	XM_047184732	na	15713	-1.2989753484725952	0.0019077859	Yes	
