NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047168861	na	707	0.48188817501068115	0.0054553384	No	
row_1	XM_047171187	na	1035	0.4211764335632324	0.028736074	No	
row_2	XM_047184592	na	3049	0.22603046894073486	-0.07569717	No	
row_3	XM_047169746	na	3081	0.22245065867900848	-0.0543836	No	
row_4	XM_047168860	na	4014	0.14642676711082458	-0.098362	No	
row_5	XM_047165613	na	4740	0.09425865113735199	-0.13462923	No	
row_6	XM_047176825	na	5132	0.06718652695417404	-0.15247682	No	
row_7	XM_047182470	na	5396	0.05042700096964836	-0.16393371	No	
row_8	XM_047175178	na	6798	0.0	-0.2530842	No	
row_9	XM_047169028	na	7923	-0.010123360902071	-0.32354853	No	
row_10	XM_047167776	na	8542	-0.05658958479762077	-0.3569502	No	
row_11	XM_047171024	na	8607	-0.060344476252794266	-0.35470584	No	
row_12	XM_047174630	na	8808	-0.07518124580383301	-0.35956255	No	
row_13	XM_047164920	na	9188	-0.10358075052499771	-0.37283677	No	
row_14	XM_047167788	na	9541	-0.13391023874282837	-0.381218	No	
row_15	XM_047167787	na	11135	-0.2868494391441345	-0.4525586	No	
row_16	XM_047166399	na	12103	-0.34731432795524597	-0.47773522	Yes	
row_17	XM_047174631	na	12497	-0.38136082887649536	-0.4628222	Yes	
row_18	XM_047175157	na	12525	-0.3849930465221405	-0.4242391	Yes	
row_19	XM_047178944	na	12601	-0.3940088748931885	-0.38776666	Yes	
row_20	XM_047165079	na	13118	-0.44824621081352234	-0.37367895	Yes	
row_21	XM_047170483	na	13661	-0.4961598813533783	-0.35623014	Yes	
row_22	XM_047164922	na	14413	-0.5644500255584717	-0.34493208	Yes	
row_23	XM_047164320	na	14647	-0.6063351631164551	-0.2962873	Yes	
row_24	XM_047170249	na	14880	-0.6448242664337158	-0.24354987	Yes	
row_25	XM_047165443	na	15014	-0.6790539622306824	-0.18092954	Yes	
row_26	XM_047165644	na	15075	-0.6953244805335999	-0.11196076	Yes	
row_27	XM_047184998	na	15158	-0.7239028811454773	-0.04140033	Yes	
row_28	XM_047165412	na	15253	-0.7504981160163879	0.031180503	Yes	
