NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047185689	na	3074	0.22351785004138947	-0.17018646	No	
row_1	XM_047176026	na	4124	0.13718315958976746	-0.22136532	No	
row_2	XM_047168510	na	4421	0.11687304079532623	-0.22695549	No	
row_3	XM_047186073	na	5562	0.03836207464337349	-0.29511204	No	
row_4	XM_047163210	na	9877	-0.16497544944286346	-0.5507881	No	
row_5	XM_047186449	na	11469	-0.31119993329048157	-0.61673117	No	
row_6	XM_047167347	na	12140	-0.35212987661361694	-0.6194664	Yes	
row_7	XM_047181432	na	12526	-0.38510534167289734	-0.60034245	Yes	
row_8	XM_047186195	na	12675	-0.395932674407959	-0.56491995	Yes	
row_9	XM_047186190	na	12771	-0.40716636180877686	-0.52485466	Yes	
row_10	XM_047169772	na	13270	-0.4636167883872986	-0.5040266	Yes	
row_11	XM_047185987	na	13851	-0.5028899908065796	-0.4839663	Yes	
row_12	XM_047177259	na	14140	-0.5374517440795898	-0.4414219	Yes	
row_13	XM_047166477	na	14326	-0.5591886639595032	-0.38986555	Yes	
row_14	XM_047171110	na	14490	-0.578199028968811	-0.33475733	Yes	
row_15	XM_047168221	na	14602	-0.5997960567474365	-0.2738965	Yes	
row_16	XM_047170419	na	15170	-0.727525532245636	-0.22757195	Yes	
row_17	XM_047179129	na	15183	-0.7299718856811523	-0.14567403	Yes	
row_18	XM_047174714	na	15282	-0.7617415189743042	-0.06564792	Yes	
row_19	XM_047186395	na	15427	-0.8380743861198425	0.020096567	Yes	
