NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047172306	na	46	1.000584363937378	0.11193764	Yes	
row_1	XM_047185175	na	636	0.4978039264678955	0.13156296	Yes	
row_2	XM_047174121	na	1590	0.35416609048843384	0.11150937	Yes	
row_3	XM_047165071	na	1614	0.35204169154167175	0.15045887	Yes	
row_4	XM_047175041	na	1832	0.33438339829444885	0.17502216	Yes	
row_5	XM_047170556	na	1940	0.32090941071510315	0.2050463	Yes	
row_6	XM_047182132	na	1961	0.3185020089149475	0.24033654	Yes	
row_7	XM_047179163	na	2167	0.31264016032218933	0.26316813	Yes	
row_8	XM_047186100	na	2797	0.2497294396162033	0.251766	Yes	
row_9	XM_047185545	na	2900	0.23978061974048615	0.272795	Yes	
row_10	XM_047177036	na	3060	0.2247375100851059	0.28846577	Yes	
row_11	XM_047175094	na	3210	0.21279430389404297	0.30340254	Yes	
row_12	XM_047177905	na	3284	0.2059958577156067	0.3224005	Yes	
row_13	XM_047176354	na	3609	0.17735789716243744	0.3221205	Yes	
row_14	XM_047176407	na	3611	0.17725640535354614	0.342406	Yes	
row_15	XM_047185932	na	3709	0.1702224165201187	0.3557682	Yes	
row_16	XM_047164746	na	3722	0.16908468306064606	0.37441483	Yes	
row_17	XM_047163627	na	3810	0.16304980218410492	0.38759065	Yes	
row_18	XM_047164696	na	3814	0.16247639060020447	0.406052	Yes	
row_19	XM_047167425	na	4551	0.10756849497556686	0.37151304	No	
row_20	XM_047183219	na	5026	0.07492934912443161	0.34991813	No	
row_21	XM_047184757	na	5187	0.06475086510181427	0.34715858	No	
row_22	XM_047173344	na	5487	0.043281711637973785	0.33307913	No	
row_23	XM_047185968	na	5585	0.03723277524113655	0.331174	No	
row_24	XM_047172170	na	5715	0.028820553794503212	0.32626447	No	
row_25	XM_047178531	na	5831	0.018977485597133636	0.32111686	No	
row_26	XM_047177800	na	5938	0.010870324447751045	0.3156119	No	
row_27	XM_047185931	na	5993	0.006188821978867054	0.31288224	No	
row_28	XM_047185441	na	7426	0.0	0.22165461	No	
row_29	XM_047165667	na	7991	-0.015529915690422058	0.18750703	No	
row_30	XM_047185450	na	8165	-0.027380064129829407	0.17962907	No	
row_31	XM_047180165	na	8189	-0.029792997986078262	0.18158409	No	
row_32	XM_047177750	na	8203	-0.030698588117957115	0.18428014	No	
row_33	XM_047178092	na	8359	-0.04206280782818794	0.1792345	No	
row_34	XM_047176513	na	8484	-0.05262312665581703	0.17737609	No	
row_35	XM_047163395	na	8807	-0.07513929158449173	0.16548869	No	
row_36	XM_047167727	na	9185	-0.1033632904291153	0.15333757	No	
row_37	XM_047173766	na	9466	-0.12672513723373413	0.15004794	No	
row_38	XM_047182968	na	9563	-0.13573898375034332	0.15951511	No	
row_39	XM_047177075	na	9867	-0.16380682587623596	0.15901725	No	
row_40	XM_047170567	na	9913	-0.16747140884399414	0.17537636	No	
row_41	XM_047172948	na	10162	-0.18984584510326385	0.18137166	No	
row_42	XM_047180901	na	10238	-0.19615507125854492	0.19911249	No	
row_43	XM_047167600	na	10333	-0.20704029500484467	0.21689253	No	
row_44	XM_047180160	na	12276	-0.3571693003177643	0.13417803	No	
row_45	XM_047169152	na	12289	-0.35811078548431396	0.17452505	No	
row_46	XM_047173305	na	12641	-0.395932674407959	0.19761758	No	
