NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047173926	na	716	0.47953006625175476	0.037644092	Yes	
row_1	XM_047167614	na	845	0.44908764958381653	0.10742025	Yes	
row_2	XM_047184959	na	1215	0.38975250720977783	0.15156654	Yes	
row_3	XM_047178391	na	1426	0.3687620162963867	0.20218787	Yes	
row_4	XM_047170019	na	1784	0.3408704996109009	0.23861626	Yes	
row_5	XM_047167248	na	2125	0.31264016032218933	0.2712281	Yes	
row_6	XM_047165421	na	2381	0.29498207569122314	0.30618465	Yes	
row_7	XM_047182067	na	2453	0.2870248556137085	0.35146832	Yes	
row_8	XM_047171993	na	2568	0.2762797176837921	0.3921516	Yes	
row_9	XM_047178122	na	2869	0.24288173019886017	0.4152049	Yes	
row_10	XM_047162887	na	3151	0.2176784873008728	0.4350942	Yes	
row_11	XM_047174200	na	3379	0.19844764471054077	0.45508277	Yes	
row_12	XM_047170663	na	3600	0.17787909507751465	0.4719479	Yes	
row_13	XM_047172940	na	3610	0.17732812464237213	0.50214326	Yes	
row_14	XM_047170020	na	5193	0.06457141786813736	0.41268525	No	
row_15	XM_047165414	na	6237	0.0	0.34631976	No	
row_16	XM_047173563	na	6726	0.0	0.3152686	No	
row_17	XM_047182068	na	7232	0.0	0.28313574	No	
row_18	XM_047172466	na	7791	-6.448679487220943E-4	0.24774241	No	
row_19	XM_047176504	na	7821	-0.003096597036346793	0.24643445	No	
row_20	XM_047173595	na	7924	-0.01018725149333477	0.24171183	No	
row_21	XM_047177629	na	8763	-0.07211966812610626	0.20090377	No	
row_22	XM_047164708	na	8984	-0.08875951170921326	0.20230587	No	
row_23	XM_047163233	na	9597	-0.13843204081058502	0.18738386	No	
row_24	XM_047178111	na	10410	-0.2157043069601059	0.1731434	No	
row_25	XM_047180841	na	10539	-0.22814641892910004	0.20458429	No	
row_26	XM_047167247	na	12162	-0.35352885723114014	0.16271779	No	
row_27	XM_047166355	na	12453	-0.3750554025173187	0.20934072	No	
