NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047186261	na	411	0.5903504490852356	-0.012608962	No	
row_1	XM_047166211	na	592	0.5116732716560364	-0.012282141	No	
row_2	XM_047177091	na	934	0.4342288374900818	-0.024027774	No	
row_3	XM_047165951	na	1148	0.40284430980682373	-0.028323356	No	
row_4	XM_047166121	na	1892	0.32729867100715637	-0.06821525	No	
row_5	XM_047181154	na	2333	0.30094319581985474	-0.089363776	No	
row_6	XM_047165100	na	2596	0.27313631772994995	-0.09978612	No	
row_7	XM_047163064	na	3044	0.2269098311662674	-0.12309243	No	
row_8	XM_047183206	na	3550	0.18160611391067505	-0.15114997	No	
row_9	XM_047164442	na	3809	0.16321130096912384	-0.1638569	No	
row_10	XM_047165623	na	4138	0.1365746557712555	-0.18165015	No	
row_11	XM_047168510	na	4421	0.11687304079532623	-0.19696067	No	
row_12	XM_047178869	na	5068	0.07155948877334595	-0.23656663	No	
row_13	XM_047174273	na	5217	0.06270977109670639	-0.24457024	No	
row_14	XM_047168676	na	5646	0.033668454736471176	-0.27112827	No	
row_15	XM_047167306	na	6334	0.0	-0.3150064	No	
row_16	XM_047169823	na	6472	0.0	-0.3237565	No	
row_17	XM_047169824	na	6473	0.0	-0.3237565	No	
row_18	XM_047173554	na	6724	0.0	-0.3397238	No	
row_19	XM_047174214	na	6749	0.0	-0.34125665	No	
row_20	XM_047176122	na	6849	0.0	-0.3475797	No	
row_21	XM_047176542	na	6878	0.0	-0.34936804	No	
row_22	XM_047179965	na	7091	0.0	-0.3629083	No	
row_23	XM_047183724	na	7345	0.0	-0.3790672	No	
row_24	XM_047165532	na	9265	-0.10931992530822754	-0.4991061	No	
row_25	XM_047179174	na	9825	-0.15959963202476501	-0.53112113	No	
row_26	XM_047177304	na	10056	-0.18061736226081848	-0.5416375	No	
row_27	XM_047165000	na	10336	-0.20743370056152344	-0.55466384	No	
row_28	XM_047176056	na	10639	-0.2372664362192154	-0.56846976	No	
row_29	XM_047166115	na	10822	-0.25674426555633545	-0.57416135	No	
row_30	XM_047186060	na	11231	-0.2868494391441345	-0.59359175	No	
row_31	XM_047176526	na	11745	-0.32772231101989746	-0.6187839	No	
row_32	XM_047181432	na	12526	-0.38510534167289734	-0.65970325	No	
row_33	XM_047186195	na	12675	-0.395932674407959	-0.660007	No	
row_34	XM_047186190	na	12771	-0.40716636180877686	-0.65666616	No	
row_35	XM_047178598	na	13078	-0.44291049242019653	-0.66597575	Yes	
row_36	XM_047183723	na	13107	-0.44659096002578735	-0.6574447	Yes	
row_37	XM_047174829	na	13160	-0.4524328410625458	-0.65031147	Yes	
row_38	XM_047179857	na	13244	-0.46052345633506775	-0.64497125	Yes	
row_39	XM_047176648	na	13287	-0.46514609456062317	-0.6369056	Yes	
row_40	XM_047174472	na	13311	-0.46787476539611816	-0.62756336	Yes	
row_41	XM_047170838	na	13400	-0.4783061742782593	-0.6221316	Yes	
row_42	XM_047185235	na	13859	-0.5035373568534851	-0.63974845	Yes	
row_43	XM_047183098	na	13921	-0.5078118443489075	-0.6319104	Yes	
row_44	XM_047177217	na	13937	-0.5094237923622131	-0.62109715	Yes	
row_45	XM_047173553	na	13992	-0.515205979347229	-0.61264116	Yes	
row_46	XM_047168211	na	14036	-0.5209458470344543	-0.60335	Yes	
row_47	XM_047163405	na	14039	-0.5211590528488159	-0.59143525	Yes	
row_48	XM_047179380	na	14125	-0.5354613661766052	-0.5844912	Yes	
row_49	XM_047166477	na	14326	-0.5591886639595032	-0.58434385	Yes	
row_50	XM_047186115	na	14404	-0.5636216402053833	-0.5762381	Yes	
row_51	XM_047171110	na	14490	-0.578199028968811	-0.5683065	Yes	
row_52	XM_047185405	na	14496	-0.5794069170951843	-0.5552374	Yes	
row_53	XM_047173742	na	14533	-0.5873042345046997	-0.5439658	Yes	
row_54	XM_047185193	na	14558	-0.5916596055030823	-0.53182715	Yes	
row_55	XM_047164647	na	14592	-0.5980450510978699	-0.5201158	Yes	
row_56	XM_047177089	na	14622	-0.6022543907165527	-0.50805163	Yes	
row_57	XM_047176121	na	14702	-0.611921489238739	-0.4989576	Yes	
row_58	XM_047177598	na	14768	-0.623137891292572	-0.4887102	Yes	
row_59	XM_047179856	na	14858	-0.6402544379234314	-0.47960013	Yes	
row_60	XM_047165660	na	14861	-0.6405403017997742	-0.46492687	Yes	
row_61	XM_047164620	na	14871	-0.6435001492500305	-0.45063227	Yes	
row_62	XM_047186127	na	14877	-0.644699215888977	-0.4360545	Yes	
row_63	XM_047164642	na	14894	-0.645894467830658	-0.42215168	Yes	
row_64	XM_047165776	na	14960	-0.6618849039077759	-0.41100895	Yes	
row_65	XM_047167449	na	15030	-0.6815460324287415	-0.39966738	Yes	
row_66	XM_047185904	na	15105	-0.705984890460968	-0.38808045	Yes	
row_67	XM_047186250	na	15167	-0.7272120118141174	-0.3751727	Yes	
row_68	XM_047186129	na	15186	-0.7306643724441528	-0.35943884	Yes	
row_69	XM_047175454	na	15217	-0.7406249046325684	-0.34424123	Yes	
row_70	XM_047171744	na	15241	-0.7478117942810059	-0.32843047	Yes	
row_71	XM_047163191	na	15242	-0.7478655576705933	-0.31114948	Yes	
row_72	XM_047168833	na	15270	-0.7559244632720947	-0.29540676	Yes	
row_73	XM_047163639	na	15300	-0.7684058547019958	-0.27950335	Yes	
row_74	XM_047181299	na	15350	-0.7967303991317749	-0.26422283	Yes	
row_75	XM_047175457	na	15410	-0.8293075561523438	-0.24882822	Yes	
row_76	XM_047186485	na	15473	-0.8667574524879456	-0.23275988	Yes	
row_77	XM_047168945	na	15492	-0.8825357556343079	-0.2135167	Yes	
row_78	XM_047185404	na	15568	-0.9299154877662659	-0.19681925	Yes	
row_79	XM_047181652	na	15569	-0.9304839968681335	-0.17531848	Yes	
row_80	XM_047165658	na	15603	-0.9655741453170776	-0.15511456	Yes	
row_81	XM_047182656	na	15647	-1.043749451637268	-0.13374293	Yes	
row_82	XM_047165022	na	15653	-1.0574904680252075	-0.10962676	Yes	
row_83	XM_047184000	na	15674	-1.0982834100723267	-0.08552602	Yes	
row_84	XM_047176394	na	15692	-1.1639726161956787	-0.059715785	Yes	
row_85	XM_047169343	na	15696	-1.186518907546997	-0.032490406	Yes	
row_86	XM_047166257	na	15730	-1.5332294702529907	8.3037233E-4	Yes	
