NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047173806	na	288	0.6374064683914185	0.06396704	Yes	
row_1	XM_047179809	na	717	0.479489803314209	0.09863557	Yes	
row_2	XM_047181201	na	821	0.4536218047142029	0.15064779	Yes	
row_3	XM_047172919	na	887	0.4422251880168915	0.20360696	Yes	
row_4	XM_047186228	na	1015	0.42446839809417725	0.25032777	Yes	
row_5	XM_047172926	na	1031	0.42165327072143555	0.30381298	Yes	
row_6	XM_047186230	na	1284	0.3847215175628662	0.33744684	Yes	
row_7	XM_047164955	na	1301	0.38330087065696716	0.3859167	Yes	
row_8	XM_047168501	na	1783	0.3409883975982666	0.39933026	Yes	
row_9	XM_047166917	na	2280	0.30537083745002747	0.40719062	Yes	
row_10	XM_047173805	na	2610	0.271344393491745	0.42128593	Yes	
row_11	XM_047168776	na	3773	0.16519993543624878	0.36866343	No	
row_12	XM_047173178	na	3821	0.16180627048015594	0.38656315	No	
row_13	XM_047186126	na	3938	0.15218664705753326	0.3988296	No	
row_14	XM_047180652	na	5207	0.06352207809686661	0.32633346	No	
row_15	XM_047168500	na	5321	0.05598672106862068	0.32637045	No	
row_16	XM_047166605	na	5684	0.03134952485561371	0.30737972	No	
row_17	XM_047185568	na	5724	0.027529949322342873	0.30845213	No	
row_18	XM_047173374	na	5917	0.01267948281019926	0.29786998	No	
row_19	XM_047166308	na	7998	-0.01660141348838806	0.16763894	No	
row_20	XM_047168990	na	8155	-0.02660767361521721	0.16114618	No	
row_21	XM_047180907	na	8653	-0.06414151936769485	0.13779765	No	
row_22	XM_047165710	na	8733	-0.07028047740459442	0.14184391	No	
row_23	XM_047173040	na	8912	-0.08191972970962524	0.1410924	No	
row_24	XM_047174967	na	9853	-0.16269472241401672	0.10227491	No	
row_25	XM_047165123	na	9960	-0.1713184267282486	0.117647894	No	
row_26	XM_047177059	na	10510	-0.22511768341064453	0.11177371	No	
row_27	XM_047175231	na	11026	-0.27779218554496765	0.11486416	No	
row_28	XM_047164070	na	11117	-0.2868494391441345	0.14617167	No	
row_29	XM_047174957	na	13903	-0.5066908001899719	0.034348946	No	
row_30	XM_047186264	na	14859	-0.6404427886009216	0.056259077	No	
