NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047174435	na	64	0.9585022330284119	0.023833144	No	
row_1	XM_047167737	na	144	0.7633959650993347	0.041020643	No	
row_2	XM_047164981	na	736	0.4716019630432129	0.016926868	No	
row_3	XM_047172415	na	787	0.46104609966278076	0.027160583	No	
row_4	XM_047174350	na	930	0.43485042452812195	0.030741079	No	
row_5	XM_047165728	na	1040	0.41990235447883606	0.03599867	No	
row_6	XM_047177041	na	1277	0.3847215175628662	0.0321005	No	
row_7	XM_047178825	na	1292	0.3845641016960144	0.042410288	No	
row_8	XM_047174351	na	1416	0.3687620162963867	0.045281377	No	
row_9	XM_047166484	na	1681	0.3436124622821808	0.038392726	No	
row_10	XM_047177917	na	1718	0.3436124622821808	0.04610075	No	
row_11	XM_047166507	na	1874	0.3294147849082947	0.045776617	No	
row_12	XM_047165726	na	1968	0.3180137276649475	0.049089532	No	
row_13	XM_047166123	na	1970	0.3180137276649475	0.058292333	No	
row_14	XM_047174353	na	1994	0.3180137276649475	0.06608668	No	
row_15	XM_047163197	na	2090	0.31470972299575806	0.06917528	No	
row_16	XM_047170674	na	2133	0.31264016032218933	0.07559665	No	
row_17	XM_047181108	na	2174	0.31264016032218933	0.08214607	No	
row_18	XM_047163917	na	2390	0.2933443784713745	0.07692963	No	
row_19	XM_047178791	na	3308	0.20443546772003174	0.024180027	No	
row_20	XM_047174186	na	4041	0.1438370943069458	-0.018491603	No	
row_21	XM_047172846	na	4079	0.1403488665819168	-0.016770639	No	
row_22	XM_047173221	na	4188	0.13301073014736176	-0.019808961	No	
row_23	XM_047180624	na	4239	0.12927764654159546	-0.019242875	No	
row_24	XM_047166362	na	4364	0.12015794217586517	-0.023680052	No	
row_25	XM_047169218	na	4696	0.09630198776721954	-0.042064622	No	
row_26	XM_047166537	na	4785	0.09150096029043198	-0.045032118	No	
row_27	XM_047170675	na	5536	0.04002548009157181	-0.091881156	No	
row_28	XM_047163642	na	6128	0.0	-0.12971726	No	
row_29	XM_047164871	na	6207	0.0	-0.13471086	No	
row_30	XM_047164960	na	6211	0.0	-0.13490292	No	
row_31	XM_047165516	na	6243	0.0	-0.13688755	No	
row_32	XM_047166126	na	6268	0.0	-0.13842405	No	
row_33	XM_047166363	na	6279	0.0	-0.13906425	No	
row_34	XM_047166393	na	6284	0.0	-0.13932033	No	
row_35	XM_047166677	na	6303	0.0	-0.14047271	No	
row_36	XM_047166895	na	6319	0.0	-0.14143302	No	
row_37	XM_047167434	na	6339	0.0	-0.1426494	No	
row_38	XM_047168715	na	6406	0.0	-0.14687476	No	
row_39	XM_047168918	na	6418	0.0	-0.14757898	No	
row_40	XM_047169022	na	6421	0.0	-0.14770702	No	
row_41	XM_047169405	na	6439	0.0	-0.14879537	No	
row_42	XM_047171614	na	6595	0.0	-0.15871854	No	
row_43	XM_047171615	na	6596	0.0	-0.15871854	No	
row_44	XM_047172347	na	6646	0.0	-0.16185555	No	
row_45	XM_047172682	na	6669	0.0	-0.16326399	No	
row_46	XM_047173188	na	6689	0.0	-0.16448039	No	
row_47	XM_047173233	na	6692	0.0	-0.16460843	No	
row_48	XM_047175441	na	6812	0.0	-0.17222686	No	
row_49	XM_047175932	na	6837	0.0	-0.17376336	No	
row_50	XM_047176137	na	6850	0.0	-0.17453161	No	
row_51	XM_047176145	na	6852	0.0	-0.17459562	No	
row_52	XM_047176938	na	6904	0.0	-0.17786068	No	
row_53	XM_047177896	na	6956	0.0	-0.18112572	No	
row_54	XM_047177906	na	6957	0.0	-0.18112572	No	
row_55	XM_047180026	na	7094	0.0	-0.18983251	No	
row_56	XM_047180622	na	7141	0.0	-0.19277744	No	
row_57	XM_047180704	na	7151	0.0	-0.19335362	No	
row_58	XM_047180727	na	7155	0.0	-0.19354568	No	
row_59	XM_047183304	na	7317	0.0	-0.20385298	No	
row_60	XM_047183490	na	7330	0.0	-0.20462124	No	
row_61	XM_047184598	na	7383	0.0	-0.2079503	No	
row_62	XM_047184652	na	7386	0.0	-0.20807834	No	
row_63	XM_047184819	na	7392	0.0	-0.20839845	No	
row_64	XM_047176965	na	8073	-0.021211186423897743	-0.25131428	No	
row_65	XM_047169277	na	9040	-0.09124860167503357	-0.31049913	No	
row_66	XM_047170083	na	9067	-0.09281151741743088	-0.30945915	No	
row_67	XM_047178765	na	9657	-0.1435658037662506	-0.34298375	No	
row_68	XM_047170089	na	9741	-0.15104632079601288	-0.34389603	No	
row_69	XM_047181703	na	9768	-0.15377384424209595	-0.34107962	No	
row_70	XM_047175930	na	10106	-0.185258150100708	-0.35725617	No	
row_71	XM_047164646	na	10276	-0.1993732452392578	-0.36226597	No	
row_72	XM_047172230	na	10310	-0.20405137538909912	-0.35843265	No	
row_73	XM_047172969	na	10543	-0.22847908735275269	-0.3666276	No	
row_74	XM_047185316	na	10733	-0.246429443359375	-0.3715466	No	
row_75	XM_047166702	na	10989	-0.27384868264198303	-0.37989193	Yes	
row_76	XM_047163196	na	11106	-0.2868494391441345	-0.37895963	Yes	
row_77	XM_047164633	na	11120	-0.2868494391441345	-0.37143317	Yes	
row_78	XM_047174302	na	11171	-0.2868494391441345	-0.36627552	Yes	
row_79	XM_047177113	na	11184	-0.2868494391441345	-0.35868505	Yes	
row_80	XM_047177939	na	11192	-0.2868494391441345	-0.3507745	Yes	
row_81	XM_047181294	na	11208	-0.2868494391441345	-0.3433761	Yes	
row_82	XM_047185263	na	11304	-0.29220056533813477	-0.3409434	Yes	
row_83	XM_047177643	na	11465	-0.3103419840335846	-0.34214342	Yes	
row_84	XM_047166124	na	11655	-0.32772231101989746	-0.34469357	Yes	
row_85	XM_047166125	na	11656	-0.32772231101989746	-0.33514383	Yes	
row_86	XM_047167287	na	11667	-0.32772231101989746	-0.3262343	Yes	
row_87	XM_047168981	na	11684	-0.32772231101989746	-0.3177089	Yes	
row_88	XM_047169392	na	11687	-0.32772231101989746	-0.30828723	Yes	
row_89	XM_047171624	na	11706	-0.32772231101989746	-0.29988986	Yes	
row_90	XM_047173343	na	11718	-0.32772231101989746	-0.29104438	Yes	
row_91	XM_047174981	na	11730	-0.32772231101989746	-0.28219888	Yes	
row_92	XM_047184642	na	11810	-0.32772231101989746	-0.27770677	Yes	
row_93	XM_047164697	na	12296	-0.35852769017219543	-0.29830933	Yes	
row_94	XM_047164317	na	12347	-0.36455443501472473	-0.29088736	Yes	
row_95	XM_047171988	na	12360	-0.36455443501472473	-0.2810326	Yes	
row_96	XM_047175461	na	12362	-0.36455443501472473	-0.2704736	Yes	
row_97	XM_047180906	na	12368	-0.36455443501472473	-0.2601707	Yes	
row_98	XM_047166840	na	12402	-0.36772218346595764	-0.25156808	Yes	
row_99	XM_047164324	na	12699	-0.39882615208625793	-0.25889647	Yes	
row_100	XM_047180476	na	12732	-0.4018373191356659	-0.24923572	Yes	
row_101	XM_047182879	na	12876	-0.4205148220062256	-0.24613698	Yes	
row_102	XM_047167231	na	12884	-0.4216673970222473	-0.23429786	Yes	
row_103	XM_047165651	na	12911	-0.4254496097564697	-0.22356492	Yes	
row_104	XM_047168218	na	12916	-0.4254496097564697	-0.21142355	Yes	
row_105	XM_047177088	na	13554	-0.49115973711013794	-0.23789234	Yes	
row_106	XM_047163718	na	13894	-0.5057069659233093	-0.24485916	Yes	
row_107	XM_047164451	na	14257	-0.5543633103370667	-0.2518806	Yes	
row_108	XM_047167230	na	14260	-0.5543633103370667	-0.23585467	Yes	
row_109	XM_047177950	na	14277	-0.5543633103370667	-0.22072501	Yes	
row_110	XM_047181109	na	14351	-0.5613044500350952	-0.20904228	Yes	
row_111	XM_047162916	na	14425	-0.5666772127151489	-0.19720298	Yes	
row_112	XM_047164859	na	14530	-0.586900532245636	-0.18675901	Yes	
row_113	XM_047164641	na	14650	-0.6072472333908081	-0.17668246	Yes	
row_114	XM_047172228	na	14700	-0.611921489238739	-0.16198826	Yes	
row_115	XM_047175933	na	14701	-0.611921489238739	-0.14415705	Yes	
row_116	XM_047173365	na	15036	-0.6829326152801514	-0.14563946	Yes	
row_117	XM_047168980	na	15205	-0.7373169660568237	-0.13490972	Yes	
row_118	XM_047166640	na	15445	-0.8504815697669983	-0.12542784	Yes	
row_119	XM_047182324	na	15476	-0.8679975867271423	-0.10205529	Yes	
row_120	XM_047180186	na	15551	-0.9193971753120422	-0.08000185	Yes	
row_121	XM_047164485	na	15566	-0.9285654425621033	-0.053840037	Yes	
row_122	XM_047166526	na	15576	-0.936674952507019	-0.027121808	Yes	
row_123	XM_047167177	na	15712	-1.295451045036316	0.0019844633	Yes	
