NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047181198	na	1907	0.3246918022632599	-0.0957911	No	
row_1	XM_047166742	na	2953	0.23512408137321472	-0.14375862	No	
row_2	XM_047174295	na	3021	0.22861145436763763	-0.12994432	No	
row_3	XM_047185689	na	3074	0.22351785004138947	-0.115577415	No	
row_4	XM_047167124	na	3373	0.19892075657844543	-0.11882581	No	
row_5	XM_047166744	na	3620	0.17631211876869202	-0.12055013	No	
row_6	XM_047166252	na	4109	0.1382162868976593	-0.14070265	No	
row_7	XM_047181601	na	4662	0.09884820133447647	-0.1680457	No	
row_8	XM_047164142	na	4677	0.09745904058218002	-0.16122891	No	
row_9	XM_047184522	na	4708	0.09630198776721954	-0.15552282	No	
row_10	XM_047175073	na	4866	0.08624272048473358	-0.15870206	No	
row_11	XM_047168798	na	4921	0.08249350637197495	-0.15561692	No	
row_12	XM_047180088	na	5455	0.046047091484069824	-0.18592602	No	
row_13	XM_047186073	na	5562	0.03836207464337349	-0.18964379	No	
row_14	XM_047164143	na	5571	0.037927594035863876	-0.18715347	No	
row_15	XM_047184519	na	5599	0.03660450130701065	-0.18597808	No	
row_16	XM_047166932	na	5785	0.022238101810216904	-0.19600335	No	
row_17	XM_047164688	na	6022	0.0039027677848935127	-0.21072745	No	
row_18	XM_047166719	na	6308	0.0	-0.22888148	No	
row_19	XM_047166745	na	6311	0.0	-0.22900888	No	
row_20	XM_047171922	na	6621	0.0	-0.24869166	No	
row_21	XM_047170947	na	7936	-0.011364131234586239	-0.3314924	No	
row_22	XM_047183202	na	8820	-0.07544296979904175	-0.38177085	No	
row_23	XM_047167980	na	9014	-0.09012644737958908	-0.38693604	No	
row_24	XM_047163825	na	9090	-0.09489106386899948	-0.38420796	No	
row_25	XM_047164183	na	10502	-0.2243412584066391	-0.45634195	Yes	
row_26	XM_047186503	na	10516	-0.22561930119991302	-0.43932462	Yes	
row_27	XM_047173529	na	10548	-0.2286064773797989	-0.42321754	Yes	
row_28	XM_047179952	na	10840	-0.2582354247570038	-0.42132854	Yes	
row_29	XM_047167004	na	11361	-0.29860299825668335	-0.43083358	Yes	
row_30	XM_047186449	na	11469	-0.31119993329048157	-0.41303483	Yes	
row_31	XM_047172570	na	11714	-0.32772231101989746	-0.4026559	Yes	
row_32	XM_047172571	na	11715	-0.32772231101989746	-0.3767346	Yes	
row_33	XM_047171119	na	12579	-0.39079490303993225	-0.4007962	Yes	
row_34	XM_047172572	na	12638	-0.395932674407959	-0.37317428	Yes	
row_35	XM_047185987	na	13851	-0.5028899908065796	-0.4106004	Yes	
row_36	XM_047184974	na	14115	-0.533852219581604	-0.38512784	Yes	
row_37	XM_047168855	na	14208	-0.5478033423423767	-0.3476594	Yes	
row_38	XM_047185716	na	14814	-0.6310571432113647	-0.3362832	Yes	
row_39	XM_047170419	na	15170	-0.727525532245636	-0.30135223	Yes	
row_40	XM_047170700	na	15361	-0.803679883480072	-0.2498876	Yes	
row_41	XM_047173479	na	15439	-0.8465473651885986	-0.18783443	Yes	
row_42	XM_047185970	na	15475	-0.8673440217971802	-0.121461	Yes	
row_43	XM_047182324	na	15476	-0.8679975867271423	-0.05280644	Yes	
row_44	XM_047179511	na	15490	-0.8818480968475342	0.016115552	Yes	
