NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047185512	na	269	0.6484435796737671	0.11855759	Yes	
row_1	XM_047184667	na	1067	0.4163086712360382	0.15496439	Yes	
row_2	XM_047179777	na	1564	0.3571465313434601	0.19813843	Yes	
row_3	XM_047181042	na	1925	0.3222756087779999	0.24266708	Yes	
row_4	XM_047171761	na	1985	0.3180137276649475	0.30544922	Yes	
row_5	XM_047179642	na	2509	0.28171947598457336	0.33112508	Yes	
row_6	XM_047167424	na	2711	0.26023101806640625	0.37278596	Yes	
row_7	XM_047162872	na	2735	0.2577507197856903	0.42524967	Yes	
row_8	XM_047165253	na	3256	0.20898877084255219	0.43589962	Yes	
row_9	XM_047185511	na	3682	0.17256373167037964	0.4449712	Yes	
row_10	XM_047185516	na	3881	0.15708087384700775	0.46524185	Yes	
row_11	XM_047167707	na	4851	0.08780991286039352	0.42198005	No	
row_12	XM_047171096	na	5146	0.06611427664756775	0.4171126	No	
row_13	XM_047183966	na	5557	0.03852385655045509	0.39909443	No	
row_14	XM_047185745	na	5791	0.021868061274290085	0.38884968	No	
row_15	XM_047178556	na	5794	0.021774405613541603	0.3932781	No	
row_16	XM_047183969	na	7356	0.0	0.29399046	No	
row_17	XM_047178343	na	8140	-0.025248095393180847	0.24947006	No	
row_18	XM_047164562	na	8674	-0.06577728688716888	0.22933044	No	
row_19	XM_047178876	na	9798	-0.1562013030052185	0.1905823	No	
row_20	XM_047178344	na	10860	-0.2599356770515442	0.177481	No	
row_21	XM_047183968	na	14837	-0.6358824968338013	0.05762629	No	
