NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047184419	na	20	1.1307754516601562	0.19292945	Yes	
row_1	XM_047182386	na	204	0.6930463314056396	0.3003162	Yes	
row_2	XM_047183714	na	360	0.5973842144012451	0.3930545	Yes	
row_3	XM_047174043	na	520	0.5422687530517578	0.47607276	Yes	
row_4	XM_047174705	na	2348	0.29875829815864563	0.41119024	No	
row_5	XM_047184832	na	2786	0.2515192925930023	0.4265947	No	
row_6	XM_047173524	na	3229	0.21148012578487396	0.43480477	No	
row_7	XM_047180209	na	3774	0.1651732176542282	0.42857513	No	
row_8	XM_047168384	na	6391	0.0	0.26220524	No	
row_9	XM_047169304	na	6431	0.0	0.25972494	No	
row_10	XM_047169305	na	6432	0.0	0.25972494	No	
row_11	XM_047170186	na	6494	0.0	0.25584555	No	
row_12	XM_047170187	na	6495	0.0	0.25584555	No	
row_13	XM_047183715	na	7343	0.0	0.20197883	No	
row_14	XM_047184418	na	7377	0.0	0.19988014	No	
row_15	XM_047174042	na	9582	-0.13686998188495636	0.08321853	No	
row_16	XM_047183144	na	12506	-0.3825843930244446	-0.036969922	No	
row_17	XM_047178173	na	12655	-0.395932674407959	0.0216159	No	
row_18	XM_047163537	na	12811	-0.4117942750453949	0.08248064	No	
row_19	XM_047183719	na	14641	-0.605107843875885	0.07008393	No	
