NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047165898	na	2277	0.3056626617908478	-0.12844305	No	
row_1	XM_047168510	na	4421	0.11687304079532623	-0.25854024	No	
row_2	XM_047174273	na	5217	0.06270977109670639	-0.3057592	No	
row_3	XM_047169823	na	6472	0.0	-0.3855759	No	
row_4	XM_047169824	na	6473	0.0	-0.3855759	No	
row_5	XM_047179965	na	7091	0.0	-0.42484772	No	
row_6	XM_047179664	na	9403	-0.12019261717796326	-0.565459	No	
row_7	XM_047167347	na	12140	-0.35212987661361694	-0.72061086	No	
row_8	XM_047181432	na	12526	-0.38510534167289734	-0.7243436	Yes	
row_9	XM_047186195	na	12675	-0.395932674407959	-0.7124074	Yes	
row_10	XM_047186190	na	12771	-0.40716636180877686	-0.69649184	Yes	
row_11	XM_047172028	na	13390	-0.47729575634002686	-0.7100823	Yes	
row_12	XM_047162851	na	13540	-0.4901409447193146	-0.69312817	Yes	
row_13	XM_047183098	na	13921	-0.5078118443489075	-0.689924	Yes	
row_14	XM_047179741	na	13999	-0.5158640742301941	-0.66699964	Yes	
row_15	XM_047166477	na	14326	-0.5591886639595032	-0.6575872	Yes	
row_16	XM_047171110	na	14490	-0.578199028968811	-0.63677436	Yes	
row_17	XM_047173742	na	14533	-0.5873042345046997	-0.60776883	Yes	
row_18	XM_047185193	na	14558	-0.5916596055030823	-0.5773827	Yes	
row_19	XM_047168221	na	14602	-0.5997960567474365	-0.547767	Yes	
row_20	XM_047165660	na	14861	-0.6405403017997742	-0.52963823	Yes	
row_21	XM_047165776	na	14960	-0.6618849039077759	-0.5001743	Yes	
row_22	XM_047175454	na	15217	-0.7406249046325684	-0.47651973	Yes	
row_23	XM_047174714	na	15282	-0.7617415189743042	-0.43950546	Yes	
row_24	XM_047181299	na	15350	-0.7967303991317749	-0.40079486	Yes	
row_25	XM_047184982	na	15353	-0.7987560629844666	-0.35783777	Yes	
row_26	XM_047175457	na	15410	-0.8293075561523438	-0.3166698	Yes	
row_27	XM_047186395	na	15427	-0.8380743861198425	-0.272483	Yes	
row_28	XM_047186485	na	15473	-0.8667574524879456	-0.22859488	Yes	
row_29	XM_047177768	na	15500	-0.8872242569923401	-0.18239345	Yes	
row_30	XM_047184000	na	15674	-1.0982834100723267	-0.13416412	Yes	
row_31	XM_047176394	na	15692	-1.1639726161956787	-0.072462216	Yes	
row_32	XM_047180087	na	15727	-1.4024046659469604	0.00101852	Yes	
