NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047168803	na	2918	0.2382100224494934	-0.15460296	No	
row_1	XM_047166742	na	2953	0.23512408137321472	-0.12611267	No	
row_2	XM_047183248	na	3415	0.1953081637620926	-0.12998128	No	
row_3	XM_047166744	na	3620	0.17631211876869202	-0.11997472	No	
row_4	XM_047178183	na	3770	0.16524271667003632	-0.1079119	No	
row_5	XM_047171176	na	3798	0.1635896861553192	-0.0883023	No	
row_6	XM_047183517	na	3900	0.15558753907680511	-0.07444423	No	
row_7	XM_047166252	na	4109	0.1382162868976593	-0.06965879	No	
row_8	XM_047178532	na	5088	0.07019215822219849	-0.122733325	No	
row_9	XM_047169426	na	5347	0.053648900240659714	-0.13215436	No	
row_10	XM_047166719	na	6308	0.0	-0.19323473	No	
row_11	XM_047166745	na	6311	0.0	-0.19336198	No	
row_12	XM_047170004	na	6481	0.0	-0.20411466	No	
row_13	XM_047183247	na	7316	0.0	-0.25717822	No	
row_14	XM_047163350	na	8300	-0.03671397268772125	-0.3149355	No	
row_15	XM_047170005	na	8895	-0.08043742179870605	-0.3422422	No	
row_16	XM_047164183	na	10502	-0.2243412584066391	-0.41517678	No	
row_17	XM_047186503	na	10516	-0.22561930119991302	-0.3865895	No	
row_18	XM_047167004	na	11361	-0.29860299825668335	-0.4013599	No	
row_19	XM_047170006	na	12906	-0.4252541661262512	-0.4441563	No	
row_20	XM_047184974	na	14115	-0.533852219581604	-0.45141646	Yes	
row_21	XM_047182865	na	14135	-0.5364294648170471	-0.38269004	Yes	
row_22	XM_047185099	na	14323	-0.558952271938324	-0.32171634	Yes	
row_23	XM_047168041	na	14484	-0.5771164298057556	-0.25665668	Yes	
row_24	XM_047178179	na	15128	-0.7144449949264526	-0.20442426	Yes	
row_25	XM_047168206	na	15337	-0.7928828597068787	-0.11428875	Yes	
row_26	XM_047165143	na	15667	-1.074288249015808	0.0048354454	Yes	
