NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047170987	na	244	0.6661003232002258	0.1447981	Yes	
row_1	XM_047170672	na	627	0.5003936290740967	0.24093702	Yes	
row_2	XM_047171851	na	938	0.43391188979148865	0.32565442	Yes	
row_3	XM_047185317	na	992	0.42517194151878357	0.4246138	Yes	
row_4	XM_047178461	na	1103	0.4098012149333954	0.51624846	Yes	
row_5	XM_047184769	na	3276	0.2064947634935379	0.427806	No	
row_6	XM_047178345	na	3380	0.1984194964170456	0.4690106	No	
row_7	XM_047165256	na	3744	0.16729041934013367	0.4861868	No	
row_8	XM_047174497	na	4791	0.09087728708982468	0.44153234	No	
row_9	XM_047165514	na	5204	0.06394591927528381	0.4307192	No	
row_10	XM_047163993	na	5247	0.06041007488965988	0.4425874	No	
row_11	XM_047169011	na	5676	0.03169254958629608	0.4229939	No	
row_12	XM_047174385	na	5782	0.022319545969367027	0.42168763	No	
row_13	XM_047177098	na	5869	0.016218721866607666	0.42012146	No	
row_14	XM_047165784	na	6255	0.0	0.39563504	No	
row_15	XM_047170986	na	6555	0.0	0.37661833	No	
row_16	XM_047182037	na	7230	0.0	0.33375117	No	
row_17	XM_047186329	na	8710	-0.06835132837295532	0.25613594	No	
row_18	XM_047185350	na	9307	-0.11225102841854095	0.24524622	No	
row_19	XM_047186198	na	11833	-0.32772231101989746	0.16352952	No	
row_20	XM_047165783	na	12157	-0.35352885723114014	0.22807355	No	
