NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047177604	na	2408	0.29150158166885376	-0.10122279	No	
row_1	XM_047166960	na	5064	0.07171280682086945	-0.2572586	No	
row_2	XM_047166961	na	5208	0.06341903656721115	-0.2550652	No	
row_3	XM_047181051	na	9137	-0.099538654088974	-0.48708293	No	
row_4	XM_047172282	na	10620	-0.23568017780780792	-0.53936654	Yes	
row_5	XM_047166963	na	10666	-0.24101890623569489	-0.4993402	Yes	
row_6	XM_047180855	na	10838	-0.2581046521663666	-0.46428433	Yes	
row_7	XM_047179823	na	10964	-0.2707454562187195	-0.4240546	Yes	
row_8	XM_047185239	na	12455	-0.37522467970848083	-0.45201603	Yes	
row_9	XM_047182610	na	13377	-0.4757240116596222	-0.42591926	Yes	
row_10	XM_047179391	na	13536	-0.48991158604621887	-0.34878883	Yes	
row_11	XM_047185240	na	13979	-0.5140143632888794	-0.2854253	Yes	
row_12	XM_047185241	na	14455	-0.5720286965370178	-0.21383667	Yes	
row_13	XM_047174173	na	15083	-0.6991074681282043	-0.12929913	Yes	
row_14	XM_047171872	na	15599	-0.9620936512947083	0.009155158	Yes	
