NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047168625	na	2263	0.31360191106796265	-0.09419133	No	
row_1	XM_047172325	na	2389	0.2962501049041748	-0.05513112	No	
row_2	XM_047176706	na	3321	0.19386887550354004	-0.08359003	No	
row_3	XM_047173784	na	3466	0.17961661517620087	-0.06424701	No	
row_4	XM_047179104	na	4017	0.12528719007968903	-0.0793525	No	
row_5	XM_047175642	na	4469	0.08460140973329544	-0.09461669	No	
row_6	XM_047179963	na	7402	0.0	-0.28113067	No	
row_7	XM_047184254	na	7860	0.0	-0.31020194	No	
row_8	XM_047184255	na	7861	0.0	-0.31020194	No	
row_9	XM_047186306	na	8083	0.0	-0.32426044	No	
row_10	XM_047177101	na	8657	-0.010798090137541294	-0.3589973	No	
row_11	XM_047186307	na	9901	-0.10549712926149368	-0.42132723	No	
row_12	XM_047167098	na	10255	-0.13328199088573456	-0.42263222	No	
row_13	XM_047164707	na	10572	-0.1606859564781189	-0.41723478	No	
row_14	XM_047184732	na	12196	-0.31458237767219543	-0.47055805	Yes	
row_15	XM_047167594	na	12521	-0.35100606083869934	-0.43546766	Yes	
row_16	XM_047164998	na	12816	-0.3667064309120178	-0.39597738	Yes	
row_17	XM_047182058	na	13174	-0.37624263763427734	-0.35898146	Yes	
row_18	XM_047184253	na	13766	-0.423103392124176	-0.3294347	Yes	
row_19	XM_047185049	na	13807	-0.4266360402107239	-0.26427644	Yes	
row_20	XM_047172324	na	14213	-0.46990665793418884	-0.21547042	Yes	
row_21	XM_047182938	na	14737	-0.5623239278793335	-0.15950507	Yes	
row_22	XM_047186063	na	15209	-0.6836711764335632	-0.08097529	Yes	
row_23	XM_047178049	na	15300	-0.7239349484443665	0.0281806	Yes	
