NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047163792	na	299	0.6560189127922058	-0.0068777567	No	
row_1	XM_047178843	na	400	0.6153483986854553	-0.0017274999	No	
row_2	XM_047163959	na	420	0.6091634631156921	0.008513704	No	
row_3	XM_047185155	na	487	0.579023003578186	0.015166216	No	
row_4	XM_047166663	na	836	0.46104392409324646	0.0014694869	No	
row_5	XM_047170146	na	976	0.43324342370033264	6.858283E-4	No	
row_6	XM_047165564	na	1245	0.39677324891090393	-0.009077245	No	
row_7	XM_047169769	na	1277	0.3912144601345062	-0.0037086613	No	
row_8	XM_047172211	na	1315	0.3851640224456787	0.0011603435	No	
row_9	XM_047170305	na	1360	0.38441210985183716	0.0055651837	No	
row_10	XM_047165562	na	1481	0.38124948740005493	0.005024623	No	
row_11	XM_047166092	na	1631	0.37066543102264404	0.0024205497	No	
row_12	XM_047168535	na	1669	0.36842089891433716	0.006974498	No	
row_13	XM_047170885	na	1679	0.36842089891433716	0.01332851	No	
row_14	XM_047179159	na	1718	0.36842089891433716	0.01781817	No	
row_15	XM_047170637	na	1918	0.34669893980026245	0.011548717	No	
row_16	XM_047186410	na	1995	0.34669893980026245	0.013186689	No	
row_17	XM_047172485	na	2093	0.33760133385658264	0.013303422	No	
row_18	XM_047183603	na	2111	0.3350766897201538	0.01851569	No	
row_19	XM_047163117	na	2144	0.33045879006385803	0.022676742	No	
row_20	XM_047166986	na	2394	0.2954261898994446	0.012228085	No	
row_21	XM_047164708	na	2575	0.27478376030921936	0.0058268704	No	
row_22	XM_047164619	na	2600	0.2709207832813263	0.009381895	No	
row_23	XM_047165757	na	2624	0.2682499289512634	0.012950951	No	
row_24	XM_047167099	na	2656	0.2640383243560791	0.015926452	No	
row_25	XM_047168042	na	2663	0.2628607749938965	0.020486996	No	
row_26	XM_047180823	na	2705	0.2567822337150574	0.022683078	No	
row_27	XM_047179503	na	2734	0.2532873749732971	0.025649142	No	
row_28	XM_047170568	na	2782	0.24842415750026703	0.027302222	No	
